"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"@",,"1bd074cfe635efec9517a5a75155e9a27273fb36","@","@","APED","@","","(Disk 1 of 2)","1987","Arnor","@","","","","","","","","",""
"@",,"2379c8f1372cf17b8c24357aa87d7aeddb20ac65","@","@","APED","@","","(Disk 2 of 2)","1987","Arnor","@","","","","","","","","",""
"@",,"263e284287df3af32b1216531f05736d997a9adb","@","@","Routeplanner","@","","v 2.1","19xx","Systeme D","@","","","","","","","","",""
"@",,"97fb86d4bb14d3a758c07014978d58b039d8f2b7","@","@","PAW","@","","","19xx","Gilberts, Tim - Yeandle, Graeme","@","","","","","","","","",""
