"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"@",,"5157f2bd91d72558eea16bc299ecffb43576260f","@","@","Super Star Wars: Return of the Jedi","@","","v rev0","1994","LucasArts","us","","","","","","","","","4"
"@",,"5172400a5b1d0787f4f4ce76609598147bf8abbd","@","@","Rockman & Forte","@","","","1998","Capcom","jp","","","","","en","","","",""
"@",,"5182cdd9d9129f019c9e779b41c5df6c61e1a55a","@","@","Ninja Gaiden Trilogy","@","","","1995","Tecmo","us","a","a 3","","","fr","","","",""
"@",,"518bcd8e3b2e7330d90810744caf5f115ca83c55","@","@","Primal Rage","@","","(beta)","1995","Bitmasters - Time Warner Interactive","us","","","","","","","","","1"
"@",,"519366218124478a573b330a364f2dbb28b0ab54","@","@","Mario & Wario","@","","Language en","1993","Nintendo","jp","","","","2","","","","",""
"@",,"51be6fa2ec63fc2cf09823b5185b316569f67d40","@","@","The Shadow","@","Shadow, The","(beta)","1994","Ocean","@","","","","","","","","","3"
"@",,"51e92feb8318e9b5796ad8fa468c283498ca21a4","@","@","Hat Trick Hero 2","@","","Language en,ja","1994","Taito","jp","","","","","","","","","3"
"@",,"520ed61aa390f447d71a6a16582464e9888381d2","@","@","Mortal Kombat 3","@","","Language en","1995","Acclaim - Midway - Sculptured Software - Williams","eu","","","","","","","","",""
"@",,"5210e6d56398ea06077ce8182f1cbfaa956c9cda","@","@","Final Fantasy VI","@","","","1994","Square","jp","","","","","","","","","12"
"@",,"521249ed57c74dc85349aa5e2afca587443a7cef","@","@","Frankenstein","@","","","1994","Sony","us","","","","","","","","",""
"@",,"52334f91292410d49e4dc8242c2b3d5559983e84","@","@","Final Fantasy VI","@","","","1994","Square","jp","","","","","","","","","16"
"@",,"5240d97b235f5377e842518b70699f6e30436fc4","@","@","Where in Time Is Carmen Sandiego","@","","","1992","Broderbund - Electronic Arts","us","","","","","","","","",""
"@",,"5262d93b8c2bb939c67e86842e794439f87156f1","@","@","Biker Mice from Mars","@","","","1994","Konami","us","","","","1","","","","",""
"@",,"528bdd4c912b7ab268e102a9e90eb34490459208","@","@","The King of Dragons","@","King of Dragons, The","","1994","Capcom","jp","","","","","","","","","2"
"@",,"52bf47bd5a178f44e412b0e24b96dde9dcb94fa0","@","@","Garou Densetsu 2: Aratanaru Tatakai","@","","v rev0; Language en,ja","1993","SNK - Takara","jp","","","","","","","","","3"
"@",,"52e1d0b2e7a7eaf52bf533f58c3ee21846f3ca1a","@","@","Teenage Mutant Ninja Turtles: Turtles in Time","@","","Language en,ja","1992","Konami","jp","b","b 1","","","","","","",""
