"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"@",,"2fc46d3cf25f445f4c694587de7be0c21ab613c4","@","@","Frog Feast","@","","Copyright Public Domain; (beta)","2005","Rastersoft","@","","","","","","","","",""
"@",,"309925bcb3565a9f4d99e49a0ecb063e8362bce7","@","@","DEMO1C","@","","Copyright Public Domain","199x","@","@","","","","","","","","",""
"@",,"311e41ebba1b78f514bf16789ddb7e7e8dfb47ff","@","@","Ultra Vortek","@","","","1995","Beyond Games","@","","","","","","","","",""
"@",,"32ff3811f8f6df8a2bb56165c62227a3a480e55c","@","@","Zool 2","@","","","1994","Atari","@","","","","","","","","",""
"@",,"331ea0431c27ddd96fa344666186924804a3c7ad","@","@","Asteroid","@","","Copyright Public Domain","2000","@","@","","","","","","","","",""
"@",,"336e0df48d9c93eaf4e94feb1b405ee4eafbbd5d","@","@","Jagmania: January 6th","@","","Copyright Public Domain","2001","Matthias Domin","@","","","","","","","","",""
"@",,"343e04689d75abfe9e6d24b126b65fea80ef15a7","@","@","Alien Vs Predator","@","","Language alpha","1994","Atari","@","","","","","","","","",""
"@",,"36241d57ca17d0a52c4a15d26920893f9e5b429b","@","@","Jaguar MemoryDump","@","","v 1.1; Copyright Public Domain","19xx","Matthias Domin","@","","","","","","","","",""
"@",,"36c1e20fa836f03cf461e6902cc835682a8022a8","@","@","Atari Jaguar Behind Jaggi Lines","@","","v 1.06.0; Copyright Public Domain","199x","@","@","","","","","","","","",""
"@",,"37f4e86efc9baf466b62ffe04814fbbbb0f51617","@","@","Jagmarble","@","","Copyright Public Domain","1999","Matthias Domin","@","","","","","","","","",""
"@",,"3828d2f953224d06b5fe7ab3644d6a75fdfe79e3","@","@","Tempest 2000","@","","","1994","Atari","@","","","","","","","","",""
"@",,"3c04e19dbd3260c8f9d65c20d6d65cfa54acb842","@","@","Font","@","","v 1; Copyright Public Domain","199x","Mr.Well's","@","","","","","","","","",""
"@",,"3db485aaa28a817f468739a85e3f25741c3855ad","@","@","I War","@","","","1995","Atari","@","","","","","","","","",""
"@",,"3ea9053a63a3b0165ccec91e85f0e699a998dc0a","@","@","Missile Command 3D","@","","","1995","Atari","@","","","","","","","","",""
"@",,"3f8ccc95918c79c2df590710f72734247b111774","@","@","Kasumi Ninja","@","","","1994","Atari","@","a","a 1","","","","","","",""
"@",,"401ae0707d21643ebd927b3d1acbd954615c3636","@","@","Legion Force Jidai Intro","@","","Copyright Public Domain","2001","Force Design","@","","","","","","","","",""
"@",,"40cce38388c0b02cdeacc02a1476a4c70858adcb","@","@","Gorf 2000","@","","Copyright Public Domain","19xx","@","@","","","","","","","","",""
"@",,"41c7d50bde8e1267afd043394f9bc6a463095fa2","@","@","Rayman","@","","Demo 1","1995","Ubisoft Entertainment","@","","","","","","","","",""
"@",,"4733cf2ede2713467f2a80b052ab94edf6dfe534","@","@","Pinball Fantasies","@","","","1995","Atari","@","","","","","","","","",""
"@",,"4b4ad37d6b057ae8d59e45c23aad3164bdcbaaf1","@","@","Jaguar Tetris","@","","Copyright Public Domain","1995","Bastian Schick","@","","","","","","","","",""
"@",,"4c6a6432ea0bc198f900f4ebdb8a3a7a34475d84","@","@","Troy Aikman NFL Football","@","","","1995","Atari","@","","","","","","","","",""
"@",,"4c6fecd63cf1cfff41e77ef11d0b56952a8ff994","@","@","Jagfest","@","","Copyright Public Domain","2001","@","@","","","","","","","","",""
"@",,"4d0cc8d248a8bd0fc4b8169c5d5772e59c073c59","@","@","Checkered Flag","@","","","1994","Atari","@","","","","","","","","",""
"@",,"4d16596ac2d991435599e1fe03292adfb25c346d","@","@","White Men Can't Jump","@","","","1995","Atari","@","","","","","","","","",""
"@",,"4eb914c774a1608bf0d15ddb387566e7b02729e3","@","@","Jag Pattern","@","","Copyright Public Domain","199x","@","@","","","","","","","","",""
"@",,"4f87982b6e16072e58a5653a3f763c8b4b3bffcc","@","@","Atari Jaguar Stubulator '94 BIOS","@","","","1994","Atari","@","","","","","","","","",""
"@",,"52ec786f7536ab043dc24725af94068cad2b0ec3","@","@","Zoop","@","","","1996","Atari","@","","","","","","","","",""
"@",,"5550ae55bb0da81272addf869c842808363e36f9","@","@","Chroma Luma Colors Picker for Mouse","@","","Copyright Public Domain","1996","Matthias Domin","@","","","","","","","","",""
"@",,"5588a33f48b2af736b86675a836acba3352341e9","@","@","Drumpad 2","@","","Copyright Public Domain","2000","Robert Jurziga","@","","","","","","","","",""
"@",,"57882eef55ea903c5eb8a2fcccdd3313474d7a59","@","@","Phase Zero","@","","Copyright Public Domain","2000","@","@","","[BIN]","","","","","","",""
"@",,"5ad3cbd92960dd1af683ebcac8c8e6434d9ad2e2","@","@","Badcode4m","@","","Copyright Public Domain","2001","Badcoder","@","","","","","","","","",""
"@",,"5be3da69a64b779d064d139968fadbe1c475c715","@","@","Fever Pitch Soccer","@","","","1995","Atari","@","","","","","","","","",""
"@",,"5c170f54e90362a1d7c95751bfa022ed8247867a","@","@","BadCode1","@","","Copyright Public Domain","1999","Badcoder","@","","[COF]","","","","","","",""
"@",,"5d6fcff38c701b9a07a61970d9dc4e9c349ebc6d","@","@","Badcode3","@","","Copyright Public Domain","2000","Badcoder","@","a","a 1","","","","","","",""
"@",,"5fadd1eb608034ef236fcae6bef6f1f267c2a61b","@","@","Clicks 4","@","","Copyright Public Domain","199x","Matthias Domin","@","","[JAG]","","","","","","",""
"@",,"61214ae7df3e7e806ed86c359f3db37575a273cd","@","@","Fight For Your Life","@","","","1996","Atari","@","a","a 2","","","","","","",""
"@",,"62e58b2de3509a3553dd6d330916b1c74e695292","@","@","Jaguar Server Intro","@","","Copyright Public Domain","199x","@","@","","","","","","","","",""
"@",,"6588f7d677463d0ef10cf905d44a2581fd9dd055","@","@","Club Drive","@","","","1994","Atari","@","","","","","","","","",""
"@",,"676dc7f01097754f14782cc28d16cdb215a17ccb","@","@","Chroma Luma Colors Picker","@","","Copyright Public Domain","1996","Matthias Domin","@","a","a 2","","","","","","",""
"@",,"67c8a510c6575dc489d5f6c9f6e2b0226470f01c","@","@","Jaguar Server","@","","v 1.08; Copyright Public Domain","1996","Istari Software","@","","[KeyB]","","","","","","",""
"@",,"686176f5a7bdaef690d853523a338beb8a93d244","@","@","Fight For Your Life","@","","","1996","Atari","@","a","a 1","","","","","","",""
"@",,"6ad757d2c898f6b82ca2dc13a729d2c56a04e88c","@","@","BlackJag","@","","v 1.1; Copyright Public Domain","2005","FORCE Design","@","","","","","","","","",""
"@",,"6c47ca6de5f04827e142dc80556413c953f5982b","@","@","JDC Example","@","","Copyright Public Domain","199x","Lars Hannig","@","","","","","","","","",""
"@",,"6d979cfed2bca6440a48858c1069f9e60fba378d","@","@","BadCode4N","@","","Copyright Public Domain","2000","Badcoder","@","","[JAG]","","","","","","",""
"@",,"6e1f24a6e1a72274c74a944d6ed257e19984de69","@","@","JAGMania","@","","v rev20040618; Copyright Public Domain","19xx","@","@","","","","","","","","",""
"@",,"6eee51569909cdb4aad2eb996ae9a72a7c75b22c","@","@","Native Demo","@","","Copyright Public Domain","1997","@","@","","","","","","","","",""
"@",,"6f58b9907b178eabc1f385eb19b2a7a38d9df586","@","@","Painter","@","","Copyright Public Domain","1996","Sinister Developments","@","","","","","","","","",""
"@",,"6ffe93fd783f1e9fc2b14566e46e8cf8fb9c9085","@","@","Viewgif","@","","Copyright Public Domain","19xx","@","@","","","","","","","","",""
"@",,"7145a2e5690aee04965ab8504c0f897d9f84d30b","@","@","Atari Jaguar Universal Cartridge Validation","@","","","199x","@","@","","","","","","","","",""
