"Group","SHA1","ID","Folder","FileName","Title","Media Filename","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"@",,"0234a81a5ba025d58c01396497a2c36ee1a1d1e0","@","@","Kid Icarus: Of Myths and Monsters","@","","","1991","Nintendo","@","a","a 5","","","","","","",""
"@",,"0256082f482af57e0472f5713a432a22bfa4d2fc","@","@","F-1 Race","@","","v rev1","1990","Nintendo","jp","","","","","","","","",""
"@",,"0259697316043d22bd1bcd084c119e008cce912c","@","@","Kirby's Pinball Land","@","","","1993","HAL Laboratory","eu,us","b","b 1","","","","","","",""
"@",,"026186046e80129cfa229bfc73f91f73393a5557","@","@","Tetris","@","","v rev1","1989","Nintendo","eu,us","a","a 1","","","de","","","",""
"@",,"02819300c8f50a34ec947aacdca7ba9654a32b37","@","@","SD Hiryuu no Ken Gaiden","@","","","1995","Culture Brain","jp","b","b 2","","","","","","",""
"@",,"02882d847697688b9ad3ad95815bffd50a5316d1","@","@","Slam Dunk","@","","","1994","Bandai","jp","b","b 1","","","","","","",""
"@",,"02b1d728a8c722bd2299c44b54beb4de6eb70e4f","@","@","Namco Gallery Vol.2","@","","","1996","Namco","jp","","","","","","","","",""
"@",,"02baaf987249f2daf9daa6d6000e61adc05b0ef6","@","@","Koukou Nyuushi Derujun: Chuugaku Eijukugo 350","@","","","19xx","Imagineer","jp","","","","","","","","",""
"@",,"02ddcaef0008871786797fc76c649d74f010718d","@","@","Shikakui Atama o Maru Kusuru","@","","v rev0","1998","Imagineer","jp","","","","","","","","",""
"@",,"02f3405c9d79bbc1fe3fa1ca98e4cab0e737bfca","@","@","Batman","@","","","1990","Sunsoft","@","a","a 1","","","fr","","","",""
"@",,"0307b959536c321fc63152531c62a5e599aa5249","@","@","Golf Classic","@","","","1993","Malibu Games","eu","o","o 1","","","","","","",""
"@",,"031421f49f98a15187012dc3f15960b260b9979f","@","@","Animaniacs","@","","","1995","Konami","@","a","a 3","","","","","","",""
"@",,"0325b5cbaf09c423c247859e202cffb5baca0f39","@","@","RoboCop","@","","v rev0; Language en","1990","Ocean","jp","b","b 2","","","","","","",""
"@",,"03269715c9398659fa685830a6359caa3ffa3bbf","@","@","Kamen Rider SD: Hashire! Mighty Riders","@","","","1993","Yutaka","jp","","","","","","","","",""
"@",,"032bea33b9cb91cf4a4dd6244c0a247c39115d40","@","@","The Sword of Hope","@","Sword of Hope, The","","1990","Kemco","us","o","o 2","","","","","","",""
"@",,"0345349701829135f44a1b074cc802c7553dcd79","@","@","Avenging Spirit","@","","","1992","Jaleco","@","","","","","","","","",""
"@",,"034f9a896602efe07263bbb1d69c30f1ecc68369","@","@","Super Mario Land","@","","v rev0","1989","Nintendo","@","b","b 3","","","","","","",""
"@",,"03524a040c0d7883b564845a377cc2a4c838176e","@","@","Gargoyle's Quest","@","","v rev0","1990","Capcom","@","a","a 1","","","","","","",""
