"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"@",,"0a7e05484605bb7a614614ba3da5a2362c4e170e","@","@","Birds of Prey","@","","","1983","Keyne, J.","@","b","b 1","","","","","","",""
"@",,"0a7e2d5e661310bf1c42ed60b912f8efc5b2597d","@","@","Micro Olympics","@","","","198x","Electron User","@","a","a 1","","","","","","",""
"@",,"0a8da36718e45b44f5e881855c0d024466059985","@","@","Poker","@","","","1986","Duckworth","@","","","","","","","","",""
"@",,"0a8e7b9a15abec0295222fef1db87317cb798fd4","@","@","Eye of Zolton","@","","","1983","Brainstorm","@","","","","","","","","",""
"@",,"0ac766e89ae2550ac42245b54782fff4b29f7f01","@","@","Adventure #15: Buckaroo Banzai","@","","","1984","Adams, Scott - Adventure International","@","b","b 1","","","","","","",""
"@",,"0acfdba0e7bf203c69bbe846dcf7aba6ac30a036","@","@","Mini Office: Word Processor","@","","","198x","@","@","","","","","","","","",""
"@",,"0ae230a2c4e689f5af1dbf4321d2729e9aa555fd","@","@","Tarzan Boy","@","","","198x","Aligata","@","","","","","","","","",""
"@",,"0b09dd32476793feebcb97f53c82cc5563f51976","@","@","Mission XP-2","@","","","198x","Holl-Soft","@","","","","","","","","",""
"@",,"0b0a6ab7e88fdb353e6103cb099eeefed1c726d5","@","@","Axe of Kolt: Part 1","@","","","198x","ELK Adventure Club","@","","","","","","","","",""
"@",,"0b63f2a51a8f387de941ca198b10a17bd915a9b1","@","@","Electron User: Issue 3-1: Dungeon Quest","@","","","19xx","Electron User","@","","","","","","","","",""
"@",,"0c0d6ff261ab026a649d57f003a13c4336fb67d1","@","@","Survivor","@","","","1987","Atlantis","@","","","","","","","","","S.A.M."
"@",,"0c25ea9d4c2e3e0b25e4e4f681bcb5310ad35c56","@","@","Evil Weevil","@","","","1984","Grove, J.","@","","","","","","","","",""
"@",,"0c66f66131ab7afd79d1f75e8ac32445e64f1fd8","@","@","Ravenskull","@","","","1986","Acornsoft - Superior Software","@","a","a 1","","","","","","",""
"@",,"0ce6c4e3c0a361216d2a2737f216f715667abddd","@","@","Table Games: Piquet","@","","","1983","Gemini Games","@","","","","","","","","",""
"@",,"0cea7a369f2fe17f53400e5609caec5b48f26d69","@","@","Super Pool","@","","","1984","Software Invasion","@","","","","","","","","",""
"@",,"0cf29f9892ae508b274a495c9983f7381e873014","@","@","Holed Out","@","","","1989","Fourth Dimension","@","b","b 1","","","","","","",""
"@",,"0d41c9ed6974dfc5255402fd2299978d450c5f14","@","@","Q-Bix","@","","","1986","Aligata - Unicorn","@","","","","","","","","",""
"@",,"0d97af09147fc37bee6da9c7989dc9d3a6c493cd","@","@","Strykers Run","@","","","1986","Superior Software","@","","","","","","","","",""
"@",,"0da10a61100f94d6eb3c532432936ca415cb6f3a","@","@","Thunderstruck","@","","","1986","Mindmaster","@","b","b 1","","","","","","",""
"@",,"0da879179e15ad656ef0cde096a848882ee7020a","@","@","Electron User: Issue 2-3: Christmas Box","@","","","19xx","Electron User","@","","","","","","","","",""
"@",,"0dc77463f74429d70e9e229a51ae22a0ab700a5d","@","@","Indoor Sports","@","","","1988","Mindscape - Tynesoft","@","","","","","","","","",""
"@",,"0dcc89917386e272aebcdc188bd12b3bc916233c","@","@","System-8","@","","","1988","Blue Ribbon - Cygnus Software","@","","","","","","","","",""
"@",,"0e6831ccb38491df0d4beb669cd07cf5c1908697","@","@","Bomber Baron","@","","","1985","Optyx","@","","","","","","","","",""
"@",,"0e8e94b2c55cc18865c1b0d8c7c0dcd27fd42eee","@","@","Sphere of Destiny 2","@","","","1987","Audiogenic","@","","","","","","","","",""
"@",,"0f1ffeb4c7d2953a110029039e9a9b21bf94296a","@","@","Electron User: Issue 1-6: Draw","@","","","19xx","Electron User","@","","","","","","","","",""
"@",,"0f488b5fbd81830cc8e974a8c6c96f97167482c1","@","@","Saigon","@","","","1988","Tynesoft","@","","","","","","","","",""
"@",,"0fb84c24a0a11e69144771fd6dbe6036d0570fee","@","@","Super Pool","@","","","1984","Software Invasion","@","","","","","","","","",""
"@",,"0fee148397f8917a8208b63011ca7235e50e8a1b","@","@","Jet Set Willy","@","","","198x","Tynesoft","@","a","a 2","","","","","","",""
"@",,"0ff3b564a69ee43a561e0c78ee4b33a2f6f80ee2","@","@","Hyperball","@","","","198x","Superior Software","@","","","","","","","","",""
"@",,"103602bdbdffd91c9495299dbb6e066f14ce2795","@","@","Repton 2","@","","","1985","Superior Software","@","a","a 1","","","","","","",""
"@",,"104010b64d9f15938e6cd4359639db90e50b5494","@","@","Shuttle Simulator","@","","","1983","Microdeal","@","","","","","","","","",""
"@",,"10716471f6dfee7e969c5d93e8103d1752c06ec0","@","@","Starship Quest: Sequel to Magnetic Moon, The: Part 3","@","","","198x","ELK Adventure Club","@","","","","","","","","",""
"@",,"10ff75d238cf636203dd38d728b0d48d75d4ba1b","@","@","Four Wands, The: Part 2","@","","","1988","Gore, D.W.","@","","","","","","","","",""
"@",,"116df5afeda5d339d18a1133a037895bad0ca6f4","@","@","Joe Blade","@","","","1988","Players","@","","","","","","","","",""
"@",,"11764a6cf14c646ad09fdc9df41587f4195d3818","@","@","Jet Set Willy","@","","","198x","Tynesoft","@","","","","","","","","",""
"@",,"11f230ab02b86af619dffc72632e68b61d69d9f1","@","@","Frak","@","","v 0.2","1986","Aardvark","@","","","","","","","","",""
