"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"@",,"022d9ffbf42ab7059b402cd6e138a48918ad0e84","@","@","Nevets","@","","Language it","1984/08","J.soft","@","","[Paper Soft]","","ype-in","","","","",""
"@",,"023b0f8d7bd0c6fbe8568ad5636ebab04fe18704","@","@","Pescatore, Il","@","","Language it","1985/09","J.soft","@","","[Paper Soft]","","ype-in","","","","",""
"@",,"023ce41756f8744b9537f2d3522e880d9a291eee","@","@","Creepers","@","","","1983","Virgin","@","a","a 1; [8k]","","","","","","",""
"@",,"023d8c7dbf801fd2553a8d8b9e1f2c004a1a3b60","@","@","Rescue of Blondell","@","","","1985/01","Compute!","@","","","","ype-in","","","","",""
"@",,"0244eafd9434245ba2699192a23130af16950ce1","@","@","Sprite Invaders","@","","","2011","Hurst, Robert","@","","[R10.30]; [8k]","","","","","","",""
"@",,"0250bd607eed2d73016b34a3eb3a281b02f2f83d","@","@","Motocross Racer","@","","Video NTSC","1983","Xonox","@","","[A000]","","","","","","",""
"@",,"028aa206bf070cf5ddcddd77c240e06175b492f6","@","@","Moneybags","@","","","198x","Bubble Bus","@","","","","","","","","",""
"@",,"028d6e4f087fbe79ab7d42021678d7efa00cf635","@","@","Dot Gobbler","@","","Video NTSC","1983","OEM","@","","[A000]","","","","","","",""
"@",,"028e218b6f31869b1cc228a290ea3f55d7d0c231","@","@","Fire Trek","@","","","1981","VIC-Soft","@","b","b 1","","","","","","",""
"@",,"029c09478fc60c8a35549964b8822340d2ea4113","@","@","Theater of War II","@","","","2011","System Four","@","","","","","","","","",""
"@",,"02b2cc359655bdfacf24359c7fcd43b729048683","@","@","Omega Attack","@","","Language de","1986/08","Tronic Verlag","@","","[Compute mit]","","ype-in","","","","ultipart",""
"@",,"02cc16a38609c22f249fd8f8a5e52e68cbeef325","@","@","Jupiter Defender","@","","","1983","Interceptor","@","","","","","","","","",""
