"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"@",,"88a923f3dc8951cb3685cdf442ee608d89317a88","@","@","Lights Out","@","","Copyright Public Domain","2004","Riddle, Sean","@","","","","","","","","",""
"@",,"8b6cc8f682c49e7ed2e4833333aa4d6c5f9c42d9","@","@","Tetris","@","","","2004","Trauner, Peter","@","","","","","","1","","",""
"@",,"8edfb668b3eb759f8597fb13b1aeaf43aaf53680","@","@","Tic Tac Toe + Shooting Gallery + Doodle + Quadra Doodle","@","","","1976","Fairchild","@","","","","","","","","",""
"@",,"8f70d1b74483ba3a37e86cf16c849d601a8c3d2c","@","@","Fairchild VES & Channel F BIOS","@","","","1976","Fairchild","@","a","a 1","","","","","","",""
"@",,"9267d85982414af753172e4c9998863463c32c99","@","@","Pinball Challenge","@","","","1978","Fairchild","@","","","","","","","","",""
"@",,"94c1920dd9ca875d60f75c8e6669ea99df8ea687","@","@","Pac-Man","@","","","2004","Blackbird - e5frog","@","","","","","","1","","",""
"@",,"97e12dba298460ce466509e9aefb82fe2503ef6f","@","@","Slot Machine","@","","","1978","Zircon","@","","","","","","","","",""
"@",,"98f73b2119ec2195117c6fcd290d8eb2d6410907","@","@","Tetris","@","","","2004","Trauner, Peter","@","a","a 1","","","","1","","",""
"@",,"9ac23df58c95bdbe68e3a0d0a477f07cd4e951d0","@","@","Backgammon + Acey-Ducey","@","","","1977","Fairchild","@","","","","","","","","",""
"@",,"9af18e7fa3b2d040f33cbe2286392ce5fe31d0df","@","@","Spitfire","@","","","1976","Zircon","@","","","","","","","","",""
"@",,"9b0c9bd3e52da22ca7f2aab6fbb5f3c24f89ef75","@","@","Baseball","@","","","1977","Fairchild","@","","","","","","","","",""
"@",,"9be97cace9b99f15a373bd95f3996034d633fff5","@","@","Pro Football","@","","","1978","Zircon","@","","","","","","","","",""
"@",,"a15449eec75382af6dd71e766cae1171308d192c","@","@","Sonar Search","@","","","1977","Fairchild","@","","","","","","","","",""
"@",,"a39a0a9333c6427a1d3a4d6a7e5be6bf404cc84a","@","@","Pac-Man","@","","","2004","Blackbird - e5frog","@","a","a 5","","","","1","","",""
"@",,"a7b70fb6f24bb1dd79f2cbb1e57b3edb04332e04","@","@","Maze + Jailbreak + Blind-man's-bluff + Trailblazer","@","","","1977","Fairchild","@","","","","","","","","",""
