"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"@",,"18a0026ddfb0d335ec8ce647b4cc3641d703317e","@","@","The Best Business BASIC Programs from 'On Three' Magazine","@","Best Business BASIC Programs from 'On Three' Magazine, The","Copyright Public Domain; (Side B)","1991/03","WAP III SIG","@","","[3BSB-08]","","","","","","",""
"@",,"1d41d20947db1e4748f1c6c1d1c127f4c90c55aa","@","@","Reviews by Bloom","@","","Copyright Public Domain; (Side B)","19xx","WAP III SIG","@","","[3BLM-04]","","","","","","",""
"@",,"1d7f3bba9646c010462b18246649a029aad9b425","@","@","Apple III Pascal","@","","v 1.1; (Disk 1 of 3)","1983/04","Apple Computer","@","","","","","","","","",""
"@",,"1e1be034738d9dedb81b5ce248e29eeaffda1810","@","@","AppleCon","@","","Copyright Public Domain; (Side A)","19xx","WAP III SIG","@","","[3BSB-09]","","","","","","",""
"@",,"206e97e4125571433c754a88ad8a1da6cbb043e9","@","@","Pohlman","@","","Copyright Public Domain; (Disk 2 of 5); (Side B)","19xx","WAP III SIG","@","","[3BSB-04]","","","","","","",""
"@",,"20e99edbd36a84721a2e6a206320f20f36b6fb07","@","@","Contributions Disk #1","@","","Copyright Public Domain; (Side A)","19xx","WAP III SIG","@","","[3AZW-06]","","","","","","",""
"@",,"260ab6ce4be276e83c8ed2bb97b2861331d096ad","@","@","Video Catalog","@","","Copyright Public Domain; (Disk 1 of 2); (Side B)","19xx","WAP III SIG","@","","[3AZW-10]","","","","","","",""
"@",,"260ec6fa2f97efd610b9a0c6511a86a2cc6dde16","@","@","WAP III SIG Catalog: ASCII Version","@","","Copyright Public Domain; (Disk 2 of 4); (Side B)","19xx","WAP III SIG","@","","[3CAT-02]","","","","","","",""
"@",,"261f6e081524c6d1b19fb0a165d3414c7302c3db","@","@","GUCSPAR by Bloom","@","","Copyright Public Domain; (Side B)","19xx","WAP III SIG","@","","[3BLM-05]","","","","","","",""
"@",,"265978e138b7294ab827b1d396c50a1f5c2b4906","@","@","Double Boot","@","","Copyright Public Domain; (Side B)","1995/01/16","WAP III SIG","@","","[3EMM-09]","","","","","","",""
"@",,"265c1653ac324a342ba07bd850eff3929c32db6c","@","@","LISTIT by Bloom","@","","Copyright Public Domain; (Side A)","19xx","WAP III SIG","@","","[3BLM-17]","","","","","","",""
"@",,"2afc0976d91332425c9df879153350fadb8a5834","@","@","The Retriever","@","Retriever, The","Copyright Public Domain; (Side A); (RUN.RETRIEVER)","19xx","WAP III SIG","@","","[3DAD-03]","","","","","","",""
"@",,"2d63d77f0abbf025c548399e0925235c0a2b64e3","@","@","Advanced Visicalc & Mail List Manager Hard Disk Versions","@","","Copyright Public Domain; (Side A); (Advanced Visicalc)","19xx","WAP III SIG","@","","[3APL-03]","","","","","","",""
