"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
@,,09b786f3fe0321a804de17156d9baf3d977a0900,@,@,"Wonder Boy in Monster Land",,,v1,1988,Sega,,,,,,,,,,2
@,,09e537f2d84d09df9610ad3fd592ae2093a624c2,@,@,"Canyon Racer",,,"v0.01 / ",19xx,"Pinheiro, Haroldo",,,,,,,,,,
@,,09edc943fc6da8657231b09f75d5e5c6bbbac24d,@,@,"Cheese Cat-astrophe Starring Speedy Gonzales",,,,1995,Sega,,,,,,,,,,
@,,09fdb724ccf427af7ddd8f89cf0581f2a0b2f7f1,@,@,"Wonder Boy in Monster Land",,,beta,1988,Sega,,,,,,,,,,
@,,0a4821c3669623bf72c627b0fcc889473db3b631,@,@,"Interrupt Test",,,,2001,"MacDonald, Charles",,,,,,,,,,
@,,0a6778db2bc30474b776405108710498fdf10a5a,@,@,Klax,,,,1991,"Atari / Tengen",,b,,,,,,,,
@,,0aaa9b8ea8c5962b6420de3dadde39ed6125a077,@,@,"Out Run",,,,1987,Sega,,b,,,,,,,,
@,,0ac126a48e3a43c0a2282d51320b9cdc415836b3,@,@,"Phantasy Star",,,v3,1988,Sega,,,,,,fr,,,,
@,,0b46e31f656fee2ac8d947ca9bb91881d1c72428,@,@,"Mickey's Ultimate Challenge",,,,1994,"Disney / Hi Tech Expressions / Tec Toy",br,b,,,,,,,,
@,,0b51e0ca87f766a4a21499181bc4f61b9fc5b181,@,@,"Sega Tween",,,"v1.00 / ",2007,"Ryves, Ben",,,,,,,,,,
@,,0bc511d809b6e401e9855a89d0ef821b2e8df109,@,@,"R.C. Grand Prix",,,beta,1989,"Absolute Entertainment",,,,,,,,,,
@,,0c7925b53401f8084caf9fda4758703ecc2cb410,@,@,"Tom and Jerry: The Movie",,"Tom and Jerry - Movie",,1992,Sega,,b,,,,,,,,
@,,0cbf3a3aa0fa94d537030eed0b3455b1d1bd4b2f,@,@,"Alex Kidd in Miracle World",,,v1,1986,Sega,,b,,,,,,,,
@,,0ccc0e2d91a345c39a7406e148da147a2edce979,@,@,"Batman Returns",,,,1992,Sega,,,,,,,,,,
@,,0d202166d4a3bdfcf90514c711c77e4f20764552,@,@,"Tennis Ace",,,,1989,Sega,,,,,,,,,,
@,,0d2697c750e8e7ea877050c580dd0856f8e495f7,@,@,"Phantasy Star",,,,1987,Sega,jp,b,,,,,,,,
@,,0d65f936812068ceea0ed97bc9e9f43d42d73102,@,@,"Penguin Adventure",,,,19xx,Zemina,kr,,,,,,,,,1
@,,0da0b9755b6a6ef145ec3b95e651d2a384b3f7f9,@,@,"Alien Syndrome",,,v1,1987,Sega,,,,,,,,,,
@,,0db84fedf1b2587df6da68a8db109a50be6729fe,@,@,"Cross Snake",,,v1.0,2020/12/12,"Caruso, Fabrizio",,,,,,,,,,
@,,0dc37f1104508c2c0e2593b10dffc3f268ae8ff9,@,@,Vigilante,,,,1988,"Irem / Sega",,,,,,,,,,
@,,0dda3513018a907590415d57f2c4f61fd5337c0a,@,@,"Tensai Bakabon",,,,1988,FCandChill,jp,,,,,en,,,,
@,,0ddd7448f5bd437d0d33b85a44f2bcc2bf2ea05e,@,@,"Loretta no Shouzou",,,,1987,Sega,jp,,,,,,,,,
@,,0df890c3dd153e3eb41df482c371b259d4129162,@,@,"Miracle Warriors: Seal of the Dark Lord",,"Miracle Warriors - Seal of the Dark Lord",,1988,"ASCII / Sega",,b,,,,,,,,
@,,0e12ce919cda400b8681e18bdad31ba74f07a92b,@,@,"Fire & Ice",,,,1993,"Graftgold / Tec Toy / Virgin",br,,,,,,,,,
