"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
@,,010a336bedc1022846f3498693cd6b5218a05b4c,@,@,"Pyramid Magic Special",,,@,1991,Sega,jp,@,"Sega Game Toshokan",@,@,@,@,@,@,@
@,,01130a234f36903ee42a529d7cddb58cc67ee014,@,@,"Emulaatori Detektor",,,v0.1,2006-12,TmEE,ee,@,@,@,@,@,@,@,@,@
@,,0119ba652e36222a5ff45622355c80af8367341e,@,@,Ranger-X,,,@,1993-07,Sega,eu,@,@,"NTSC GhostlyDark",@,@,@,@,@,@
@,,011dd3623dc7161fe1a1cec827c64f0e31eb05cc,@,@,"Shinobi III: Return of the Ninja Master",,,@,1993-09,Sega,us,@,@,@,@,pt,@,@,@,@
@,,01401adc3a369c0e6d42dd5715fdab4129211e10,@,@,"Streets of Rage 2",,,@,1992-12,Sega,us,@,@,@,@,@,@,@,@,"add Earthworm Jim Metal64"
@,,01411a51e243e446edc0777713054b927e414b2c,@,@,"Valis: The Fantasm Soldier",,"Valis - Fantasm Soldier",@,1991-12,Renovation,us,@,@,@,@,@,@,@,@,2
@,,0142ac143a679fd27d5836c9ed4646874cfef409,@,@,"Wonder Boy V: Monster World III",,,@,1991-10-25,Sega,jp,b,@,@,@,@,@,@,@,@
@,,014d412502d859cb3cf19e8ddf63184cdd3bdb75,@,@,"Wardner no Mori Special",,,@,1991-04-26,Visco,jp,@,@,@,@,@,@,@,@,*
@,,01591ae041031a4820caeb0bfcb1772e8b633352,@,@,Shadowrun,,,proto,1994-01-05,Sega,@,@,@,@,@,@,@,@,@,@
@,,015a952986fc5683c58c024150d3a2afba838963,@,@,"Toxic Crusaders",,,@,1992-12,Sega,us,b,@,@,@,@,@,@,@,@
@,,0163b6cd6397ab4c1016f9fcf4f2e6d2bca8454f,@,@,"Bible Adventures",,,v5.0,1995-06-30,"Wisdom Tree",us,@,@,@,@,@,*,@,@,@
@,,01723fd5989d1d3db2e379990882fc406c19f9e5,@,@,"Kick Off 3: European Challenge",,,@,1994-09,"VIC Tokai",eu,@,@,"NTSC GhostlyDark",@,@,@,@,@,@
@,,01798623fb1c6b00987a4863372e73253b0e5e84,@,@,"Alisia Dragoon",,,@,1992-02,"Game Arts",us,@,@,@,@,@,@,@,@,3
@,,017df2039eb605333229675025c439573defd3e8,@,@,"Mortal Kombat II",,,@,1994-09-09,Acclaim,@,@,@,@,@,@,@,@,@,6
@,,01875bb6484d44a844f3d3e1ae141864664b73b8,@,@,Taz-Mania,,,@,1992-07,Sega,@,@,@,@,@,@,@,@,@,@
@,,018e28628998d78c3346ed3a3032b0a297ca290a,@,@,"The Duel: Test Drive II",,"Duel - Test Drive II",@,@,MagicGame,eu-us,@,@,@,@,ru,@,@,@,@
@,,0196055833c49dae879efa2cb690555ab9c3b3ea,@,@,"Mr. Nutz",,,@,1994-11,Ocean,eu,@,@,@,@,@,@,@,@,5
@,,0197df59951085dc7078c4ec66c75be84566530a,@,@,"Super Real Basketball",,,@,1991-03,Sega,eu,@,@,@,@,@,@,@,@,@
@,,019f5eeba6a88eee6e343427aa5bcfe067221bfe,@,@,"Wonder Boy V: Monster World III",,,@,1991-10-25,Sega,jp,b,@,@,@,@,@,@,@,@
@,,01a445cf8ed57db1be4bd2aef1107d9e2fbcdb77,@,@,"Lethal Enforcers",,,beta,1993-08-13,Konami,@,@,@,@,@,@,@,@,@,@
