"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"@",,"cb19613a9377aef5be77bb00138fd8d0b201737e","@","@","W.B.W.: Wanna Be Wizard!","@","","","2004","Gamepark","kr","","","","","","","","",""
"@",,"cd1df6228293dc8193e779bdba562f3040e21b4a","@","@","Woody & Kunta: Treasure Island","@","","","2002","Gamepark","eu","","","","","","","","",""
"@",,"cef466f543741e720340b58a7ec9aab520ee4cab","@","@","Dynamate","@","","v 2.0; Copyright Freeware","2003/03/25","Flavor","@","","","","","","","","",""
"@",,"cf072fae0825164ff8c7393ab513058b78c46061","@","@","Winter Is","@","","","2003","Gamepark","kr","","","","","","","","",""
"@",,"d0f211c31db10b520f803b2bed35b14bd47db20d","@","@","Super Plusha Demo","@","","","2005/04/07","FaMe Soft","ru","","","","","","","","",""
"@",,"d137f8ed7e2a092037d64d8cf65bace68e2d6ebb","@","@","Her Knights: All for the Princess","@","","","2002","Gamepark","eu","","","","","","","","",""
"@",,"d7cf21ba51c7fea4257a7309eb31f96e635c783b","@","@","Hany Party Game","@","","","2002","Gamepark","kr","","","","","","","","",""
"@",,"daead1c5c246c1b8061a5a69d6464505eec2d2d0","@","@","DynaMate","@","","v 1.0; Copyright Freeware","200x","Flavor","@","","","","","","","","",""
"@",,"daf4fcd23cdc61f090e74722ee8b33d12f4318d7","@","@","SmashGP","@","","v 0.4c; Copyright Freeware","2005/08/11","mATkEUpON","fr","","","","","","","","",""
"@",,"dd4c7fed6f3fdbc9bf5df1489285129ec749d868","@","@","Wind-Ups","@","","v 0.9; Copyright Freeware","200x","Karthur","@","","","","","fr aquafish","","","",""
"@",,"e3e20ada1bce771d74fb31918feaaaf750909dec","@","@","U-BOOK Text-Hex Viewer","@","","v 0.1; Language en; (beta); (FW)","2002/04/29","FaMe Soft","ru","","","","","","","","",""
"@",,"ecfe55aa8c2f3fc8382c5c3171a3590c41f05668","@","@","Dynamate","@","","v 2.0; Copyright Freeware","2003/03/25","Flavor","@","","","","","","","","",""
"@",,"ef1cae9d810ee55aeefb86410843241503df30f1","@","@","Little Wizard","@","","","2001","Gamepark","eu","","","","","","","","",""
"@",,"f7e8c59c88adcce506cb6b8a86fd2ad9b307468f","@","@","Rally Pop","@","","","2001","Gamepark","kr","","","","","","","","",""
