"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"@",,"525f37de06025689e8a33dd37dcfa06bb2ace858","@","@","DinoSaw","@","","v1.0; Registered Giftware","1993/08/28","Cooper, Tom","","","","","","","","","",""
"@",,"527f429b2cb5011cc4c679923b16098297c4b315","@","@","Multi-Program 14","@","","","19xx","@","","","","","","","","","",""
"@",,"52924827d448385b8088182fc51ad944be49030e","@","@","Bubble Fair","@","","","1991","Eterna","","","","","","","","","",""
"@",,"54183952c0ee20cdbd29d73f8e0df4e5e089c8f7","@","@","Coconizer","@","","v1.3","1990","Playfield","","","","","","","","","",""
"@",,"546d7f32d16095ecdd01afc001cbc10b661c48aa","@","@","AUN: Level 4 Fileserver Release 2","@","AUN - Level 4 Fileserver Release 2","AUN Software Disc","19xx","@","","","","","","","","","",""
"@",,"54da1d0545b62591070b4f586efd5f3bf2859f62","@","@","VZap","@","","","2000","Vigay, Paul","","b","b 1","","","","","","",""
"@",,"560a93d70e9d4029e04e5dc33eaa1121d25a240d","@","@","PD Games 07","@","","","2003","Wocki","de","","","","","","","","",""
"@",,"5757ca6129520bd0b8aa520f0d7ce1f9eeb20ceb","@","@","Heimdall","@","","Disk 1 of 5; Disk 0","1993","Krisalis Software","gb","","F1018801","","","","","","",""
"@",,"58b61c7171cf944ed1e7a949bb6d1998982bef38","@","@","Oh, No! More Lemmings","@","","","2001","R-Comp Interactive","gb","","F1059601 - RPC-SA-Kinetic-RO4 Compatible Version","","","","","","",""
"@",,"58e1e3791a880cdf1544eaccdbe43452f8846ace","@","@","Starch","@","","","1990","Alien Images","","","","","","","","","",""
"@",,"5966905bb45933c898ded5b3ae9fa557ef820321","@","@","Text Utilities 02","@","","","2002","Wocki","de","","","","","","","","",""
"@",,"59b5706488a5be5dc7774c142b1f01cd61bcb766","@","@","Simon the Sorcerer","@","","Disk 09 of 10","1994","Gamesware","","","","","","","","","",""
"@",,"5a541ea99fd3e143285922799fd33628d8a4830c","@","@","Populous","@","","","1992","Krisalis Software","gb","","F1028501","","","","","","",""
"@",,"5ae480ff4765575e5fac504e25daeb885a41228d","@","@","Archimedes Moria","@","","","19xx","@","","","","","","","","","",""
"@",,"5bf7651aa0232baa859aac5055b2560fa3a77adb","@","@","PD Games 03","@","","","2002","Wocki","de","","","","","","","","",""
"@",,"5c6fff2812f3c5657fac111f0d3b61cd52ac50bc","@","@","Multi-Program 01","@","","","19xx","@","","a","a 1","","","","","","",""
"@",,"5c777725ef67d9467eabc30f66a551117ad85d3c","@","@","Multi-Program 13","@","","","19xx","@","","","","","","","","","",""
"@",,"5fec9daf4499e5161306be9f66c0795aaa0f75cb","@","@","Ixion","@","","Disk 2 of 2","1992","Software 42","","","","","","","","","",""
"@",,"60218e51bc9045906a0ec570d2436b01a26e6a98","@","@","Spheres of Chaos","@","","","1993","Black, Matt - McLeod, Iain","","a","a 1","","","","","","",""
"@",,"60a83b38ec52abf7b57c1d438be49a4c4e89fcc5","@","@","Minotaur","@","","","1987","Minerva","gb","","F1025101","","","","","","",""
"@",,"60f95260f954eefdc82a60f7240eec618d7a9fdf","@","@","Arcturus","@","","Demo playable","1994","Oregan Software Developments","gb","","","","","","","","",""
"@",,"614b8b7c735851697a4b16df916c07e8be7b504f","@","@","Speedball 2: Brutal Deluxe","@","Speedball 2 - Brutal Deluxe","","1992","Krisalis","","","","","","","","","",""
"@",,"61b6da4dda85f65fad13067082b9e67dabfee566","@","@","Chuck Rock","@","","Disk 2 of 2","1991","Krisalis","","","","","","","","","",""
"@",,"62baf7ffd2162b58ec7e8b2b611dea830d449caa","@","@","Sim City","@","","","1993","Krisalis","","","","","","","","","",""
"@",,"62c091132b60974c942a0b11f37b59512cbc3812","@","@","Guile","@","","","1992","Dream","gb","","1600K","","","","","","",""
"@",,"62e2174ef45fe59e281bcf834c0dd77ebbd142b5","@","@","Bug Hunter in Space","@","","","1990","Minerva","gb","","F1006001","","","","","","",""
"@",,"62f5619de90668a9a0b936a1d58ab75d9f3a9a0e","@","@","Nirvana","@","","","1992/09","Bytepool Produxions","de","","","","","","","","",""
"@",,"670d120249ab6aef67e3b87956637196dbfe9d4f","@","@","Amoria","@","","","19xx","@","","","","","","","","","",""
"@",,"68718a2496fe020f916fa59e9c5a78d97d6e8af0","@","@","Creepie Crawlie 1 & 2","@","","","19xx","Johnson, Mark","","","","","","","","","",""
"@",,"68c27f6cb1477b71e6e6e0502486e77ca96e7624","@","@","Populous","@","","","1989","Bullfrog","","b","b 1","","","","","","",""
"@",,"6a47c2bcd6fc17d2993961dd86072c742c55256a","@","@","RISC OS Public Domain Amateur Radio Applications","@","","Registered Giftware; Disc 1 of 5; DataComms","1994/07","Sterry, Rick","","","","","","","","","",""
"@",,"6b7d3e8298409f5502b1ae5f37d8ff24b8c0811e","@","@","Ibix the Viking","@","","","1989","Minerva","","","F1020401","","","","","","",""
"@",,"6b868d83acdeba3a9814161720dbd181ab29f271","@","@","TCD Demo","@","","","19xx","@","","b","b 1","","","","","","",""
"@",,"6bf70e521a803c00665d9402e484ada5decc80dd","@","@","Speech!","@","","v1.3","1991","Superior Microcomputing","","","","","","","","","",""
"@",,"6c723e1147aa9ad84a88480305c2d04377554ef6","@","@","Alien Invasion","@","","","1994","Archimedes World","","","","","","","","","",""
"@",,"6cb046751a4c7048f3f8a093c58b5d6ffb62af93","@","@","Son of Gyrinus","@","","Disk 1 of 2","19xx","Cooper, Tom","","","","","","","","","",""
"@",,"6cfdbce5224ed8acff35b5c7a0cec9c7a2ae14ac","@","@","Gorm","@","","v1.40","1994","Archimedes World","","","","","","","","","",""
"@",,"6d4bddda0941f21c8e93bd5d138cf492f84239e4","@","@","Son of Gyrinus","@","","Disk 2 of 2","19xx","Cooper, Tom","","","","","","","","","",""
"@",,"6ee5518fac9991e17c5655fe4585d33a39d83eed","@","@","Apocalypse","@","","Disk 1 of 2","1990","Fourth Dimension, The","gb","a","a 1","","","","","","",""
"@",,"6f2c094fd7d1c7eaebb79e8343d52cf6bfb86d1b","@","@","Star Fighter 3000","@","","","1994","Fednet","","","","","","","","","",""
"@",,"710fb479000fdfb2c3a7948e0d893928c2110720","@","@","RISC OS Public Domain Amateur Radio Applications","@","","Registered Giftware; Disc 2 of 5","1994/07","Sterry, Rick","","","","","","","","","",""
"@",,"7153b6b25222be07a47af360407bb0b7828ecc8c","@","@","Flashback","@","","v1.0; Demo 1","1992","Delphine","","","","","","","","","",""
"@",,"71603bd55faf1524cb77c66d61fbad5dc78947a3","@","@","Chocks Away","@","","Disk 2 of 3","1990","Fourth Dimension, The","gb","","","","","","","","",""
"@",,"71d5bd09839361743ad3a7bf1d1c896c14da5829","@","@","Blitz","@","","","1991","Arxe Systems","","","","","","","","","",""
"@",,"723dfde37abbbdcebf696eac74871ae1e788f4ca","@","@","Gags","@","","","2001","Wocki","de","","","","","","","","",""
"@",,"73ff11bd4279ba7505ff99b3a3f454e748ae8081","@","@","Cataclysm","@","","Disk 2 of 2","1991","Fourth Dimension, The","gb","","","","","","","","",""
