"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
@,,002e6f8c7533b03f8041e7f1896589c0ab0e17a6,@,@,"Mr. Do!'s Castle",,,,1984,"Parker Brothers",us,,9420,,,,,,,
@,,00d47c2d839f7026cece1e1ea17796278f6fdc55,@,@,Zenji,,,,1984,Activision,us,b,FZ-010,,,,,,,
@,,0149a57b81a12267512bf3df973ed9be8420ba6d,@,@,"Track and Field",,,proto,1984,Atari,us,o,CX5258,,,,,,,
@,,02dd5b9278c06ae8cbb6dacc094e238fbacf08d2,@,@,"Moon Patrol",,,,1983,Atari,us,,CX5241,,,,,,,
@,,034ca9771250ad96ea9f917bd557661f2c049f82,@,@,"Blue Print",,,,1983,"CBS Electronics / Bally Midway",us,o,80033,,,,,,,
@,,038d0ca61d0e1c17fb322957a2afa91fcca17546,@,@,"Combat II",,,"Demo playable / ",2002/12,"Mean Hamster Software",,,,,,,,,,
@,,03eb3596203cf97a931c4974ba70f52b599a5571,@,@,"Cross Chase",,,,2017/10/11,"Caruso, Fabrizio",,,light,,,,,,,
@,,0497d1c054bf1a92912746855b5a7f0404cab966,@,@,"James Bond 007",,,,1983,"Parker Brothers",us,b,9100,,,,,,,
@,,051a6c394128e7c36ac7332f9be87143bada980a,@,@,"Space Invaders",,,,1982,Atari,us,b,CX5204,,,,,,,
@,,0564b1867a0b570d66dfcbc11adc3e51a2c6f28c,@,@,"Miner 2049er",,,,1983,"Big Five Software",us,,BF1912,,,,,,,
@,,05d7a6ec49a57ad41b5e1e50645f24a4263ad2f9,@,@,"Star Raiders",,,,1982,Atari,us,b,CX5202,,,,,,,
@,,068cc18668e3211928a9b5b32477253ff3a71788,@,@,"Super Breakout",,,,1982,Atari,us,o,CX5203,,,,,,,
@,,087ee6ab4a949195f1c7649dc048b54a84b845b5,@,@,"Castle Blast",,,"v0.03 / Demo 1",2002,"Habot, Ronen",us,,CX5280,,,,,,,
@,,09d192a3598cdadfb61eceb430b3d5892e40962f,@,@,Stargate,,,proto,1984,Atari,us,,CX5252,,,,,,,
@,,09e77064ebc06b8af70577a086cd175adeefd9a4,@,@,"Ms. Pac-Man",,,,1983,Atari,us,b,CX5243,,,,,,,
@,,0a3d7a47025cf7f42d6cbb7b09a6505ee4a884fe,@,@,"Space Shuttle: A Journey Into Space",,"Space Shuttle - Journey Into Space",,1983,Activision,us,o,FZ-012,,,,,,,
@,,0a691a56577c70b118a0ea412e7d67f9dde9d4a6,@,@,"Super Cobra",,,,1983,"Parker Brothers",us,o,9550,,,,,,,
@,,0a7aaef5b0ede927cea13e724906207e1db48068,@,@,"Road Runner",,,proto,1982,Atari,us,,CX5242,,,,,,,
@,,0a996b2c6c21171fc39c409bf86077bb48631b2f,@,@,Galaxian,,,,1982,Atari,us,b,CX5206,,,,,,,
@,,0df0d7f11d89e2c5b59cc9f98d67d98e203831aa,@,@,Galaxian,,,,1982,Atari,us,,CX5206,,,,,,,
@,,0ea3771443e67dcbeb191a4520160f75e496dda4,@,@,"Cross Snake",,,v1.0,2020/12/12,"Caruso, Fabrizio",,,,,,,,,,
@,,0ef069dc39aaa0e440acaf0f04a7123b2b77f2ac,@,@,"Frogger II: Threeedeep!",,"Frogger II - Threeedeep!",,1984,"Parker Brothers",us,,9090,,,,,,,
@,,0f00f8c1602127e9d16ae2d578481b025e88a807,@,@,"Sport Goofy",,,proto,1983,Atari,us,b,CX5237,,,,,,,
@,,0f355115ee9217bbdfbbb4b2bd4e1366c21654b9,@,@,Pitfall!,,,,1984,Activision,us,o,FZ-004,,,,,,,
@,,0f74125edac90ffd1274a128df2970c239348fb5,@,@,Joust,,,,1983,Atari,us,,CX5240,,,,,,,
@,,122c0897e56976f00b06e5da5240d20867715171,@,@,"Jr. Pac-Man",,,proto,1984,Atari,us,b,CX5251,,,,,,,
@,,1243a8ecfc02a74ae4e1f4fcda38502776f45cb0,@,@,Millipede,,,proto,1984,Atari,us,,CX5248,,,,,,,
@,,127ed1c31c3e85d10212eee7b9e6d71aef7dd891,@,@,"Space Dungeon",,,,1983,Atari,us,,CX5232,,,,,,,
@,,129a19bf1e632f63ea9ecd942bad44bdd3980964,@,@,"Cross Demo",,,,2020/07/28,"Caruso, Fabrizio",,,,,,,,,,
