"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
@,,0ddeacc1523a54e849631481a81c15df85404455,@,@,"Calculator Advance",,,"v1.0 / ",2005,"Pierce, Patrick / Ulrich, Harrison",,,,,,,,,,
@,,0e8a1f95250775fc446f874b1324fee896051424,@,@,ZooCube,,,,2002,"Acclaim / PuzzleKings",eu,,,,,,,,,1
@,,0fa1add609ab68d5e7a0e4dbcc992ab6a8766430,@,@,"Zoku Bokura no Taiyou: Taiyou Shounen Django",,"Zoku Bokura no Taiyou - Taiyou Shounen Django",v0,2004,Konami,jp,,,,,,,,,2
@,,101e65197f0d8f0cbd374add760e4c408fe5791f,@,@,"Tonikaku Kawaii Dub Episode 05",,,,2022/03/27,HazelBemmyGBA,,,,,,,,,,
@,,1055345edf3935bf49f677f43ba32b334b40d4e2,@,@,"Tristam Island r3",,,"Demo playable",2021/12/20,"Labrande, Hugo",fr,,,,,,,,,
@,,1067cb5f687734713bca5d1e2afbbbcb1a51c575,@,@,"Zero One SP",,,,2004,Fuuki,jp,,,,,,,,,2
@,,10a01298da336aac6622e3f38b3539f3e3e88252,@,@,"Gba-co-thread example",,,,2021/08/06,"Bowman, Evan",,,,,,,,,,
@,,110edb093fc5011230fa3f7b41aa83ef6e56b23a,@,@,"Blind Jump",,,,2020/10/10,"Bowman, Evan",,,,,,,,,,
@,,118c6f2c9f5c72acd76ce039bc26f47632fafd7e,@,@,"Freddy Jumpscare -Office-",,,,2016,Sterophonick,,,,,,,,,,
@,,12740975e9437412d4259a0ba9d64b6d6f8230ef,@,@,"Spyro Reignited Trilogy Cutscenes Spyro 1 and Spyro 2",,,,2022/06/17,HazelBemmyGBA,,,,,,,,,,
@,,12c1b9c94a35ff0e461b36c3786b9c6cea350277,@,@,Skyland,,,pre-release,2021/07/08,"Bowman, Evan",,,21.7.8.2,,,,,,,
@,,14870fc25affa81144e033b2a78ae0dbb1fdb49a,@,@,"The Legend of Zelda: Fushigi no Boushi",,"Legend of Zelda - Fushigi no Boushi",,2004,Nintendo,jp,,,,,zh,,,,
@,,14a5e70e05bca849695190833d1b107799ceb58d,@,@,"Yu-Gi-Oh!: The Sacred Cards + Yu-Gi-Oh!: Reshef of Destruction",,"Yu-Gi-Oh! - Sacred Cards + Yu-Gi-Oh! - Reshef of Destruction",,2006,Konami,eu,,,,,,,,,
@,,14dd0b22c894865867aff89e8116b2dffae25605,@,@,"Advance Wars 2: Black Hole Rising",,"Advance Wars 2 - Black Hole Rising",,2003,Nintendo,us,,,,,,,,,
@,,15053499d5b3f49128a941d7f2d84876f5424d0c,@,@,"Advance Wars",,,v1.1,2001,Nintendo,us,,,,,,,,,
@,,1561c4e1f4ab945299f2dfb5bb7df532ec4d4067,@,@,Zapper,,,,2002,Infogrames,us,,,,,,,,,
@,,157a300685959c5435c05c5eaa9efe10c03a8ea2,@,@,"Pixel Color Detection",,,,2016,Sterophonick,,,,,,,,,,
@,,15c54c46a6a9a6fc6a8c503c1d71270d374d60b9,@,@,Skyland,,,beta,2021/07/20,"Bowman, Evan",,,,,,,,,,
@,,163ba2cd45fead28da6ae82bdcbb527ab2d9fd2e,@,@,"My Hero Academia Season 5 Episode 6",,,,2022/02/20,HazelBemmyGBA,,,,,,,,,,
@,,16b4dca2077307c599aff954c05c9c4312e75da7,@,@,"Gba-co-thread example",,,,2021/08/07,"Bowman, Evan",,,,,,,,,,
@,,16dc7f4de9cc5a2a4db681ce7d778dfa83c73974,@,@,"Blind Jump",,,"v0.3.2 / pre-release",2020/05/11,"Bowman, Evan",,,,,,,,,,
@,,16f67cfd72702c617f940a58a26f75b5cb775858,@,@,Zapper,,,,2002,Infogrames,us,,,,,,,,,2
@,,17083c89f9dd84089f2a4cd8953a4e542d691e81,@,@,"Zoku Bokura no Taiyou: Taiyou Shounen Django",,"Zoku Bokura no Taiyou - Taiyou Shounen Django",v1,2004,Konami,jp,,,,,,,,,5
@,,17728c2a50dece6eea9a6936c75a0d2c608d5125,@,@,"Blind Jump",,,,2020/10/12,"Bowman, Evan",,,2020.10.12.0,,,,,,,
@,,179523e4c6da0dc050626ac69862f2a6e880f70d,@,@,"Bubble Bobble: Old & New",,"Bubble Bobble - Old & New",,2002,Empire,eu,!,,,,,,,,
@,,17e7cc5f49c75392fe9349c3b1e2097d3262f244,@,@,"Tonikaku Kawaii Dub Episode 03",,,,2022/03/27,HazelBemmyGBA,,,,,,,,,,
@,,1839f900e5f2c8a52a4ce160a8c35a572c2d388f,@,@,"Zone of the Enders: The Fist of Mars",,"Zone of the Enders - Fist of Mars",,2002,Konami,us,,,,,,,,,
@,,188b3c91c97cda58ed8782b2084fe9b7f6685d8a,@,@,"Blind Jump",,,,2020/10/06,"Bowman, Evan",,,2020.10.6.0,,,,,,,
@,,18e1d82ea5e5fc3ed4b9875e220b39e51df809fe,@,@,"4x4 Offroaders",,,proto,2001,"Small Rockets",,,,,,,,,,
@,,1a81843c3070decea4cbca20c4563541400b2437,@,@,"Zoku Bokura no Taiyou: Taiyou Shounen Django",,"Zoku Bokura no Taiyou - Taiyou Shounen Django",v1,2004,Konami,jp,,,,,,,,,
@,,1ca928ff57a911edb877637e05c7f12e1ad42b6f,@,@,"Blind Jump",,,,2021/01/03,"Bowman, Evan",,,2021.1.3.1,,,,,,,
@,,1d33877dcc5ec94cc0d68460163208c7ebfb6ad3,@,@,"Yu-Gi-Oh!: Reshef of Destruction",,"Yu-Gi-Oh! - Reshef of Destruction",,2004,Konami,eu,,,,,,,,,
@,,1dba89ccd0fd5bd988d29fb4b29b96451b866d68,@,@,"Blind Jump",,,,2021/02/01,"Bowman, Evan",,,2021.2.1.1,,,,,,,
@,,1dc025d63315aa5b064264234e8f33d0f9cc3c21,@,@,"Blind Jump",,,,2021/01/11,"Bowman, Evan",,,,,,,,,,
@,,1e81d7ad7a9d8c179ef9f1a2e334a155799fe788,@,@,"GT Advance 3: Pro Concept Racing",,"GT Advance 3 - Pro Concept Racing",,2003,THQ,eu,,,,,,,,,
@,,1ec0852efd3826478f8ebab859d06b20f736c1d4,@,@,"Blind Jump",,,"v0.3.5 / pre-release",2020/05/16,"Bowman, Evan",,,,,,,,,,
@,,1efad6f4aa460a2654572f2bf4c737c654c6271f,@,@,"My Hero Academia Season 5 Episode 12",,,,2022/05/19,HazelBemmyGBA,,,,,,,,,,
@,,1f02cda04abe0c85e5a283c234fada9c1551b6ae,@,@,Skyland,,,pre-release,2021/07/07,"Bowman, Evan",,,,,,,,,,
@,,1f1636f66fb7c11d66566caf5f633f65b47cd274,@,@,"Yu Yu Hakusho: Spirit Detective",,"Yu Yu Hakusho - Spirit Detective",,2003,Atari,us,,,,,vi,,,,
@,,200c4aaae84720f56c8140f7e8d0086292121c4b,@,@,"Final Fantasy I & II: Dawn of Souls",,"Final Fantasy I & II - Dawn of Souls",,2004,"Nintendo / Square Enix",eu,!,,,,,,,,
@,,2039b3264360c6f8c70a94da6d7ad654aac6f1ba,@,@,"Crash Bandicoot Trilogy PS1 Cutscenes",,,,2022/03/13,HazelBemmyGBA,,,,,,,,,,
@,,2081f3e1ad242a589fb4220fb950a0a80f79b9cc,@,@,"Blind Jump",,,"v0.4.2.2 / pre-release",2020/07/21,"Bowman, Evan",,,,,,,,,,
@,,208e6ebcb567ee88404a6f052d3c351ffc06cc10,@,@,"Zatch Bell! Electric Arena",,,,2005,"Bandai / Banpresto",us,,,,1,,,,,
@,,20b6097f5d9c0c53008530a6042ad4e97843b2e6,@,@,"My Hero Academia Season 5 Episode 4",,,,2022/05/19,HazelBemmyGBA,,,,,,,,,,
@,,21da535ccfe96fc735592dc25ee4ce0446ffd67a,@,@,"Zoku Bokura no Taiyou: Taiyou Shounen Django",,"Zoku Bokura no Taiyou - Taiyou Shounen Django",v1,2004,Konami,jp,,,,,,,,,1
@,,221a4bd9cbb7e5e6556fbe5babefa85b75596df1,@,@,"Blind Jump",,,"v0.1.6 / pre-release",2020/04/18,"Bowman, Evan",,,,,,,,,,
