"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
@,,30d214753b89b13455830b5d99aacd926127d63a,@,@,"Desert Falcon",,,NTSC,1987,Atari,,,,,,,,,,
@,,319702e597f1fc419c1a530ed8cff2ea6c76e8fb,@,@,"Pole Position II",,,NTSC,1987,Atari,,,,,,,,,,
@,,329782dd80a7ef88b81ab348aba4a0d478f0432f,@,@,Ballblazer,,,NTSC,1987,Atari,,,,,,,,,,
@,,32b5ddc7bef1b140e94b17ce002809cf4566929f,@,@,Karateka,,,NTSC,1988,Atari,,,,,,,,,,
@,,3314ce17df8b1b6fc52e13ccf8d6ea1aadbc66c4,@,@,Commando,,,NTSC,1989,Atari,,,,,,,,,,
@,,34e8ae5ecbed5a27635ce0b7aa5e1c154f7c8a6c,@,@,"Mean 18 Ultimate Golf",,,PAL,1989,Atari,,,,,,,,,,
@,,34f4e33c4d395f3d06197f96fb3e190c72e96f1f,@,@,Choplifter!,,,NTSC,1987,Atari,,,,,,,,,,
@,,356993ebd89aa816fed5e22abf7d01f7503c4719,@,@,"Beef Drop",,,beta,2004/11/20,"Siders, Ken",,,,,,,,,,
@,,35a03c8a15e63e53f5cc4334450bc7d695b7bea8,@,@,"Super Huey UH-1X",,,PAL,1988,Atari,,,,,,,,,,
@,,363006e26a7c30d7140b8172faeaad4dc5f265d5,@,@,"Motor Psycho",,,PAL,1990,Atari,,,,,,,,,,
@,,370fe4a60bf810db2c6a3ddf81d2943a166e7fef,@,@,"Beef Drop",,,beta,2004/12/21,"Siders, Ken",,,,,,,,,,
@,,374d61a3ff2a09bef7358b884ccec796848e58d8,@,@,"Beef Drop",,,beta,2005/01/08,"Siders, Ken",,,,,,,,,,
