"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"@",,"02b21a0c7b8d0db0e0ae041e93ce77812913bab6","@","@","NBA Jam 99","@","","Language en","1998","Acclaim","eu","","","","","","","","","1"
"@",,"02c05af24879b9d621e9a3dc4593da48e91de84f","@","@","Telefoot Soccer 2000","@","","","1999","South Peak","fr","","","","","","","","","1"
"@",,"02c6fe6b9e679974f709e46d3fd8f53445535edb","@","@","Super Mario 64","@","","","1996","Nintendo","us","","","","","","","","","217"
"@",,"02f4b4fa430c0314292a0118702919e7c729c377","@","@","Wet Dreams: Readme","@","","Copyright Public Domain","1999","Immortal","@","","","","","","","","",""
"@",,"02fd7cae7c6dc9a4e8398a151db5756fd489be1c","@","@","Super Mario 64","@","","","1996","Nintendo","us","b","b 4","","","","","","",""
"@",,"030c934d9b50c21507a5ced76e3ee658700540d5","@","@","F-Zero X","@","","","1998","Nintendo","jp","b","b 3","","","","","","",""
"@",,"03172daaa5a5767742c6fb331e1cf91324c264c1","@","@","Super Mario 64","@","","","1996","Nintendo","us","","","","","","","","","169"
"@",,"03257c820b7705400c32bde1bcc3161c55814605","@","@","Hoshi no Kirby 64","@","","v rev3","2000","HAL Laboratory - Nintendo","jp","","","","","","","","",""
"@",,"0329069c753ecad12fa20d78fbf1131cb58d09a2","@","@","Action Replay Professional 64","@","","v 3.0","1999","Datel","@","","","","","","","","","1"
"@",,"0344b569e8410a860cd54165bc33130e80760896","@","@","South Park: Chef's Luv Shack","@","","","1999","Acclaim","us","","","","","","","","",""
"@",,"03548ac8a147316eb13f2a826fa1dbf30da8e712","@","@","Paper Mario","@","","","2001","Nintendo","us","","","","","","","","","1"
"@",,"0356d51bb9be7e2000a61536aa31f4961a735909","@","@","Action Replay Professional 64","@","","v 3.0","1999","Datel","@","b","b 1","","","","","","",""
"@",,"03619f14149d5a2716dffbe02e21c2a0f5ee24f5","@","@","Triple Play 2000","@","","","1999","Electronic Arts","us","","","","","","","","",""
"@",,"036218a520b9a1e0227a1f2b3f854f4ccd79b068","@","@","NBA Hangtime","@","","","1996","Midway","us","","","","","","","","","1"
"@",,"036873ab0d3107b2d9b3225a180f67daf0899365","@","@","Clay Fighter 63 1-3","@","","","1997","Interplay","us","","","","","","","","",""
"@",,"037fb397cee2669048ed6b762a64698de4a4d88a","@","@","Turok: Rage Wars","@","","v rev1","1999","Acclaim","us","","","","","","","","",""
"@",,"038321ae2cf7492d5c2c08b6a5734120d53de039","@","@","Super Mario 64","@","","","1996","Nintendo","us","","","","","","","","","73"
"@",,"039a75636c34d219d489d0a84a671d00dc23e7c4","@","@","Yuke Yuke!! Trouble Makers","@","","","1997","Enix - Treasure","jp","","","","","","","","",""
"@",,"03b248dab80b040318eb6e254c7c084b3a37e19a","@","@","Bung Enterprises Doctor V64 BIOS","@","","v 2.01","1999","Bung Enterprises","@","","","","","","","","","1"
"@",,"03c85d19528ec48df4c3ad353e7eb86b476f175a","@","@","Dezaemon 3D","@","","Language en,ja","1998","Athena","jp","b","b 1","","","","","","",""
"@",,"03d02470fe2e06cb1ec41642142e3887ca330f27","@","@","Legend of Zelda, The: Ocarina of Time","@","","v rev1","1998","Nintendo","us","","","","","es","","","",""
"@",,"03e43b8a3143c0b39181a496889bc7895138e649","@","@","Jikkyou J.League 1999: Perfect Striker 2","@","","v rev0; Language en,ja","1999","Konami","jp","b","b 4","","","","","","",""
"@",,"03f2c637a1baa750362cfe3988a8ce2c18b620bf","@","@","DS1 Manager","@","","v 1.0; Copyright Public Domain","1998","Magillicutty, R. Bubba","@","","","","","","","","",""
"@",,"03fa91aec0819654f1ad0d12bb81ce3f5d7d08ae","@","@","Hydro Thunder","@","","","1999","Midway","fr","","","","","","","","",""
"@",,"0403902145ced0c42252981bc6c8fef2f76ccc08","@","@","J.League Eleven Beat 1997","@","","","1997","Hudson","jp","","","","","","","","",""
"@",,"040a7f7ae3dcfbc01762ff061bc9b706b79cc03a","@","@","Mortal Kombat Trilogy","@","","v rev0","1996","Midway - Williams","us","b","b 1","","","","","","",""
"@",,"043bf4a752933dd1c883bc20947d74717102bdc5","@","@","Castlevania: Legacy of Darkness","@","","","1999","Konami","us","","","","","","","","","1"
"@",,"044dc6aa08cdc263936fd845aaba1e6f773d560a","@","@","Earthworm Jim 3D","@","","","1999","Rockstar","us","","","","","ru","","","",""
"@",,"0451c58195d05790d8dd86a0b95b47559ee03ad9","@","@","Snobo Kids","@","","","1997","Atlus - Racdym","jp","","","","","","","","","1"
"@",,"0460df22dc8eeead8471b121a8b8dc1d0dd7db07","@","@","Ridge Racer 64","@","","","2000","Namco - Nintendo","us","","","","","","","","","1"
"@",,"04772fa85fc91a6c9b546b36b075186d45f82348","@","@","1080 Snowboarding","@","","Language en,ja","1998","Nintendo","jp,us","","","","1","","","","",""
"@",,"047b57f51bdd23b44c24026e1525fab461f3bfd1","@","@","DS1 Manager","@","","v 1.1; Copyright Public Domain","1998","Magillicutty, R. Bubba","@","","","","","","","","",""
"@",,"0482b8163b9a8e1e0447d117a3a1219d9ccbdd90","@","@","Pips RPG Beta 7","@","","Copyright Public Domain; (beta)","1998","Pips, Mark","@","","","","","","","","",""
"@",,"0489dcce749c6a5102681d288ed0616a4b94e99d","@","@","Gauntlet Legends","@","","","1999","Midway","us","","","","","","","","",""
"@",,"0497e7a764f1a659328727b80c1570b7d806b46c","@","@","Fighting Force 64","@","","","1999","Core Design - Crave Entertainment","us","","","","","it","","","",""
"@",,"04a38d1e46a8f168223968753cd957b7fbef1e81","@","@","Sinus Demo","@","","Copyright Public Domain","1998","Fractal - Silo","@","","","","","","","","",""
"@",,"04a4ee78297d2c19df96010f68146ea69bf2cb14","@","@","Star Wars: Shadows of the Empire","@","","v rev2","1996","LucasArts","us","b","b 3","","","","","","",""
"@",,"04a89ed6b11dd314f631cb3087b008c1872bcf19","@","@","Super Mario 64","@","","","1996","Nintendo","us","","","","","","","","","8"
"@",,"04b0fbf7156eb39b03854e3ed10325a14b1b79e8","@","@","Mr. Backup Z64 BIOS","@","","v 2.11; Copyright Public Domain","1998","Mr. Backup","@","","[NTSC Patches]","","","","","","",""
"@",,"04b68e1937c79aec9a25d9f3c95c58177b0215a6","@","@","Super Mario 64","@","","","1996","Nintendo","us","","","","","","","","","148"
"@",,"04bb1b64d3c0c9621c76409e772fbaf54b5d5b9a","@","@","Retroactive 64drive Menu","@","","v 1.03; Copyright Public Domain","2011","Retroactive","@","","","","","","","","",""
"@",,"04d190968b19b5d28d3d613001bdc12d0d975ea9","@","@","Bung Enterprises Doctor V64 BIOS","@","","v 1.53; Copyright Public Domain","1997","Bung Enterprises","@","","","","","","","","",""
"@",,"04f17a61daf3bf7f92db55b51b83237691671416","@","@","Roadsters Trophy","@","","","1999","Titus","us","","","","","","","","","1"
"@",,"0528d73659ef0ed8bbb0d519ebe667ee68377817","@","@","GoldenEye 007","@","","Language en","1997","Nintendo","eu","b","b 1","","","","","","",""
"@",,"053735184d414e0a1bbd888f3c931252ea1b92fd","@","@","International Superstar Soccer '98","@","","","1998","Konami","us","","","","","","","","",""
"@",,"05682e60b13479ca1c54656e5a5b1ee6d099c1a4","@","@","Pokemon Sutajiamu Kin Gin","@","","","2000","Creatures - Game Freak - Nintendo","jp","","","","","","","","",""
"@",,"05829c6efb0d73aec4093cc68eff9ed26591f922","@","@","CFB Demo","@","","Copyright Public Domain","1998","Fractal","@","","","","","","","","",""
"@",,"05a0382ece2524f26b9b80918998858d0c68fa27","@","@","ScummVM-N64: Flight of the Amazon Queen","@","","v 1.2.1; Copyright Public Domain","2010","ScummVM Team","@","","","","","","","","",""
"@",,"05b307b8804f992af1a1e2fbafbd588501fdf799","@","@","Lylat Wars","@","","","1997","Nintendo","eu","","","","","","","","",""
