"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"A.D. 2044 czyli Sexmisja",,229227c94a3972d022046a81035c95f21ac41ec2,,,"A.D. 2044",,,"(Side A)",1991,"L.K. Avalon",pl,,,,,,,,,,,,
"A.D. 2044 Sexmisja",,7765efa4994ddd337bb7657db7e1f1f740b38750,,,,,,(s1),,,,,,,,,,,,,,,
"A.D. 2044 Sexmisja",,e52767b3bbe05922c466d59b5b09eeb3fad689c0,,,,,,(s2),,,,,,,,,,,,,,,
"A.D. 2044 Sexmisja",,7409850ceda36a5e3d09d489d86601d95e7e2c60,,,,,,(s2),,,,,,,,,,,,,,,
"A.D. 2044 Sexmisja",,c6943ce961c936dbdeb1867173713b34d263a66d,,,,,,(s1),,,,,,,,,,,,,,,
"A.D. 2044 Sexmisja",,ba3da2c6461ee63314f41f035d1956dc16b2c1cc,,,"A.D. 2044",,,"(Side B)",1991,"L.K. Avalon",pl,a,"a 1",,,,,,,,,,
"A.D. 2044 Sexmisja",,ce65211a1d1d09d31a394bfc12f1e7ef30e9f0b6,,,"A.D. 2044",,,"(Side A)",1991,"L.K. Avalon",pl,a,"a 1",,,,,,,,,,
AACKOBOEK_CLOAD_,,72fb037a08060fcf28c8f7d1953bd55c89b28637,,,,,,,,,,,,,,,,,,,,,
Abc,,db3893af5ed422be2233e3ab2a46cf43a5db5073,,,,,,,1995,"Sikor Soft",pl,,,,,,,,,,,,
Abc,,8cce192cc4f090ea458a3d5004cd678f54d56e95,,,,,,,1995,"Sikor Soft",pl,a,"a 1",,,,,,,,,,
"Abenteuer im Schottland",,c4fa60c998c5dbbecaee7823be1454c8841969c4,,,"Abenteuer in Schottland",,,"(Side A)",1985,"Kruse Software",de,,,,,,,,,,,,
"Abenteuer im Schottland",,c254a25a7236f1ff59cd06ec9524d01ac0720360,,,"Abenteuer in Schottland",,,"(Side B)",1985,"Kruse Software",de,,,,,,,,,,,,
"Abenteuer im Schottland",,c2ef2d4d0ebabe54e42178d433f838ee4f953cac,,,"Abenteuer in Schottland - Disk 2",,,,,,,,,,,,,,,,,,
Abracadabra,,2b0735489e7aecf022dea8fd055365b5b1743967,,,Abracadabra!,,,,1983,"TG Software",us,,,,1,,,,,,,,
Abracadabra!,,48b5a70c819b500940b6b49b3c0c8d6a6f10dc46,,,,,,,1983,"TG Software",us,,[k-file],,,,,,,,,,
ABRACADABRA_,,b5db23f0fe4f1b76af7499ca22df6baec0da4a2b,,,,,,,,,,,,,,,,,,,,,
"Abraxas Adventure #1 - Assault on the Astral Rift",,65112675e1688d4e47cd37e08e4b4a4c11d54178,,,,,,"(Disk 2 of 2)",1984,"MMG Micro Software",us,,,,,,,,,,,,
"Abraxas Adventure #1 - Assault on the Astral Rift",,afeab99e6bc88c6d1bfd79f98bd8cefe7806709e,,,,,,"(Disk 1 of 2)",1984,"MMG Micro Software",us,,,,,,,,,,,,
"Abraxas Assault On The Astral Rift",,65112675e1688d4e47cd37e08e4b4a4c11d54178,,,"Abraxas Adventure #1 - Assault on the Astral Rift",,,"(Disk 2 of 2)",1984,"MMG Micro Software",us,,,,,,,,,,,,
"Abraxas Assault On The Astral Rift",,afeab99e6bc88c6d1bfd79f98bd8cefe7806709e,,,"Abraxas Adventure #1 - Assault on the Astral Rift",,,"(Disk 1 of 2)",1984,"MMG Micro Software",us,,,,,,,,,,,,
