"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
ARTEFAKT_PRZODKOW_STR_B_000,,b3b11acc588820e5af6668f722560121c2353c31,,,,,,,,,,,,,,,,,,,,,
ARTEFAKT_PRZODKOW_STR_B_FIX,,179f1de166ea37859601de5f889e210a6efbe994,,,,,,,,,,,,,,,,,,,,,
ARTEFAKT_PRZODKOW_STR_B_ORI,,59e22a82bb88254898202ece6401cfa9107c83a2,,,,,,,,,,,,,,,,,,,,,
ARTIST_CLOAD__ATAREX_,,e97cf6956c0af9a69082397020e29238965107c8,,,,,,,,,,,,,,,,,,,,,
Ashido,,7b3bc71794fd8c63522d92cd0198a3e532abbead,,,Top-Magazin,,,"(de); (Side B)",1995/05,Kaisersoft,,,,,,,,,,,,,
Ashido,,902b79f7fefd0dee0a4e8bcf4cdd6ce245fe9a44,,,,,,,,,,,,,,,,,,,,,
Ashido,,591f9e2df57782f94e1b5d585c636a232cf9e305,,,,,,(en),1990,KE-Soft,de,b,"b 1",,,,,,,,,,
Ashido,,7b3bc71794fd8c63522d92cd0198a3e532abbead,,,Top-Magazin,,,"(de); (Side B)",1995/05,Kaisersoft,,,,,,,,,,,,,
Asteroids,,a3311a17acae3d9336bfd1c2d45fc5870d3bef68,,,,,,,1981,Atari,us,,[k-file],,,,,,,,,,
Asteroids,,10e411f565e28d93fc1f18d538ab28ccfe7085df,,,,,,,1981,Atari,us,,,,,,,,,,,,
"Asteroids II",,9d55f2771fc8d11302e8cab24b9e06e77ccaea03,,,,,,,19xx,"Incubus Software",,,"[req OSb]; [k-file]",,,,,,,,,,
"Astra Phantasm",,873ba6fe25298e93a82262875ec46065d6c129ed,,,,,,,1983,"Ad Astra",gb,,,,,,,,,,,,
"Astra Phatasm",,873ba6fe25298e93a82262875ec46065d6c129ed,,,"Astra Phantasm",,,,1983,"Ad Astra",gb,,,,,,,,,,,,
"Astro Blaster Pinball",,816843c9eb96b03908114f23501bfc06cb2dbb2d,,,,,,,19xx,,,,[PCS],,,,,,,,,,
"Astro Chase",,99e680eecca16a5d2373275ec05fb4a37a4f2ea6,,,,,,,1982,"First Star Software",us,,,,,,,,,,,,
"Astro Chase",,d951afad9038e62e5558948029830052142f52f2,,,,,,,1982,"First Star Software",us,,[dualD],,,,,,,,,,
"Astro Chase",,99e680eecca16a5d2373275ec05fb4a37a4f2ea6,,,,,,,1982,"First Star Software",us,,,,,,,,,,,,
"Astro Chase",,48df21836c9630eb6d1a22351f15ff3d5d27c23c,,,,,,,1982,"First Star Software",us,,[k-file],,,,,,,,,,
"Astro Warriors",,70cc42a0c51939e19b3ad4e4851e726b4fed6f05,,,Astrowarriors,,,,1982,"Apogee Software",us,,[k-file],,,,,,,,,,
ASTRO_DROID,,3dfdfb4bca2e709c8dbbf3a5f4ce96476558dcd3,,,,,,,,,,,,,,,,,,,,,
Astro-Droid,,0b5f6f1b80d6d44f48543f8288352d6f20c51ad7,,,,,,(PAL),1987,"Red Rat Software",gb,,"[chaos loader]",,,,,,,,,,
Astro-Droid,,c47155010351f5d8fdacb5cf94d0606764adc1b5,,,,,,,1987,"Red Rat Software",gb,,"[noATR]; [k-file]",,,,,,,,,,
Astrogrover,,619d18922c825531c455a13f67b5c0017562b12b,,,Astro-Grover,,,,1984,"CBS Software",us,,[k-file],,,,,,,,,,
Astrogrover,,619d18922c825531c455a13f67b5c0017562b12b,,,Astro-Grover,,,,1984,"CBS Software",us,,[k-file],,,,,,,,,,
Astrology,,ff93e95e9af5c4404c8014198f2a06842015411d,,,,,,,1982,Antic,,a,"a 1; [BASIC]",,,,,,,,,,
Astrology,,7a397d805fed6e061c4a331cdb7c3cec68a2e56f,,,,,,,1982,Antic,,a,"a 1; [documentation]",,,,,,,,,,
Astromeda,,9889ef3e57c4d83b5645cebb10bc4d7db6af9e32,,,,,,(PAL),1987,"Rino Marketing",gb,,,,,,,,,,,,
Astromeda,,9889ef3e57c4d83b5645cebb10bc4d7db6af9e32,,,,,,(PAL),1987,"Rino Marketing",gb,,,,,,,,,,,,
"Astron IX",,8a2b497533457eaee028b0ba17290542c67beee2,,,,,,,1982,Cosmi,us,,,,,,,,,,,,
Astrowarriors,,d74df18222b09d151b8be48c1d2c93712ebcba1f,,,,,,,1982,"Apogee Software",us,,,,,,,,,,,,
Astrowarriors,,70cc42a0c51939e19b3ad4e4851e726b4fed6f05,,,,,,,1982,"Apogee Software",us,,[k-file],,,,,,,,,,
Asylum,,dede3ac64abe1612cc62af8dca678e72f6430c51,,,"The Asylum",,"Asylum, The","v 3.0c",198x,"William F. Denman Jr.",,b,"b title",,,,,,,,,,
Asylum,,42a2fabdc79c8ef9d0b31d65e69397a15987efb4,,,"The Asylum",,"Asylum, The","v 3.0c",198x,"William F. Denman Jr.",,a,"a 1",,,,,,,,,,
"Asylum, The v3.0c",,dede3ac64abe1612cc62af8dca678e72f6430c51,,,"The Asylum",,"Asylum, The","v 3.0c",198x,"William F. Denman Jr.",,b,"b title",,,,,,,,,,
"Atari Arogue",,85a5ac6b671e0f0b2ac03b2996ee5ec20a65b7cf,,,,,,,,,,,,,,,,,,,,,
"Atari Basketball",,e0ce57c170b7e36e85167d75fa10b1afda6da74e,,,Basketball,,,,1979,Atari,us,,[k-file],,,,,,,,,,
"Atari Basketball",,e0ce57c170b7e36e85167d75fa10b1afda6da74e,,,Basketball,,,,1979,Atari,us,,[k-file],,,,,,,,,,
"Atari Blackjack Casino",,72a0c7e9e98be682d47bcd64eb949438ea590559,,,"Blackjack Casino",,,,1981/12/16,APX,us,b,"b gfx; [k-file]",,,,,,,,,,
"Atari Blackjack Casino",,72a0c7e9e98be682d47bcd64eb949438ea590559,,,"Blackjack Casino",,,,1981/12/16,APX,us,b,"b gfx; [k-file]",,,,,,,,,,
"Atari Chess",,e69f21db90f2250be4007eeb29a6bf1dff224a92,,,"Computer Chess",,,,1979,Atari,us,,[k-file],,,,,,,,,,
"Atari Double Monopoly",,d61c5708b0135a247280a31c50116efddd2841e4,,,,,,"v 3.1",1990,S.L.C.,,,[BASIC],,,,,,,,,,
"Atari Double Monopoly v3.1",,d61c5708b0135a247280a31c50116efddd2841e4,,,"Atari Double Monopoly",,,"v 3.1",1990,S.L.C.,,,[BASIC],,,,,,,,,,
"Atari Greed",,de86dd3805ec23534b69e60839fea11d49b5eaa9,,,,,,"v 0.91; (en)",2004,"Strotmann, Carsten - Piegsda, Winfried",de,,,,,,,,,,,,
"Atari Invaders",,62921c6db9772cb9bd578965a68218eb9a1d61e6,,,"Deluxe Invaders",,,,1981,Roklan,us,,[k-file],,,,,,"title Joe Helleson",,,,
"Atari Nuclear Power Plant",,7d08fd164f3c33861d9f9a9cfc31af4919e53a03,,,,,,"Copyright Public Domain",1981,HASE,us,b,"b as2boot",,,,,,,,,,
"Atari Olympics, The",,37d7cdf7e064030d7debeeafd91783a7da55ad49,,,"The Atari Olympics",,"Atari Olympics, The",,19xx,Atari,us,,,,,,,,,,,,
"Atari Olympics, The",,37d7cdf7e064030d7debeeafd91783a7da55ad49,,,"The Atari Olympics",,"Atari Olympics, The",,19xx,Atari,us,,,,,,,,,,,,
"Atari Olympics, The",,cb3becc7d6a16e494fc53b69e3b2dd9a9bf094e0,,,,,,,,,,,,,,,,,,,,,
"Atari Rogue",,19832a1bc4ae593907fc9a8b2ca9211a291a3e68,,,,,,,1987,Antic,us,,[BASIC],,,,,,,,,,
"Atari Soccer",,bb0a673d1a7c5e3df9d8258a2df2fe56627dab29,,,Soccer,,,,19xx,Atari,,,[5200],"Ghost Genius",,,,,,,,,
"Atari Tarots",,4eec64b52c90645e32877693d19c684dc73d5a0f,,,,,,,1985,Atari,fr,,,,,"en Max",,,,,,,
"Atari Tennis",,5959cee2bff70b76408cb7ed97729b93f3185870,,,"RealSports Tennis",,,,1983,Atari,us,,"[req OSb]; [k-file]",,,,,,,,,,
"Atari Tennis",,31811eced9c2e6979c7f1f82639b1a8d054ccd61,,,"RealSports Tennis",,,,1983,Atari,us,,,,,,,,,,,,
"Atari Tennis",,d0dbe6f2bc9375d85bb8cdcc70d7022e947a8f4d,,,"RealSports Tennis",,,,1983,Atari,us,a,"a 1",,,,,,,,,,
"Atari Tennis",,31811eced9c2e6979c7f1f82639b1a8d054ccd61,,,"RealSports Tennis",,,,1983,Atari,us,,,,,,,,,,,,
"Atari XL Sokoban",,6630cd328b2ea0743ec49724782436d0c3179a15,,,,,,,19xx,KE-Soft,de,,,,,,,,,,,,
"Atari XL Sokoban",,6630cd328b2ea0743ec49724782436d0c3179a15,,,,,,,19xx,KE-Soft,de,,,,,,,,,,,,
ATARI_CHEES_CAS2SIO,,134e457b06a455836955bc2c869133243e7ec6a1,,,,,,,,,,,,,,,,,,,,,
ATARI_LOGO,,0ea6acd7a7a340970aab7bd5002504333eda6a87,,,,,,,,,,,,,,,,,,,,,
ATARI_TENNIS,,903105f70ed84de925580c04e1ee0bd2158d4271,,,,,,,,,,,,,,,,,,,,,
"Atarian Attack",,004cbd8b3f4bf6fb006f5632795f68f3a72caddf,,,,,,,19xx,"Muenzenloher GmbH",de,,"[req OSb]",,,,,,,,,,
AtariOracle,,c5d7549c69f59a31be936be595be6f2b115bea12,,,,,,"(Side A); (US)",1985,Antic,,,"[Program]; [BASIC]",,,,,,,,,,
AtariOracle,,12bdcc57be2a8a86c904a9ab2f924ee047480329,,,,,,"(Side B); (US)",1985,Antic,,,[Documentation],,,,,,,,,,
Atarivia,,8a7ecc544af2349170cbdb062abddb47c40d8c23,,,,,,,19xx,Wastedwares,,,[k-file],,,,,,,,,,
Atarivia,,8a7ecc544af2349170cbdb062abddb47c40d8c23,,,,,,,19xx,Wastedwares,,,[k-file],,,,,,,,,,
Ataroid,,bc11938a5b8b5109bde610b6a145aea74eeef833,,,,,,(en),19xx,"Atari Magazin",de,,,,,,,,,,,,
Ataroid,,44df17816b1525271b73fb137bef0c2914578908,,,,,,(en),19xx,"Atari Magazin",de,,[k-file],,,,,,,,,,
Ataroid,,dd6fc9e0417799cbf1700e84df89d2f9bccc6467,,,,,,,,,,,,,,,,,,,,,
Atartris,,7ec52c13a725a25af283294f89da514d2cad252e,,,,,,"v 1.01; Copyright Public Domain",19xx,"Blind Squirrel Software",us,,[k-file],,,,,,,,,,
"Atartris II",,f6faf2a48bae420a9c312e5426a6f1c032b847eb,,,,,,"Copyright Public Domain",19xx,"Blind Squirrel Software",us,,,,,,,,,,,,
"Atartris v1.01",,7ec52c13a725a25af283294f89da514d2cad252e,,,Atartris,,,"v 1.01; Copyright Public Domain",19xx,"Blind Squirrel Software",us,,[k-file],,,,,,,,,,
Atarzee,,ae527896a99aabfda32918e13d56e50a529419d9,,,,,,,,,,,,,,,,,,,,,
Atlantis,,b858b47787ba88a876fb8ac1bce007c127ba332b,,,,,,,19xx,,,,[BASIC],,,,,,,,,,
Atlantis,,92555dd43e4ff39f66f097d1a6d37bd309b418e7,,,,,,"(Disk 4 of 4)",1984,Atari,de,,,,,,,,,,,,
Atlantis,,92555dd43e4ff39f66f097d1a6d37bd309b418e7,,,,,,"(Disk 4 of 4)",1984,Atari,de,,,,,,,,,,,,
Atlantis,,e3f6348ad098c08ffd8497f4605b8829e2b94e62,,,,,,"(Disk 3 of 4)",1984,Atari,de,,,,,,,Satari,,,,,
Atlantis,,298b06386ebaa968b40d9b57ab23330a2cd9728b,,,,,,,1983,Imagic,us,,"[req OSb]; [k-file]",,,,,,,,,,
Atlantis,,a43abdd4f2d50067706adace4e8dcf1aa1caecc2,,,,,,"(Disk 4 of 4)",1984,Atari,de,,,,,,,Satari,,,,,
Atlantis,,3dc8ea4c79943645fd094f729438edb819aff44a,,,,,,"(Disk 1 of 4)",1984,Atari,de,,,,,,,,,,,,
Atlantis,,d71fea58f26eb7aea0ec952bdb3a4d3309051fa0,,,,,,"(Disk 3 of 4)",1984,Atari,de,,,,,,,,,,,,
Atlantis,,d71fea58f26eb7aea0ec952bdb3a4d3309051fa0,,,,,,"(Disk 3 of 4)",1984,Atari,de,,,,,,,,,,,,
Atlantis,,681a02a083bf9bd920ba1d6c4a9b6fefbfb621e0,,,,,,"(Disk 2 of 4)",1984,Atari,de,,,,,,,,,,,,
Atlantis,,67e65d4bcbe138bd27d338d0e1e59b324e4bfa17,,,,,,"(Disk 2 of 4)",1984,Atari,de,,,,,,,Satari,,,,,
Atlantis,,3dc8ea4c79943645fd094f729438edb819aff44a,,,,,,"(Disk 1 of 4)",1984,Atari,de,,,,,,,,,,,,
Atlantis,,681a02a083bf9bd920ba1d6c4a9b6fefbfb621e0,,,,,,"(Disk 2 of 4)",1984,Atari,de,,,,,,,,,,,,
Atlantis,,5943c083aa2ff2419e1c419e5e903a72b9f65bfb,,,,,,"(Disk 1 of 4)",1984,Atari,de,,,,,,,Satari,,,,,
"Atlantis - Disk 1",,6b57d3324f784f0c42d727432acdfc33f4b2a3c8,,,,,,,,,,,,,,,,,,,,,
"Atlantis - Disk 2",,647946abbeeb8ee9b597137a47aa6553133a5d06,,,,,,,,,,,,,,,,,,,,,
"Atlantis - Disk 3",,ea3e3ef86d3b15ec929f7e00b2221cb2fd336628,,,,,,,,,,,,,,,,,,,,,
"Atlantis - Disk 4",,a38b3a0acf065531b44382409fbafe5ee8cb99ff,,,,,,,,,,,,,,,,,,,,,
"Atlantis Adventure, The",,87ec4da549a771d1223682e6bfa134d523d28976,,,"The Atlantis Adventure",,"Atlantis Adventure, The","Copyright Public Domain",1993,Aura,gb,,,,,,,,,,,,
"Atlantis Revenge",,a96c6193b1ce8e1a82d0daa9186d741b25007bea,,,,,,,1983,"ALA Software",us,,[k-file],,,,,,,,,,
"Atlantis Revenge",,a96c6193b1ce8e1a82d0daa9186d741b25007bea,,,,,,,1983,"ALA Software",us,,[k-file],,,,,,,,,,
"Atom Smasher",,656b18e42ad8dad254071ca2d78ed354e2697aa4,,,,,,,1982,C.C.P.,us,,[k-file],,,,,,,,,,
"Atom Smasher",,656b18e42ad8dad254071ca2d78ed354e2697aa4,,,,,,,1982,C.C.P.,us,,[k-file],,,,,,,,,,
Atomia,,098450f89e3b551805d7b912b3486d6527bcecd2,,,,,,,1993,Mirage,pl,,[k-file],,,,,,,,,,
Atomia,,098450f89e3b551805d7b912b3486d6527bcecd2,,,,,,,1993,Mirage,pl,,[k-file],,,,,,,,,,
"Atomic Gnom",,432a267d97a2693f834f24429d717bbc64bb342a,,,,,,(en),1995,Powersoft,de,,,,,,,,,,,,
Atomit,,8a0bbd7763af9a80219764e29129f58859d01985,,,,,,"Copyright Public Domain",1990,,,,,,,,,,,,,,
Atomit,,aca11a5439aaa694bc7750486e0ac7fd9b8910d3,,,,,,"Copyright Public Domain",1990,,,a,"a 1",,,,,,,,,,
Atomit,,91ccf4b31b566c9170fce8c58c7e65cf1e314fcf,,,,,,,,,,,,,,,,,,,,,
"Atomit II",,541d2a5b0b0fa393dfc236bff88dea9d901adc71,,,,,,(PAL),1992,KE-Soft,de,,,,,,,,,,,,
"Atomit II",,5faa440034b9d2c4da410cd4aedf446f1a52158d,,,,,,,,,,,,,,,,,,,,,
"Atomit II",,541d2a5b0b0fa393dfc236bff88dea9d901adc71,,,,,,(PAL),1992,KE-Soft,de,,,,,,,,,,,,
Atomix,,69832bcd536f501a554b3a1182c710db15fa3d97,,,,,,,,,,,,,,,,,,,,,
"Atomix Plus, The",,62ddbe10a17a5347ff0992fda41ccc09c9da7910,,,"The Atomix Plus",,"Atomix Plus, The",(en),1993,Blackfire!,cz,,[k-file],,,,,,,,,,
"Atomova Katedrala",,84428280eada2f10286884913ef91da8ff9112d1,,,,,,,19xx,"Mzik, Miroslav",cz,,[BASIC],,,,,,,,,,
"Atomova Katedrala",,84428280eada2f10286884913ef91da8ff9112d1,,,,,,,19xx,"Mzik, Miroslav",cz,,[BASIC],,,,,,,,,,
"Attack At EP-CYG-4",,453bf1ef2438d802f28af6b780be05e9c3eaeec8,,,,,,,1982,Romox,us,,"[req OSb]; [k-file]",,,,,,,,,,
"Attack At EP-CYG-4",,453bf1ef2438d802f28af6b780be05e9c3eaeec8,,,,,,,1982,Romox,us,,"[req OSb]; [k-file]",,,,,,,,,,
"Attack of the Mutant Camels",,26de6dce0cacfd90ee6fc72f761461edda668450,,,,,,,1984,"Creative Data",,,[k-file],,,,,"Mister Fixit",,,,,
"Attack of the Mutant Camels",,4368c8b94254c6141affe1c5b46785cc2b96ca18,,,,,,,1984,Llamasoft,gb,,,,1,,,,,,,,
"Attack of the Mutant Camels",,02cb67c8a87438468cb4f5a44465ce0949eab0c8,,,,,,,1984,Llamasoft,gb,,[k-file],,,,,,,,,,
"Attack on the Doomstar",,27bedbd5bab3bd0b5e3d00205b040519f97302eb,,,,,,,1987,Antic,us,,[BASIC],,,,,,,,,,
Attank!,,58d8c1d00911475e393d66001fa1d30bf07770c7,,,,,,,1981,APX,us,,[BASIC],,,,,,,,,,
Aura,,fd10ec20aeede4b12230b15f84fd31ba2076cf8e,,,"Aura BBS Pinball",,,"Copyright Public Domain",19xx,Aura,us,,[PCS],,,,,,,,,,
Aura,,ee82a4045634f8fa3b40d061a0bc29346b76033d,,,"Aura BBS Pinball",,,"Copyright Public Domain",19xx,Aura,us,,"[PCS]; [k-file]",,,,,,,,,,
"Aura Adventures",,44ecfa5d2bdf16dbf970c77ed0731606811a45cf,,,,,,"Copyright Freeware",1994,Aura,gb,,,,,,,,,,,,
"Aura BBS Pinball",,ee82a4045634f8fa3b40d061a0bc29346b76033d,,,,,,"Copyright Public Domain",19xx,Aura,us,,"[PCS]; [k-file]",,,,,,,,,,
Aurum,,071c0ae24ce766ac0715ba401d84364d0759c163,,,,,,,1993,"L.K. Avalon",pl,,[k-file],,,,,,,,,,
Aurum,,b8e824dbb2061817ce573486889d87c93e041d3d,,,,,,,1993,"L.K. Avalon",pl,,,,,,,,,,,,
Autoduel,,14fb2ab1f660da80f0d4993586b06f5412a51381,,,,,,"(Disk 1 of 2 Side A)",1985,"Origin Systems",us,b,"b 1",,,,,,,,,,
Autoduel,,fbcaf31e7458ff71ca3f1b42e796ec6cd7ea3040,,,,,,"(Disk 2 of 2 Side A)",1987,"Origin Systems",us,,,,,,,,,,,,
Autoduel,,598daf80711cabde9ab2b7390afc1cb62ea377bc,,,,,,(s1),,,,,,,,,,,,,,,
Autoduel,,019f156ab95b1d04100ee162f3455093e6c9f61d,,,,,,"(Disk 2 of 2 Side A)",1987,"Origin Systems",us,b,"b 2",,,,,,,,,,
Autoduel,,81b819def71787a68bdb7339093257eca6deba00,,,,,,"(Disk 2 of 2 Side B)",1987,"Origin Systems",us,,,,,,,,,,,,
Autoduel,,1e28f694030c330617081eaa9b3a29199f728c9f,,,,,,(s4),,,,,,,,,,,,,,,
Autoduel,,663c98cddb332d255a27ade344f23eaec6dc8463,,,,,,"(Disk 1 of 2 Side A)",1987,"Origin Systems",us,,,,,,,N.A.P.O.,,,,,
Autoduel,,6e7ac8c1b6005cf44ceb44f760f81f629d01d580,,,,,,(s2),,,,,,,,,,,,,,,
Autoduel,,19e80082b4c0db236507172e7a3e717eb9cf774a,,,,,,"(Disk 2 of 2 Side B)",1987,"Origin Systems",us,b,"b 1",,,,,,,,,,
Autoduel,,86e66d37bff46e0899d8dee873768dbd124138e5,,,,,,"(Disk 1 of 2 Side B)",1985,"Origin Systems",us,b,"b 1",,,,,,,,,,
Autoduel,,3a20c0e75fb898bd9b10d2a1444ee7683f673eb4,,,,,,(s3),,,,,,,,,,,,,,,
Autoduel,,f553a179ab607010361b05d9e1f1e9a6ce7ec284,,,,,,"(Disk 1 of 2 Side B)",1987,"Origin Systems",us,,,,,,,,,,,,
AUTOMAT_PERKUSYJNY,,f4b4f1d8632e8a715234e0455f7bab41551acdc5,,,,,,,,,,,,,,,,,,,,,
AutoRally,,5ae6cc12b3790944a05db407a8528dec713094eb,,,"Auto Rally",,,,19xx,"Clemens Carsten",cz,,[BASIC],,,,,,,,,,
Avalanche,,bf89682e8261a462ccbfbaa7762985f834933462,,,,,,,1984,"ANALOG Computing",us,,[k-file],,,,,,,,,,
Avalanche,,bf89682e8261a462ccbfbaa7762985f834933462,,,,,,,1984,"ANALOG Computing",us,,[k-file],,,,,,,,,,
Avalanche,,404025c81557bf0efb33e2881ba024b22907e1e8,,,,,,,1982,Atari,,,,,,,,,,,,,
Avalanche,,0653f5dca173c9a05b8e2aa1c4fecf781bbb29fb,,,,,,,1982,Atari,,,"[noATR]; [k-file]",,,,,,,,,,
"Avalon Quiz",,ef4b8ea0ac851df8310bef71a6f534c34cc35c15,,,,,,(en),1992,"Tajemnice Atari",pl,,,,,,,,,,,,
"Avalon Quiz",,e5cf93086bfe4f5ea93132c4da68f044197f8301,,,,,,(en),1992,"Tajemnice Atari",pl,,[k-file],,,,,,,,,,
"Aventuras D'Onofrio",,39d4ac88b63fae18b5d8b4a199194415fe9a6878,,,,,,"(es); (Side B)",1990,Sistap,,,,,,,,,,,,,
"Aventuras D'Onofrio",,53b3dcdeafdf9aca915e942103f07aedf99f04b7,,,,,,"(es); (Side A)",1990,Sistap,,,,,,,,,,,,,
Axilox,,f6d3c1140d201ed47433aaf24747dab1978f4a27,,,,,,,1993,Mirage,pl,,[k-file],,,,,,,,,,
Axilox,,0bb27162f51c5957c971ed994f4f0b4800af2e5c,,,,,,,,,,,,,,,,,,,,,
Axilox,,f6d3c1140d201ed47433aaf24747dab1978f4a27,,,,,,,1993,Mirage,pl,,[k-file],,,,,,,,,,
AXILOX_ORIGINAL_,,484cd6a41588b40231d4c02378aac5630035e867,,,,,,,,,,,,,,,,,,,,,
"Axis Assassin",,c9e08d7d96f0f8a087fe56d80367f479cfbf8bf3,,,,,,,1983,"Electronic Arts",us,a,"a 3",,,,,,,,,,
"Axis Assassin",,c9e08d7d96f0f8a087fe56d80367f479cfbf8bf3,,,,,,,1983,"Electronic Arts",us,a,"a 3",,,,,,,,,,
"Axis Assassin",,855c9c0eb46b3d99c17c10e2a89fd2495adea70e,,,,,,,,,,,,,,,,,,,,,
Aztec,,469716515219c42f588a4f09e2acf0d15250f827,,,,,,,1986,Databyte,gb,,,,,,,,,,,,
Aztec,,4771f54af4f0ed3920c202b0087477642558fdfe,,,,,,,1982,Datamost,us,,,,,,,,,,,,
Aztec,,2ac206bae0859fd6955883b01bb989fd2f749976,,,,,,,1985,,,,[k-file],,,,,,,1,,,
Aztec,,4771f54af4f0ed3920c202b0087477642558fdfe,,,,,,,1982,Datamost,us,,,,,,,,,,,,
"Aztec Challenge",,bd9362aa4023a54a35ef2c3f3c7100523100820b,,,,,,,1983,Cosmi,us,,[k-file],,,,,,,,,,
"Aztec Challenge",,bd9362aa4023a54a35ef2c3f3c7100523100820b,,,,,,,1983,Cosmi,us,,[k-file],,,,,,,,,,
"Aztec Challenge",,a234b61e7a3b02ce82672eb05e6e456ef8aac901,,,,,,,1982,Cosmi,us,,[k-file],,,,,,,,,,
AZTEC__COLOR_VER__AAREA_,,469716515219c42f588a4f09e2acf0d15250f827,,,Aztec,,,,1986,Databyte,gb,,,,,,,,,,,,
B.L.O.U.D.,,fd01731e938ee3646ab74269b94529a3e846e9ac,,,,,,,1987,SUMA,cz,,,,,,,,,,,,
"B-1 Nuclear Bomber",,f895e8d3423bb704c2cb3b0e8433bb29494b2a96,,,,,,,1981,Powersoft,,,,,,,,,,,,,
"Baa Baa Black Sheep",,ce274c68f10a31f2236c4629a480a8151029bc4f,,,"Jigsaws - Baa Baa Black Sheep",,,,1981,"Thorn EMI",,,[k-file],,,,,,,,,,
"Baa Baa Black Sheep",,aab04ebc0b30b755fcc6a0332b21f8009508ffef,,,"Jigsaws - Baa Baa Black Sheep",,,,1981,"Thorn EMI",,,,,,,,,,,,,
"Back Track",,de4413f24d32e4d1a5c7eecc55bbdd79a7f7cb53,,,,,,,19xx,"ANALOG Computing",us,,[k-file],,,,,,,,,,
"Back Track",,de4413f24d32e4d1a5c7eecc55bbdd79a7f7cb53,,,,,,,19xx,"ANALOG Computing",us,,[k-file],,,,,,,,,,
Backgammon,,436873e15b7bc9e6dbacfd50488e49b64dc4126e,,,,,,,19xx,"TK Computer Products",us,,,,,,,,,,,,
Backgammon,,6c5d96c63e9f631a10483f858b6ff6ca39412a14,,,,,,,19xx,"TK Computer Products",us,a,"a 1; [k-file]",,,,,,,,,,
Bacterion!,,797676feb3ec4a5091f9777554814deabd0b3eec,,,"Bacterion! - The Plague of 2369",,,,1984,"ANALOG Computing",us,,[k-file],,,,,,,,,,
"Bacterion! - The Plague of 2369",,797676feb3ec4a5091f9777554814deabd0b3eec,,,,,,,1984,"ANALOG Computing",us,,[k-file],,,,,,,,,,
"Bacterion! - The Plague of 2369",,409ff600b68f804db7a572fc01a587fa0137a079,,,,,,,1984,"ANALOG Computing",us,,"[noATR]; [k-file]",,,,,,,,,,
"Baja Buggies",,fee863c8c4d7f957ae84f2530c014430039af8bb,,,,,,,1982,Gamestar,us,,,,,,,,,,,,
"Baja Buggies",,c8a1d958c81dfd395597552d9fa2a049bca99a4b,,,,,,,1982,Gamestar,us,,[k-file],,,,,,,,,,
"Ball Harbour",,02ee7d1e6931699cba136f1c6b2590034020ae86,,,,,,(en),1985,Computronic,de,,[BASIC],,,,,,,,,,
"Ball Trap",,7721afe262842f85a6a787501413e50cbdd977b7,,,,,,,19xx,"Ripoff Software",,,[k-file],,,,,,,,,,
"Ball Trap",,7721afe262842f85a6a787501413e50cbdd977b7,,,,,,,19xx,"Ripoff Software",,,[k-file],,,,,,,,,,
Ballblaster,,1f2d31f1ce6c800526929c05cc9750d430c1aa2c,,,,,,(beta),1983,"Lucasfilm Games",us,u,"u nreleased; [k-file]",,,,,,,,,,
Ballblaster,,1f2d31f1ce6c800526929c05cc9750d430c1aa2c,,,,,,(beta),1983,"Lucasfilm Games",us,u,"u nreleased; [k-file]",,,,,,,,,,
Ballblazer,,e3bb633690b917b7297a7ef92d2117881041abed,,,,,,,1985,"Lucasfilm Games",,a,"a 1; [Regulation Certified]; [k-file]",,,,,,,,,,
Ballblazer,,7663364b575c4595f965269153feed4fbf37d8c4,,,,,,,1985,Epyx,us,,"[Tournament Certified]",,,,,,,,,,
Ballblazer,,7663364b575c4595f965269153feed4fbf37d8c4,,,,,,,1985,Epyx,us,,"[Tournament Certified]",,,,,,,,,,
Ballblazer,,16820a57a10fd779ed160e8a25471882e23a719b,,,,,,,1987,Atari,us,,"[XEGS cart]",,,,,,,,,,
"Ballistic Interceptor",,6dee3a2e2393b602f192ce3e7d8b824c23406342,,,,,,,1983,"General Masters",us,,,,,,,,,,,,
"Balloon Capers",,edbe3900697e52f468b97c4191064c463ad795f5,,,,,,,1985,"Bignose Software",gb,,,,,,,,,1,,,
"Balloon Capers",,61f8dfbea064dd5805f6349dbdf5b6012f3da0bb,,,,,,,1985,"Bignose Software",gb,,[k-file],,,,,,,Homesoft,,,
"Balloon Capers",,edbe3900697e52f468b97c4191064c463ad795f5,,,,,,,1985,"Bignose Software",gb,,,,,,,,,1,,,
BALLOONACY_CLOAD_,,11bb503fb1e2ed3c0079b043b66cdcc59f5c3fce,,,,,,,,,,,,,,,,,,,,,
Balloonier,,11d1d14e53a2e1d7ca72505cc0e2cafb8b35345e,,,,,,"Copyright Public Domain",1994,"New Breed Software",us,,[k-file],,,,,,,,,,
Balloonier,,11d1d14e53a2e1d7ca72505cc0e2cafb8b35345e,,,,,,"Copyright Public Domain",1994,"New Breed Software",us,,[k-file],,,,,,,,,,
Ballyhoo,,7f6edcc41f6db0784228c00253f71c257ea0993a,,,,,,"(Side B)",1986,Infocom,us,,,,,,,,,,,,
