"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"Double Dragon",,1227eb28e6bad3c30b38d3dbfa9f929d836300c5,,,,,,(1993)(Telegames),,,,,,,,,,,,,,,
"Dracula - The Undead",,3b3346863f0d248c904e62af914f8c5ed5d2f76f,,,,,,"(1991)(Atari Corp)[b]",,,,,,,,,,,,,,,
"Dracula - The Undead",,824f245004a778613c85d40c9a2785a8cefe4181,,,,,,"(1991)(Atari Corp)",,,,,,,,,,,,,,,
Dragnet,,c70dc8f670fd73e58945ec93fe69a868a5ea8138,,,"Dragnet Music",,,"(1994)(Schick, Bastian)[p]",,,,,,,,,,,,,,,
Electrocop,,c06e983638b4466322a15a367cdaeb56fc2486e6,,,,,,"(1989)(Atari Corp)[a]",,,,,,,,,,,,,,,
Electrocop,,5c3fa6a1daed62d541456451cc533de766361174,,,,,,"(1989)(Atari Corp)",,,,,,,,,,,,,,,
"European Soccer Challenge",,890560068840282a4565272fee00fa3f146ef71e,,,,,,(1993)(Telegames)[a],,,,,,,,,,,,,,,
"European Soccer Challenge",,3b7311c98cd6ecf441d8d352b97f5200b9e4752a,,,,,,(1993)(Telegames),,,,,,,,,,,,,,,
"Eye of the Beholder",,6c37e1f220e73ff784b90c81846cebe4db0ab3bc,,,,,,"(1990)(Atari Corp)(proto)",,,,,,,,,,,,,,,
"Fat Bobby",,107f626ef5f7fbd459aec38a879de0d438ff651c,,,,,,"(1993)(Atari Corp)",,,,,,,,,,,,,,,
"Fidelity Ultimate Chess Challenge",,d65c4d14f609a05786ec64808bbde4b955362412,,,,,,(1991)(Telegames)[a2],,,,,,,,,,,,,,,
"Fidelity Ultimate Chess Challenge",,80b9c2e4da2be73b329b729e84a8b9571b6d5671,,,,,,(1991)(Telegames),,,,,,,,,,,,,,,
