"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"@",,"28d876a7d1c4d78d4dcd2c644ca37125e625b4a5","@","@","Shin Nippon Pro Wrestling Toukon Retsuden","@","","","1999/03/04","Tomy","@","","[SWJ-TMY001]","SRAM Sekret","","","","","",""
"@",,"29e72e7f96f145a0ff56e447f577310df2ec463b","@","@","Kidou Senshi Gundam Vol. 1: Side 7","@","","","2001/02/01","Bandai","@","","[SWJ-BANC07]","","","","","","",""
"@",,"2b20f4651b99442f01d1569c32f61342e1e71c15","@","@","Jbkun Test 4 for WWWLib","@","","Copyright Public Domain","2004","Jbkun","@","","","","","","","","",""
"@",,"2b2c2a0566646156bcdde2a00b728c5b8218aa23","@","@","Star Hearts: Hoshi to Daichi no Shisha","@","","","2001/09/27","Bandai","@","","[SWJ-BANC16]","","","","","","",""
"@",,"2da2a9bcff4813abcb5b2c88095258d89a575378","@","@","Hunter X Hunter: Sorezore no Ketsui","@","","","2001/04/26","Bandai","@","","[SWJ-BANC0F]","","","","","","",""
"@",,"2e3f221d6965f53b29586d2019ee81dec6d1ac30","@","@","Hanjuku Hero: Ah, Sekai yo Hanjuku Nare...!!","@","","","2002/02/14","Squaresoft","@","","[SWJ-SQRC06]","","","","","","",""
"@",,"2f35d250b8ddeb98ca3a2704a4ad85713f4c71b0","@","@","Tanjou Debut for WonderSwan","@","","","2000/02/24","Bandai Visual","@","","[SWJ-BVL003]","","","","","","",""
"@",,"305fbcd98f99e215fd8ae8f95fd9eff01d412613","@","@","Digimon Tamers: Digimon Medley","@","","","2001/07/12","Bandai","@","","[SWJ-BANC14]","EEPROM","","","","","",""
"@",,"3141d4869d594c2fffd79db3177a0f2e2eb6a794","@","@","Anchor Field 2","@","","","1999/06/24","Sammy","@","","[SWJ-SUM004]","EEPROM","","","","","",""
"@",,"315061e4739e947175d6ad7f006498cd61a33f8c","@","@","Medarot Perfect Edition: Kuwagata Version","@","","","1999/05/04","Imagineer","@","","[SWJ-MGA002]","","","","","","",""
"@",,"31a718cfbcff2dab56ab9606a0b5b2dfccecbbcb","@","@","Digimon Tamers: Brave Tamer","@","","","2001/12/29","Bandai","@","","[SWJ-BANC1D]","","","","","","",""
"@",,"32013a7a745a3aa2fd63cc9427c5e1f2635655ed","@","@","Pro Mahjong Kiwame","@","","","1999/10/07","Athena","@","","[SWJ-ATN001]","","","","","","",""
"@",,"34bcd5195124b9fb9b21d3f4e5647f321b0f8e49","@","@","Flash Koibito-kun","@","","","2000/12/28","Kobunsha","@","","[SWJ-KBSC01]","EEPROM","","","","","",""
