"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
@,,b7c099803b02da664e03b6c1a162bfcc758f96ff,@,@,"Batman - Return of the Joker",@,"","(en)","1992","Sunsoft","jp","","","","","ru","","","",""
@,,baaf7fb9f9958ca22982ba0600bc0cb8a7fc4764,@,@,"Keitai Denjuu Telefang - Power Version",@,"","","2000","Natsume - Smilesoft","jp","","[Nintendo Game Boy Compatible]","","","","","","",""
@,,bccc0b5bf16c2963ec2a54a942e17a10fdaf9a4d,@,@,"Gradius - The Interstellar Assault",@,"","","1991","Konami","us","b","b 5","","","","","","",""
@,,bf0d0c3b2c4082e99d95065a9b5a703f27cb5e25,@,@,"Turok 2 - Seeds of Evil",@,"","(M4)","1998","Acclaim - Bit Managers - Iguana Entertainment","us","","[Nintendo Game Boy Compatible]","","1","","","","",""
@,,c7c74e1951a7eed93013911b6593e8444fc98f9f,@,@,"Chuck Rock",@,"","","1993","Core Design - Sony","us","b","b 5","","","","","","",""
@,,ce68df4dc2d604625164430266017b237b72303d,@,@,"Battletoads Double Dragon - The Ultimate Team",@,"","","1993","Rare - Tradewest","us","","","","","","","","",""
@,,ce9531aab31d6579fb3d2cdf5168465f1a0ab291,@,@,"Worms Armageddon",@,"","(M6)","1999","Infogrames - Team17","eu","","","","","pl","","","",""
@,,cfa91da4120c6e1ee0f1f121d944d44532506cfa,@,@,"Zerd no Densetsu 2 - Xerd!! Gishin no Ryouiki",@,"","","1992","Vic Tokai","jp","","","","","","","","",""
@,,d54d5f4d07c29a6c5ade4e574297fc740d3528ed,@,@,"Alfred's Adventure",@,"","(M5)","2000","Mobius - SCi","eu","b","b 1","","","","","","",""
@,,d77b4904f958c9ae7010b49a5ab3ab2088f5b95f,@,@,"Mega Man IV",@,"","(en)","1993","Capcom - Laguna","eu","b","b 2","","","","","","",""
@,,dc41312bd903f779465be600c151bad7254a6d1e,@,@,"Incredible Crash Dummies, The",@,"","","1992","LJN - Software Creations","us","b","b 1","","","","","","",""
@,,dd093eba0a7a322614a8659338f2b30a56d39251,@,@,"Alien 3",@,"","","1992","BITS - LJN","@","b","b 5","","","","","","",""
@,,dd80d967cb6bd1c6b4af8177517712e8ff3fe611,@,@,"Probotector",@,"","(en)","1991","Konami - Palcom","eu","","","","","de","","","",""
@,,e0ef47568a017ccdd3dbe0db5d7654822b4e5ce1,@,@,"Bionic Commando",@,"","","1992","Capcom","us","","","","","","","","",""
@,,e1a370414fdcce142a1c3e9237b8eaca59f91dba,@,@,"Evel Knievel",@,"","(M7)","1999","Rockstar - Tarantula Studios","eu","b","b 2; [Nintendo Game Boy Compatible]","","","","","","",""
@,,e412e85bac76528c31aabc6ee601e740ecb99ffa,@,@,"Battletoads Double Dragon - The Ultimate Team",@,"","(en)","1993","Rare - Tradewest","eu","b","b 1","","","","","","",""
@,,e669d47b124a1e12d73f4ac80d8b4c0f917cb058,@,@,"Waterworld",@,"","(en)","1995","Ocean","eu","","","","","","","","",""
@,,e77cde8187c1bd6b0bc763ad063281f8cf393510,@,@,"Bionic Commando",@,"","","1992","Capcom","us","b","b 3","","","","","","",""
@,,eb4005f34e102ce0e4318c30ba00d94181436cf7,@,@,"Evel Knievel",@,"","(M7)","1999","Rockstar - Tarantula Studios","eu","b","b 1; [Nintendo Game Boy Compatible]","","","","","","",""
@,,ebce56d23a1f19c85e09fd2e31ac3a165c685c96,@,@,"Mega Man IV",@,"","(en)","1993","Capcom - Laguna","eu","","","","","de","","","",""
@,,ec587a3660298f95bf85f4471a626727b5fe6d7c,@,@,"Worms Armageddon",@,"","(M3)","1999","Infogrames - Team17","us","","","","","","","","",""
@,,ef040f9b9bfe9500a1f46ea0c46bea91f157342b,@,@,"Worms Armageddon",@,"","(M6)","1999","Infogrames - Team17","eu","","","","1","","","","",""
@,,f21b801c23137eaf3f6a81039bfec3880a190936,@,@,"Driver",@,"","","2000","Crawfish Interactive - Infogrames - Reflections","us","","","","","ru","","","",""
@,,f4f7baaaec4bfde95003ac52fdfe95eccdab569c,@,@,"Mega Man IV",@,"","(en)","1993","Capcom - Laguna","eu","b","b 1","","","","","","",""
@,,f59b8e282a5bad67f023d5ee00fbd859b64c0270,@,@,"Keitai Denjuu Telefang - Power Version",@,"","","2000","Natsume - Smilesoft","jp","","[Nintendo Game Boy Compatible]","","","zh","","","",""
@,,f5e6e770a681bb6eba255e2584f9ed343e5d9f98,@,@,"Animal Breeder 3",@,"","","1999","J-Wing","jp","","[Nintendo Game Boy Compatible]; [Nintendo Super Game Boy Enhanced]","","","","","","",""
@,,f62d369b576cfd2882f8e03a5a32238eb1599477,@,@,"Incredible Crash Dummies, The",@,"","","1992","LJN - Software Creations","us","","","","","","","","",""
@,,f876ff7995904a4c9bcf5e6614fb7a377fd4caeb,@,@,"Chuck Rock",@,"","","1993","Core Design - Sony","us","b","b 7","","","","","","",""
@,,fb7856af0205cc749174cda9eb51ae137984558c,@,@,"Turok 2 - Seeds of Evil",@,"","(M4)","1998","Acclaim - Bit Managers - Iguana Entertainment","us","","[Nintendo Game Boy Compatible]","","","","","","",""
@,,fbefdccd47441e4b21bba6242160106cfc78fa3a,@,@,"Bionic Commando",@,"","","1992","Capcom","jp","","","","","","","","","1"
@,,fdf1b3a5184d690149d53000cd22ee52f7cefa04,@,@,"Worms Armageddon",@,"","(M3)","1999","Infogrames - Team17","us","b","b 1","","","","","","",""
