"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
YIBnC-BH-PF,,0070426c9cdcbf9f114791f4176bc963bba41c32,,,,,,"(SMW1 Hack)",,,,?,,,,,,,,,,,,
"Sunset Riders",,007085105cd4f9c87a6888e2e131aeb6debf0b5a,,,,,,"(E) [t1]",,,,?,,,,,,,,,,,,
"Fire Emblem: Monshou no Nazo Hard Edition by FE0184",,0072667055cb706411455d31f47d6118f1464c4d,,,,,,(Hack),,,,?,,,,,,,,,,,,
Megaman,,007353843493ec467170efdeb9e0b5252c251aad,,,,,,"(SMW1 Hack) [a2]",,,,?,,,,,,,,,,,,
"Star Fox 2",,0077b5ac154396cc624cbf3ac9e2a7e3e8f1ca98,,,,,,"(Beta TD) [T+Fre_Chrono Team]",,,,?,,,,,,,,,,,,
"Secret of Mana",,007bae96d7ecf3e14d078052f5b6889edf87d245,,,"Secret of Mana",,,"v rev1; Language en",1994,Square,eu,a,"a 2",,,es,,,,,,,,
"X Zone",,007e7e6a846c419475c9119bcdd52ce23d980065,,,,,,"(JU) [h2C]",,,,?,,,,,,,,,,,,
"Ardy Lightfoot",,007ef69d498c7aac3213fc8eec0965c5865d291e,,,,,,"(J) [hI]",,,,?,,,,,,,,,,,,
"Kuon no Kizuna 05: Taichi",,0081f34e51e862f9297f74c013ca589d97110547,,,,,,(PD),,,,?,,,,,,,,,,,,
"Space Ace",,008525e9886001c8316fe6cd8c4957cff7d93407,,,,,,"(U) [h1C]",,,,?,,,,,,,,,,,,
"SNES Tile Demo",,00862f021699e434880314a25f1517a269b9cd16,,,,,,"(PD) [a1]",,,,?,,,,,,,,,,,,
"Bram Stoker's Dracula",,00882ae318014bdf34f66e1bc3b3d630c6429320,,,,,,"(E) [!]",,,,?,,,,,,,,,,,,
"Harley's Humongous Adventure",,008957315a3a814329f330fca7aef3fc09460adf,,,,,,"(E) [!]",,,,?,,,,,,,,,,,,
"Kuusou Kagaku Sekai Gulliver Boy",,0089722652f2f3c26e0aa47c03418e61b81b643c,,,,,,"(J) [b1]",,,,?,,,,,,,,,,,,
"Ball Bullet Gun",,008f7e816a79c72f41aefd4d892af385d261c728,,,"Ball Bullet Gun: Survival Game Simulation",,,"Language en,ja",1995,"Betop - I'Max",jp,,,,,en,,,,,,,,
"Megaman's Soccer: 99 S. Shoots",,0096fdc57a072d1819e01581069249d783d6bbd1,,,,,,(Hack),,,,?,,,,,,,,,,,,
"Tsuri Tarou",,0099081e3c10e3ad676b647d2bb11f0d536c0063,,,,,,"(J) [T+ChSFinal_Angel Poon]",,,,?,,,,,,,,,,,,
"Super Metroid Test: Mini Version",,009bd668bd0c1f0c29dc3ed0f460beddcfd997b4,,,,,,(Hack),,,,?,,,,,,,,,,,,
"NEW! Yoshi's Island: Demo v0.95",,009c25a489597b643899cf9fe28758f25733d75e,,,,,,"(SMW1 Hack)",,,,?,,,,,,,,,,,,
"Super Puyo Puyo Tsuu Remix",,009e6ee7228015ae21482b13bd9a40cbb78251f8,,,,,,(J),,,,?,,,,,,,,,,,,
"ELSA Item Mapper1 v1.2a",,009fb03eaf2373229541bb5dedcd650ed73bfd29,,,,,,"(SMW1 Hack) [b1]",,,,?,,,,,,,,,,,,
"Barkley Shut Up and Jam!",,00a4567aa3b1a190bf12000f6063118bbc3cb5a1,,,,,,"(E) [!]",,,,?,,,,,,,,,,,,
"Final Fantasy: Mystic Quest",,00a62c7c58af638ce19b7ecd061320fe6b95dbc6,,,,,,"(U) (V1.1) (VC) [f1] (Sound Restored)",,,,?,,,,,,,,,,,,
"Captain Commando",,00a74437eb26353976444eccb138ac008893b1fd,,,"Captain Commando",,,"Language en",1995,Capcom,jp,,,,,,,,,4,,,,
"3 Trials by I8Strudel",,00a78314f20b4ba5cfd3f3e918d11a09a3f24845,,,,,,"(SMW1 Hack)",,,,?,,,,,,,,,,,,
"Tin Star",,00aa256e228218b410d0e6af646a5f41be47b14c,,,,,,"(U) [t1S]",,,,?,,,,,,,,,,,,
"Illvanian no Shiro",,00accea99024e2813a2fbc40b30994bd72a1d8e7,,,,,,"(J) [h1C]",,,,?,,,,,,,,,,,,
"Super UNO",,00ae5d4667e179d9677611edf6a05f50b2d3ee6f,,,"Super Uno",,,"(J) (V1.1) [!]",,,,?,,,,,,,,,,,,
"Super Nazo Puyo: Ruruu no Ruu",,00b56744af9b5147ff38e72f12206ee0ea06ed67,,,,,,"(J) [!]",,,,?,,,,,,,,,,,,
"Eggs of Saear, The: v4.0 Demo",,00b7a5aa8e32ef21c0640e8ff5f7da301f73e118,,,,,,"(SMW1 Hack)",,,,?,,,,,,,,,,,,
"Primal Rage",,00c5863a292f35bcedcc5da88f446e7f668d8e0e,,,"Primal Rage",,,,1995,"Bitmasters - Time Warner Interactive",us,,,,,,,,,1,,,,
"Super SIG World 5",,00c89c929deae1f0020b535cdf2ba34c2a05b94b,,,,,,"(SMW1 Hack) [a1]",,,,?,,,,,,,,,,,,
"Vegas Stakes",,00ced18ed867fcedf409b795e7be19b257479f52,,,,,,"(E) (VC) [f1] (Sound Restored)",,,,?,,,,,,,,,,,,
"YOshI Guild",,00d12ab41ed456a2c87678e24e3b9f7d48be29f2,,,,,,"(V007 Beta) (Final) by hardcoregamr (2011-07-30) (SMW1 Hack) [b1]",,,,?,,,,,,,,,,,,
"Dragon Ball Z: Chou Gokuuden: Kakusei Hen",,00d9a3345b8372b614287649aa300c0e5455ea29,,,,,,"(J) [t1]",,,,?,,,,,,,,,,,,
