"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Galaxy Frontier",,0850b8c10828f19d9cccabb8e4e16ecbbc8cb570,,,,,,v1.20,,,,?,,,,,,,,,,,,
"Touhou Project Mystical Chain",,0857f4d470f19a2f19bf761d1475a411bef90238,,,config,,,,,,,?,,,,,,,,,,,,
"Cave Story",,0887806b2b21a491782b8b450875d2a5ac53d050,,,Doukutsu,,,,,,,?,,,,en,,,,,,,,
"SCP: Containment Breach",,0934a38019eefd768b0c7d8eab57941c422edb0a,,,"B3D: RoomMesh Conversion",,,v1.0.6,,,,?,,,,,,,,,,,,
"Worms 2",,097dcd8c679aee59e299731cfc16a727e76c5512,,,BankEditor,,,,,,,?,,,,,,,,,,,,
"Bloodborne PSX",,0988a2303b7b5e8ee0e8eaa3aa521dc8511b753e,,,BBPSX-Win64-Shipping,,,,,,,?,,,,,,,,,,,,
"Storm Gear",,09fa0a1d2832180edd8a82f069bfb30467551855,,,storm_gear_full_720x1280,,,v1.21,,,,?,,,,,,,,,,,,
"Blue Wish Resurrection Plus",,0a8e44682d880109c124fe08764d63149189f4fa,,,custom,,,v1.11,,,jp,?,,,,,,,,,,,,
Carnivores,,0addb45c2d534e4f8392303a24751d8ae3d9342e,,,,,,Software,,,,?,,,,,,,,,,,,
"Necoro'n Dash",,0b0163a3bec9df1d09284e7ab518c73095b2da0b,,,,,,v0.1.1,,,,?,,,,,,,,,,,,
"Civilization II",,0b28b08ba22b79973ef326563a36171687dc9454,,,INSTALLE,,,,,,,?,,,,,,,,,,,,
"Touhou 14",,0b4c40c8a5a4be27868647d62e71cc7c08045609,,,th143,,,,,,,?,,,,,,,,,,,,
"Touhou 18: Unconnected Marketeers",,0b64b80fb0ca5a38e2358189c8e019a4d33621d0,,,custom,,,,,,,?,,,,,,,,,,,,
"I Wanna Be the God",,0ba12fc4e1d344bedbbddf022f662743dbb1fc27,,,,,,v1.100a,,,,?,,,,,,,,,,,,
"Hexxen 2",,0bab7b4a4b2a0edd66f15302c5440b393b7ce7e3,,,GLH2,,,,,,,?,,,,,,,,,,,,
Galpanix,,0c2013da70a1e5ec1ca5c5f1bda303089a7b7dce,,,,,,,,,,?,,,,,,,,,,,,
"Friking Shark 3D",,0c2349f3df682ebf6e87bed32b737b0292fcc970,,,GameEngine,,,,,,,?,,,,,,,,,,,,
"Winged Gear",,0c4871080fc84c192a4c0da4240552500074d156,,,uninst,,,,,,,?,,,,,,,,,,,,
"Cho Ren Sha 68K",,0cc96f540943e95f34fd3c4a8aefd97c4d147219,,,,,,v1.01-2017/05/23,2017/05/23,,,?,,,,,,,,,,,,
"Apache 95",,0d0b41f73d26e36bc7aadf4bc9ea1279439a09b0,,,,,,v1.0,,,,!,,,,,,,,,,,,
"Touhou 2: The Story of Eastern Wonderland",,0d34886bfd369d26e752b03c97f78f96adb9f76c,,,fuuma,,,,,,,?,,,,,,,,,,,,
"Don Ceferino Hazaña",,0d6b6a19403a8e7eb591852ffaae841833dd8e20,,,"Don Ceferino Hazaña: Editor",,,v0.97.8,,,,?,,,,,,,,,,,,
"Silent Racing",,0d9ce45bde9dd26a128c6468f19d6230ac9724fd,,,,,,,,,,?,,,,,,,,,,,,
MUGEN,,0d9edf8e7524fdff00a6a65fe50f16f98be7d621,,,,,,v1.1b1,,Elecbyte,xw,?,,,,,,,,,,,,
