"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Touhou 5: Mystic Square",,1a3e0b0f609fc073bcb4231c05b47b6f0da72bfb,,,,,,,,,,?,,,,,,,,,,,,
"Touhou 1: The Highly Responsive to Prayers",,1fc350472b2117a99acd6133f5b4e0462f04f0bf,,,"Touhou: The Highly Responsive to Prayers",,"Touhou 01",,,,,,,,,en,,,,,,,,
"Touhou 3: Phantasmagoria of Dim Dream",,24527b9fc5d81288cebe228198ed723047705d6f,,,"Touhou 3: Phantasmagoria of Dim.Dream",,,,,,,?,,,,,,,,,,,,
"Touhou 4: Lotus Land Story",,b485e9c03bbdf94bed9ba4cbb1da5a8462b0dd69,,,,,,,,,,?,,,,,,,,,,,,
"Touhou 2: The Story of Eastern Wonderland",,e6775f55d8fb56098f0d09665b15138e1bb3db8a,,,,,,,,,,?,,,,,,,,,,,,
