"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
@,,2141750c859033e6730d22b27ff68c29e6a61f47,,,Ballarena,@,,,1990,Sisteme,@,,[F1023101],,,,,,,,,,,
@,,218520d8f19a974f0b223f5dc21929975c004284,,,Heimdall,@,,"(Disk 5 of 5); (Disk 4)",1993,"Krisalis Software",gb,,[F1018801],,,,,,,,,,,
"Master Break",,219557031bb57a21891f637eb073120befa493fa,,,,,,,19xx,"Superior Software",,,,,,,,,,,,,,
@,,22126c9d912d4beb242473c704a588ac7e1cc26d,,,"Manchester United Europe",@,,,1991,"Krisalis Software",gb,,[F1049101],,,,,,,,,,,
"Multi-Program 11",,22fcd24102dad932b32599c0273f1d6775fbad87,,,,,,,19xx,,,,,,,,,,,,,,,
@,,2436a6ccc3794bdd6e8b2c85da99e51915aa219d,,,"Battle Chess",@,,"(Disk 1 of 2)",1993,"Krisalis Software",gb,,[F1003801],,,,,,,,,,,
"Multi-Program 01",,249f1515257d864d22787aa7d94686f2508802e9,,,,,,,19xx,,,,,,,,,,,,,,,
Blowpipe,,252bfde8d602fe171e0657fa3f9dfeba1803e6eb,,,,,,"(Disk 1 of 2)",19xx,Eclipse,,,,,,,,,,,,,,
"Simon the Sorcerer",,26160c06c027f0f491bf5807db6843da1800f6ce,,,,,,"(Disk 10 of 10)",1994,Gamesware,,,,,,,,,,,,,,
"Multi-Program 12",,2671ea9725612f71f6418ed8a864a54faf57897f,,,,,,,19xx,,,,,,,,,,,,,,,
"System Interrupt Demos 1-5",,287f20af286848abd6d92be7064751fa292f5a55,,,,,,,1989,"System Interrupt",,,,,,,,,,,,,,
"My Marvellous Demo",,296c299b804fc686bdc8a4455e4ba3f6fcd707b0,,,,,,"Copyright Public Domain",1991,"Kloster, Oddvar",,,,,,,,,,,,,,
"Moon Quake",,2a96d10af75b315a362145cf9c8d4f6404aa8f07,,,,,,,1992,"Taylor, Paul",,,,,,,,,,1,,,,
@,,2b76b9e91ee2a1226198c3bd06d6d7bfa49bdb75,,,"Lemmings 2 The Tribes",@,,"(Disk 1 of 4)",1994,"Krisalis Software",gb,,"[F1022801 - min 2MB RAM]",,,,,,,,,,,
"Spheres of Chaos",,2b8b70a60ee3427c8e3fc3c7577868e120e21fca,,,,,,,1992,"Black, Matt - McLeod, Iain",,,,,,,,,,,,,,
Enigma,,2bdd2d1f53ee5f359f12adb8b20e915d12978de0,,,,,,,1993,"Archimedes World",,a,"a 1",,,,,,,,,,,
@,,2c1c0ecbf70cc8c6562b46644f6a94e989b4d589,,,"Break 147",@,,,1991,"Fourth Dimension",@,,,,,,,,,,,,,
"Cheats 1",,2c31ebd407544ade56e785cf9340862947a1040a,,,,,,,19xx,,,,,,,,,,,,,,,
@,,2c847a6dbb72725d77556163f67ff8d3d1136cf0,,,"Battle Chess",@,,"(Disk 2 of 2)",1993,"Krisalis Software",gb,,[F1003802],,,,,,,,,,,
@,,2ca800926c264b11d4716fb634601f6e7fa8b922,,,"Maddingly Hall",@,,,1989,Minerva,gb,,[F1023501],,,,,,,,,,,
"PCFS v1.0",,2d116f196700a9d8579a8134af3242924727d035,,,PCFS,,,"v 1.0",1999,Chris-O,,,,,,,,,,,,,,
"Bug Hunter & Moon Dash",,2d3e0c5557bfe780353df75ce43026ec1467a334,,,,,,,1990,Minerva,,,,,,,,,,1,,,,
@,,2eaaaa5a0ac3015ba7d7ae1ba4bf53b3f5d55042,,,"Oh No! More Lemmings",@,,,1992,"Krisalis Software",gb,,[F1026701],,,,,,,,,,,
@,,3030725b55c724ba71d2c4cbe2225f176ec6e80f,,,"Alone In the Dark",@,,"(Disk 4 of 8)",1995,"Krisalis Software",gb,,[F1001504],,,,,,,,,,,
"MadDash 2",,30d431892102a4e5915b095301c2dcd47f7daec2,,,,,,,2001,"Hampton, Ian",,,,,,,,,,,,,,
SWIV,,32b2341a0671a974112d6a7fcc1c6a72ac6c4cb0,,,,,,,1992,Krisalis,,,,,,,,,,,,,,
@,,32c108fae7ba4d4a443f7828b8ebece1bbd0e1c8,,,"The Wimp Game",@,"Wimp Game, The",,1990,"Fourth Dimension",@,,,,,,,,,,,,,
Alerion,,3303889188d1920fc3c2ee29395015143c26a490,,,,,,,1994,"Archimedes World",,,,,,,,,,,,,,
Talisman,,3459adef724e2cd6f3681050a9ce47394231b4f9,,,,,,,1989,Minerva,,,,,,,,,,,,,,
"Spectrum Emulator",,3492b359d6331c94e8fc821ffc760b4662ca2989,,,,,,"(Disk 1 of 2)",19xx,,,,,,,,,,,,,,,
"Hamsters v1.10",,35e62d089cfaf24b981f3212bc71c4ede0f56890,,,Hamsters,,,"v 1.10; Demo 1",1994,GamesWare,,,,,,,,,,,,,,
@,,3615bcb8a953fbba3d56a956243341a022208101,,,"Chocks Away",@,,"(Disk 3 of 3)",1990,"Fourth Dimension",@,,,,,,,,,,,,,
@,,362e9ad37d7db7ee544b62573351b5a227e3706b,,,"The Legend of the Lost Temple",@,"Legend of the Lost Temple, The","(Disc 2 of 2)",1992,Eterna,@,,[F1022502],,,,,,,,,,,
"Time Zone",,371b30787a782cb1fe6cb6ad2217a832a06e1e96,,,,,,,19xx,Cobra,,,,,,,,,,,,,,
"Superior Golf",,38206d1449478f218e1e1e3567594cd143c42c62,,,,,,,1990,"Superior Software",,,,,,,,,,,,,,
"Multi-Program 13",,384fff5a749e9df0e0351ae7c3996ae72b3c80ab,,,,,,,19xx,,,a,"a 1",,,,,,,,,,,
@,,38590ffdbcaea9dc5fcac7b88eecfb675da16704,,,Cataclysm,@,,"(Disk 1 of 2)",1991,"Fourth Dimension",@,,,,,,,,,,,,,
Fruitz,,386af18d06bdd1c8cecfc34a94c241c3c1ee9907,,,,,,,19xx,"Digital Fantasy",,,,,,,,,,,,,,
"Castle Black Heart",,38c61cec58c91843ef1ac91f12c93c52eda57a40,,,,,,,1991,"Watson, James",,,,,,,,,,,,,,
@,,38d10e49d23f72fba616ece8ed22b00d8866c44e,,,"Chuck Rock",@,,"(Disk 1 of 2)",1991,"Krisalis Software",gb,,[F1008101],,,,,,,,,,,
"Wolfenstein 3D v1.00",,39318695b6e64c9d7270f2b6d8213a7d4b0b0c43,,,"Wolfenstein 3D",,,"v 1.00; (Disk 3 of 3)",1994,Powerslave,,b,"b 1",,,,,,,,,,,
@,,3a6094a6c90a302076eae1cc2b159aac650437a7,,,"Missile Control",@,,,1988,Minerva,gb,,[F1025301],,,,,,,,,,,
@,,3a670ea136f354913325fe364d05f907dd558d5b,,,"E-Type: Track Designer",@,,,1989,"Fourth Dimension",@,,,,,,,,,,,,,
@,,3aeba194617bf22730ed308f5ce122e7b7d5a78d,,,Apocalypse,@,,"(Disk 2 of 2)",1990,"Fourth Dimension",@,a,"a 1",,,,,,,,,,,
@,,3c519c4ebbae60543e45881df36782aacb37c931,,,"Quest For Gold",@,,"(Disk 1 of 2)",1992,"Krisalis Software",gb,,[F1029801],,,,,,,,,,,
@,,3e53836f8c5444529d6795db70c7748aa4a99e52,,,"Bug Hunter & Moondash",@,,,1990,Minerva,gb,,[F1005901],,,,,,,,,,,
"Audio Demo",,3eb085fae640d5b78b34a1a877ac1d6eb9dc1c05,,,,,,,19xx,,,b,"b 1",,,,,,,,,,,
@,,3f974cc3804eed9338e7d6dc25be0ff00aedae2a,,,"Lemmings 2 The Tribes",@,,"(Disk 4 of 4); (Introduction Disk)",1994,"Krisalis Software",gb,,"[F1022804 - min 2MB RAM]",,,,,,,,,,,
@,,4055c4559d2c636471ce48c87e9e3c076f2190a9,,,"Cannon Fodder",@,,"(Disk 3 of 3)",1994,"Krisalis Software",gb,,"[F1006503 - min 2MB RAM]",,,,,,,,,,,
"Superior Disk 1",,416b4b013012115f4ab235b4454d1d7788c6f376,,,,,,,1993,"Superior Software",,,,,,,,,,,,,,
"PD Lemings",,41db87bc9d9b0cc7709557a9266ef998440fb45c,,,,,,,19xx,"Cooper, Tom",,,,,,,,,,,,,,
"EGO: Repton 4",,4581c6f40ea3eaaeaa5ea356bb0811c887d0a5ed,,,,,,,1992,"Superior Software",,,,,,,,,,,,,,
@,,4617e05a275253b3cf859f3012d753f2e92b1523,,,"Super Pool",@,,,1991,"Fourth Dimension",@,a,"a 2",,,,,,,,,,,
Asylum,,464fb68a465711658bc9b649e39936421598eb32,,,,,,"(Disk 1 of 2)",19xx,"Digital Psychosis",,,,,,,,,,,,,,
@,,465879e94ccdebdf4ff4290bb842d3c0ee047de3,,,Cascade,@,,,1992,"Shaffer, Milo - Norman, Richard",@,,[F1035501],,,,,,,,,,,
"Multi-Program 06",,47540ea6d26b16f5b04d05bf36785ab46ffd22a2,,,,,,,19xx,,,,,,,,,,,,,,,
@,,47aeae3891a500955cd430d909a212704047e389,,,"Chocks Away",@,,"(Disk 1 of 3); (Game Disk)",1990,"Fourth Dimension",@,a,"a 1",,,,,,,,,,,
@,,47e22ef17aae82d8b57a98b23d8dd7216a131d14,,,Exodus,@,,"(Disk 1 of 3)",1997,"Artex Software",@,,[F1014501],,,,,,,,,,,
"Archimedes Elite",,49c495bc8001141fecce35469c3de976aae8b32b,,,,,,,1991,"Hybrid Technology",,,,,,,,,,,,,,
@,,4a5dbdb4c0cf5025b77f3bacd7d6535b27d5b407,,,Heimdall,@,,"(Disk 2 of 5); (Disk 1)",1993,"Krisalis Software",gb,,[F1018802],,,,,,,,,,,
"Multi-Program 09",,4ace85d0c3e9c2c1740ca631de5455933045b76e,,,,,,,19xx,,,,,,,,,,,,,,,
"Leeds Utd: Champions!",,4ba0835c415bde82742c61328acf711d821619e2,,,,,,,19xx,CDS,,,,,,,,,,,,,,
@,,4c36f115a3d8f27c1c35ab5839d1b6985b7e8ad4,,,Gods,@,,"(Disk 2 of 2)",1992,"Krisalis Software",gb,,[F1017202],,,,,,,,,,,
@,,4cb9018e0b7691f7f9d4cd9db7115ead5dfbefdc,,,"Manchester United",@,,"(Disk 2 of 2)",1990,"Krisalis Software",gb,,[F1024202],,,,,,,,,,,
"Simon the Sorcerer",,4d80fa5fa2ec081c845f1283d25148bd6db34f72,,,,,,"(Disk 05 of 10)",1994,Gamesware,,,,,,,,,,,,,,
@,,4dfeb0c185f6342e1c3725c92b55b97f9a46718c,,,"Lotus Turbo Challenge II",@,,"(Disk 1 of 2)",1992,"Krisalis Software",gb,,[F1023201],,,,,,,,,,,
"Hero Quest",,4f92efecfc1e3a510a816f570ccb7082f0154e37,,,,,,,1991,Krisalis,,,,,,,,,,1,,,,
@,,515ed18e46067e6a3b3750ad08e81efc1977265c,,,"Fine Racer",@,,"Language en",1991,Eterna,fr,,[F1015301],,,,,,,,,,,
"Pen Down v1.72",,51ac647d3934482f8a6aaf72819eba96b2d72bc4,,,"Pen Down",,,"v 1.72",1992,Logotron,,,,,,,,,,,,,,
