"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Space Shuttle Project",,0066dabbfc1e67502b4a28bb46c9f37d7d01c4c2,,,,,,,1991/11,Absolute,us,,,,,,,,,,,,,
"Super Mario Bros.",,006bb36b48cd33ad7ba9f57d5eb658cf065d40a7,,,"Tricky Mario Neo",,,"SMB1 Hack; a1",,,,?,,,,,,,,,,,,
"Town & Country Surf Designs: Wood & Water Rage",,006c8859d1ab3429daa1228cd6161af3cdabb236,,,,,,,1988/02,LJN,us,b,"b 2",,,,,,,,,,,
"Super Mario Bros.",,006cc22fe54b4604177f1a24f2ceb969f943da02,,,"Super Link Bros",,,"Older; SMB1 Hack; a5",,,,,,,,,,,,,,,,
Shinobi,,006e02b51018cc9a08ee4040198ddc607b160556,,,,,,,1989,Tengen,us,u,"u 1",,,,,,,,,,,
"Metal Max",,006ecd9f94dd9983bbccd52eaa600c7f991a2fc2,,,"Ji Jia Zhan Shi",,,"Ch; a4",,,,,,,,,,,,,,,,
"Super Mario Bros.",,0076ff2f9577ea857821a74177422d2dd1c2102d,,,"Super Mario Bros Enhanced",,,"SMB1 Hack; o1",,,,,,,,,,,,,,,,
"Battle City",,007775f70b0726f7e20241484bf59e84cb35ce6f,,,"Tank Z",,,"Battle City Hack",,,,?,,,,,,,,,,,,
"Super Mario Bros.",,007841a51e06bea3c6c2f1ac8d93d80680dd707c,,,"Robo Mario",,,"SMB1 Hack",,,,,,,,,,,,,,,,
"Saint Seiya: Ougon Densetsu",,007a16dd066944ec0b48e2d461664d277f26a1ac,,,,,,,1987/08/10,Bandai,jp,,"FFE copier",,,,,,,1,,,,
Ghostbusters,,0081499efc779101fbb25fb2dbbb4abf0f6abca1,,,,,,,1988/10,Activision,us,,"iNES title",,,,,,,Vimm,,,,
Earthbound,,008511e29eb6e2efa41c6f3f6048d56b16659c65,,,,,,"Language proto",1991,Nintendo,us,,"iNES title",,,,,,,Vimm,,,,
@,,0087187ac5457ed2b8743d47fd759bdb62d61605,,,"Minna no Taabou no Nakayoshi Daisakusen",,,,1991/11/22,"Character Soft",jp,@,"iNES title",,,,,,,Vimm,,,,
"Volguard II",,008bc60ba2b47874afde50abb155806a8facd888,,,,,,,1985/12/07,"DB Soft",jp,,,,,,,,,,,,,
"Sangokushi: Chuugen no Hasha",,008e44d62380d4358c0bf69e9befe6a4d36faf1b,,,"San Guo Zhi",,,,199x,Waixing,cn,,"decrypted rom",,,,1,,,Cah4e3,,,,
"Elevator Action",,008f9b3caabb043821d43a00538d3ed605b0b5be,,,"Matrix, The",,,"Elevator Action Hack; o1",,,,,,,,,,,,,,,,
"Tecmo Super Bowl",,00909f6815118da522b15790931001e25177a3b6,,,"Tecmo Super Bowl NFL 1982",,,Hack,,,,?,,,,,,,,,,,,
"Defenders of Dynatron City",,009125cfb868bb22df0df85e0254623741ffe75a,,,,,,,1992/07,JVC,us,b,"b 2",,,,,,,,,,,
Hydlide,,0092c94a8169113775c5dd8c648e654fd9c3fb4e,,,"Hydlide Special",,,,1986/03/18,"Toshiba EMI",jp,,,,,,,,,,,,,
"Final Fantasy III",,00953404d2591171a1759c2c7a0a8c8c3552088b,,,,,,,1990/04/27,Square,jp,,"v1.00, iNES title, based on AWJ, NCorlett & SoM2Freak work",,,"de Star Trans",,,,1,,,,
"Tecmo Super Bowl",,009640e62e49ebba9a75656829959bdacef0ae0f,,,"Online Tecmo Football League S11 TB-SEA Week 4",,,"Tecmo Super Bowl Hack",,,,?,,,,,,,,,,,,
"WWF WrestleMania",,009b2ebff2d99b0dd146494dd3afa74f1fd57235,,,,,,Europe,,,,?,,,,,,,,,,,,
"Blue Marlin",,00a462310c59926ffc9b63c17356247f0e2fe242,,,"The Blue Marlin",,"Blue Marlin",,1991/12/27,"Hot B",jp,,"enlarged rom",,,,,,,1,,,,
"Final Combat",,00a91906dced40384a3e3583c82bba6a1b31f5f7,,,,,,,1992,Sachen,tw,,"SA-020; NES cart",,,,1,,,,,,,
"Super Rugby",,00ad21e5b267dce4432be468f33991ba7ee50b68,,,,,,,1989/12/27,TSS,jp,,"enlarged rom",,,,,,,1,,,,
"Tecmo Super Bowl",,00aeb16362ef77cf96397b35c486c5271cbd5d98,,,"Classic Tecmo League S1 Week 06",,,"Tecmo Super Bowl Hack",,,,?,,,,,,,,,,,,
"Castlevania II: Simon's Quest",,00afd2608aa0ddd0ffec392c28df2adf3a0bcad2,,,,,,,1988/12,Konami,us,,v1.0-19990817,,,"sv MetalHead - RoboBengt",,,,,,,,
"Ninja Gaiden: Episode II: Dark Sword of Chaos",,00b31eb4899c3c865eae8b64f09a2fefe6700918,,,"Ninja Ryukenden II: Ankoku no Jashin Ken",,"Ninja Ryukenden 2 - Ankoku no Jashin Ken","J; T+Chi; t3",,,,?,,,,,,,,,,,,
Maharaja,,00b4b2b76856a62772cc5d502a5594004cc406fc,,,,,,,1989/09/29,Sunsoft,jp,,,,,,,,,,,,,
"Super Mario Bros.",,00ba982cd25c91ca4ea36df98f1da88380765912,,,"JUN Mario 1",,,"SMB1 Hack",,,,,,,,,,,,,,,,
"Disney's Chip 'n Dale: Rescue Rangers",,00bae60f5c9e77726a9bc0af470812e2ce14d65e,,,,,,,1990/06,Capcom,us,u,"u 1; iNES title",,,,,,,"Mindrape & EFX",,,,
"Super Mario Bros.",,00bd5a37e6f87eb1d51c5db47f640a99a83e7508,,,,,,,19xx,,,,"no title, iNES title",,,,1,,,"Damaged Cybernetics",,,,
"Rocket Ranger",,00bd63b6d9cff759d54fef0fb4cf7e20c2858dc4,,,,,,,1990/06,Seika,us,b,"b 1",,,,,,,,,,,
"Space Invaders",,00c09bf94779df18a5b5d6ee35d9fb25dee38a1e,,,"Koopa Invaders",,,"Space Invaders Hack",,,,,,,,,,,,,,,,
Gauntlet,,00c437223a42771cca526e8253f3137dcb777bbd,,,,,,PC10,,,,?,,,,,,,,,,,,
"Tecmo Super Bowl",,00cea522242581f2ba79cb007e1a13462738af0b,,,"Online Tecmo Football League S11 CLE-CIN Week 3",,,"Tecmo Super Bowl Hack",,,,?,,,,,,,,,,,,
"Duck Hunt",,00d03a4e9bf695290187c8a41b7ce584f0b72f19,,,,,,"VS; b1",,,,?,,,,,,,,,,,,
"Tecmo Super Bowl",,00d107ca77c3600bb2cf3bb87800ad7c753af96a,,,"Online Tecmo Football League S10 BAL-NE Week 8",,,"Tecmo Super Bowl Hack",,,,?,,,,,,,,,,,,
"Mickey's Adventures in Numberland",,00d1c1bad88b639759e1873013549f178150f683,,,,,,,1994/03,"Hi-tech Expressions",us,,"iNES title",,,,,,,Vimm,,,,
"Tecmo Super Bowl",,00dc685678aaf279fde454a04ffd32ce51e59b8e,,,"Hardcore Tecmo League S1 Week 04",,,"Tecmo Super Bowl Hack",,,,?,,,,,,,,,,,,
