"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
Idioten,,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"Microsoft Entertainment Pack 3",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"Dracula's Secret",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"Al Unser, Jr. Arcade Racing",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"Escoba de 15",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"Entombed CD v2.1",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"Lode Runner: The Legend Returns",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"Exile 1: Escape From the Pit",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"Crusade In Space",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"Eddie Kantar's Bridge Companion",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"Deja Vu I & II: The Casebooks of Ace Harding",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"SimTower: The Vertical Empire",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
RoboSport,,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"Gazillionaire Deluxe",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
