"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
@,,18b1645a76cf72ccc9ecfc582f02425daf410004,,,"Mario Bros.",@,,"Video NTSC",1988,Atari,@,,,,,,,,,,,,
"Beef Drop 7800 by Ken Siders",,1afafee683e45fa4c950fe81a4dbdeaa6323cab0,,,,,,(V20041105-Rev11),,,,,,,,,,,,,,,
"Food Fight",,1d08c9791803e7bacdc0f36414ccabd1fa6b07a0,,,"Food Fight",,,"Video NTSC",1987,Atari,,a,"a 1",,,,,,,,,,
"Planet Smashers",,1e040ac9f9da1f0806dbe0f687ff045c8acd3060,,,"Planet Smashers",,,"Video PAL",1989,Atari,,,,,,,,,,,,,
"Desert Falcon",,22f2f9192c65bab4fdf83b70de3b4832e5131aac,,,,,,"(2004) (Atari) (HSC Hack) [a1]",,,,,,,,,,,,,,,
"Klax: Impossible Level 2",,240de4d9afd1a280724627f12d0b278f7ce6fef4,,,,,,(Hack),,,,,,,,,,,,,,,
Asteroids,,244136dce7f71c146c4eb8c19b1c56ac3f71f646,,,Asteroids,,,"Video NTSC",1987,Atari,,a,"a 1",,,,,,,,,,
@,,246974b8066019e7b9607cf20359596a9398af85,,,"Summer Games",@,,"Video NTSC",1987,Atari,@,,,,,,,,,,,,
Gato,,252b8d453f297be69a0b0de3a1bfd925a69c76e9,,,,,,"Video NTSC; Language proto",1987,Atari,,,,,,,,,,,,,
"Tubes by Bruce Tomlin",,2542b6fc59f40d891fab6443311f9626f88fc8f0,,,,,,"(V2004) (PD)",,,,,,,,,,,,,,,
Crack'ed,,255e287a2f475731bafe5b7f1cf5075c8723d647,,,Crack'ed,,,"Video NTSC",1988,Atari,,,,,,,,,,,,,
"Fight Night",,25b8664f51e0e816c9a1c94397bde03ac256686d,,,"Fight Night",,,"Video PAL",1988,Atari,,,,,,,,,,,,,
@,,2717f81ca998714edfcc8e8a7cbab452b865c170,,,Centipede,@,,"Video NTSC",1987,Atari,@,,,,,,,,,,,,
@,,289726184c13ef554d3e806cf907165206e86945,,,"Food Fight",@,,"Video NTSC",1987,Atari,@,,,,,,,,,,,,
Ballblazer,,28adab7de3af3ce8658a62a6e95b44f10324ee26,,,Ballblazer,,,"Video NTSC",1987,Atari,,a,"a 1",,,,,,,,,,
@,,28fddab1e203610a153ce47f067f8af494a3442e,,,"Robotron: 2084",@,,"Video NTSC",1987,Atari,@,,,,,,,,,,,,
"Rescue on Fractalus",,2c09c217d31c9e3dbabcc8927bb723ca9dbb1083,,,,,,"(1984) (Atari) (Prototype)",,,,,,,,,,,,,,,
