"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"System BIOS",,083ce08bff13b3530371c6021dc740f1cfc78e0c,,,"Sega Master System BIOS",,,"v 1.3; Language en",1986,Sega,"eu,us",,,,,,,,,1,,,
Battlemaniacs,,0854e36d3bb011e712a06633f188c0d64cd65893,,,Battlemaniacs,,,"Language en",1994,"Rare - Tec Toy - Tradewest - Virgin",br,,,,,,,,,,,,
Quartet,,08a3484e862a284f6038b7cd0dfc745a8b7c6c51,,,Quartet,,,"v rev1",1987,Sega,,,,,,,,,,,,,
"Ace of Aces",,08a79905767b8e5af8a9c9c232342e6c47588093,,,"Ace of Aces",,,,1991,"Sega - U.S. Gold",,,,,,,,,,,,,
"Sensible Soccer",,08b4f5b8096bc811bc9a7750deb21def67711a9f,,,"Sensible Soccer",,,,1993,"Sensible Software - Sony",,,,,,,,,,,,,
"Chack'n Pop",,08b5c1135f9678465ece6a886c948ce091637372,,,,,,(SG-1000),,,,,,,,,,,,,,,
"Space Mountain",,08d9360d6e92b081d99b7629f91d4fe482383a18,,,,,,(SG-1000),,,,,,,,,,,,,,,
R-Type,,08ec70a2cd98fcb2645f59857f845d41b0045115,,,R-Type,,,,1988,"Irem - Sega",,,,,,,,,,,,,
"Public Domain",,090165e257aa5427bd94863b171413ebe649d661,,,"Sprite Test #2",,,"v 1.00; Copyright Public Domain",2002,"MacDonald, Charles",,,,,,,,,,,,,
"Zoom 909",,09552aaa7140f9fc780b5f7d541478b534320075,,,,,,"(SG-1000) [!]",,,,,,,,,,,,,,,
"Public Domain",,09590758b33f704cc520d80ac28942a1558c0f05,,,"FudeBrowser: Skybaby's SMS List",,,"(SG-1000) (PD)",,,,,,,,,,,,,,,
"Public Domain",,09ae5fe0ff001e3de17217b608b4309bbc14c1d5,,,"SMS Power 7th Anniversary Demo",,,"v 1.03; Copyright Public Domain",2005,"Warren, Nicolas",,,,,,,,,,,,,
"Wonder Boy in Monster Land",,09b786f3fe0321a804de17156d9baf3d977a0900,,,"Wonder Boy in Monster Land",,,"v rev1",1988,Sega,,,,,,,,,,2,,,
"Public Domain",,09e537f2d84d09df9610ad3fd592ae2093a624c2,,,"Canyon Racer",,,"v 0.01; Copyright Public Domain",19xx,"Pinheiro, Haroldo",,,,,,,,,,,,,
"Cheese Cat-astrophe",,09edc943fc6da8657231b09f75d5e5c6bbbac24d,,,"Cheese Cat-astrophe Starring Speedy Gonzales",,,,1995,Sega,m4,,,,,,,,,,,,
@,,09fdb724ccf427af7ddd8f89cf0581f2a0b2f7f1,,,"Wonder Boy in Monster Land",@,,(beta),1988,Sega,@,,,,,,,,,,,,
"Public Domain",,0a4821c3669623bf72c627b0fcc889473db3b631,,,"Interrupt Test",,,"Copyright Public Domain",2001,"MacDonald, Charles",,,,,,,,,,,,,
Klax,,0a6778db2bc30474b776405108710498fdf10a5a,,,Klax,,,,1991,"Atari - Tengen",,b,"b 2",,,,,,,,,,
@,,0aaa9b8ea8c5962b6420de3dadde39ed6125a077,,,"Out Run",@,,,1987,Sega,@,b,"b 3",,,,,,,,,,
"Phantasy Star",,0ac126a48e3a43c0a2282d51320b9cdc415836b3,,,"Phantasy Star",,,"v rev3",1988,Sega,,,,,,fr,,,,,,,
"Zillion II: The Tri Formation",,0b177d1f9dad76425938fa111b463c35ae4680bb,,,,,,"(UE) [o1]",,,,,,,,,,,,,,,
"Champion Soccer",,0b3cf82f020ac9249ea52766ffbad41515d0b8b4,,,,,,(SG-1000),,,,,,,,,,,,,,,
"Mickey's Ultimate Challenge",,0b46e31f656fee2ac8d947ca9bb91881d1c72428,,,"Mickey's Ultimate Challenge",,,"Language en",1994,"Disney - Hi Tech Expressions - Tec Toy",br,b,"b 1",,,,,,,,,,
"Public Domain",,0b51e0ca87f766a4a21499181bc4f61b9fc5b181,,,"Sega Tween",,,"v 1.00; Copyright Public Domain",2007,"Ryves, Ben",,a,"a 1",,,,,,,,,,
@,,0bc511d809b6e401e9855a89d0ef821b2e8df109,,,"R.C. Grand Prix",@,,(beta),1989,"Absolute Entertainment",@,,,,,,,,,,,,
"Tom and Jerry: The Movie",,0c7925b53401f8084caf9fda4758703ecc2cb410,,,"Tom and Jerry: The Movie",,,,1992,Sega,,b,"b 1",,,,,,,,,,
@,,0cbf3a3aa0fa94d537030eed0b3455b1d1bd4b2f,,,"Alex Kidd in Miracle World",@,,"v rev1",1986,Sega,@,b,"b 1",,,,,,,,,,
"Batman Returns",,0ccc0e2d91a345c39a7406e148da147a2edce979,,,"Batman Returns",,,,1992,Sega,,,,,,,,,,,,,
