"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Disque CPC",,0095670586fae4ac88e0ca6dc94694a9edc6d1d6,,,"Disque CPC Special Anniversary Edition No 3: Programmes du CPC Hors-serie No 3",,,,1986,,fr,?,,,,,,,,,""" "",cat",,,
"Back to the Future Part III",,009a3a78c771f52ee702b61fec28c242354cede0,,,,,,"Disk 2 of 2",1991,"Image Works",gb,,,,,,,,,,""" "",cat",,,
"Affaire Sydney",,009cd2aa486d81757b2c3091b74431dfc2fdf2c3,,,,,,,1986,Infogrames,fr,?,,,,,,,,,""" "",cat",,,
Sliders,,00af954d4b84edb578f8231d231ef8e0b4d9e540,,,,,,,1991,Microids,gb,,,,,,,,,,""" "",cat",,,
"Computer Maniacs 1989 Diary",,00b876938a465214aa0c3df32895d05f6eefbb9a,,,,,,,1988,Domark,gb,,"Tape Conversion",,,,,,,,""" "",cat",,,
"Shadow Warriors",,00baf2a1f6b0edce197f229d8245f6630adedec6,,,,,,,1990,Ocean,gb,,,,,,,,,,""" "",cat",,,
"!Public Domain",,00c0655fc6f7b6398dfbd7977bf7bc456cd8ca06,,,"Coders Paradise Issue 2",,,,19xx,,gb,?,,,,,,,,,""" "",cat",,,
Bridge,,00c71d60b869f5c8729ca9eeaf854f016029837a,,,,,,,1985,,gb,?,,,,,,,,*,""" "",cat",,,
"!Public Domain",,00c81a13629295b671dcfe2e4d3c2b4faaafce1b,,,"Rendez-vous Avec La M.O.R.T.",,,"Disk 4 of 4",1991,,fr,,,,,,,,,,""" "",cat",,,
Skyx,,00dac307c44eff8438be911eb2c21eb072cd8f91,,,,,,"CPM | Disk 1 of 2",1988,"Legend Software",fr,,,,,,,CACH,,,""" "",cat",,,
"Night Gunner",,00dc84a217012c9bfb24a281dfa3d8cea5f8b45d,,,,,,,1986,,eu,,,,,,,,,,""" "",cat",,,
"!Public Domain",,00e0a6dd2efb95d74a5f57ad562f12deafbc0f1e,,,"Robot PD 19202",,,"Disk 2 of 2",19xx,"Fairhurst, Richard",,?,,,,,,,,,""" "",cat",,,
"Deep Strike",,00e681b73a0753188ed897206f2e6401d9466a25,,,,,,,1986,"Durell Software",gb,!,,,,,,,,,""" "",cat",,,
CPC-Gooding,,00e6af3213c4a604117638f62c23862ecd2d628e,,,"Meeting in 1991",,,,1991,"CPC-Mike & Gorden",,?,,,,,,,,,""" "",cat",,,
"!Public Domain",,00f9e3c2567b0c507664bd460030c2b01bc5ac26,,,"Arkadia II",,"Arkadia 2","Disk 2 of 4",199x,,fr,?,,,,,,,,,""" "",cat",,,
Lancelot,,00fcd843694d17a24b87746de910b7455c59795c,,,,,,"Disk 1 of 2",1988,"Mandarin Software",gb,!,d1,,,,,,,,""" "",cat",,,
Deactivators,,00ffa6f3c10040aa9249d17683c72381b3221f10,,,,,,,1986,Reaktor,gb,,,,,,,,,,""" "",cat",,,
"!Public Domain",,010fd79b649e711de967c2329c285e2672618739,,,"Fucking Flohmarkt",,,,19xx,Zweisten,gb,?,d1,,,,,,,,""" "",cat",,,
CPC-Gooding,,01148f03dbcbb792113be69de5ce21dd31f16d23,,,"CPC-Gooding Face Hugger: Ultimate Megademo",,,,1992,,,,,,,,,,,,""" "",cat",,,
"!Public Domain",,0119607f4a8a2eec698798be514a0f319adbf642,,,"CEZ Collection Volume 1",,,"Disk 1 of 2",2008,,es,!,,,,,,,,,""" "",cat",,,
CPC-Gooding,,011fa8edec0f64066a41e84c34e49b5409245ea2,,,"Disc Crack Intro",,,,19xx,GPA,,?,,,,,,,,,""" "",cat",,,
Bobo,,01256cf021455f99ae5f964e8060fe405e9ddae9,,,,,,,1988,,fr,,,,,,,,,,""" "",cat",,,
"Magic Sword",,012b6927839632110f1d169d3d8282c9416a42e6,,,,,,,1984,"Database Publications",gb,?,,,,,,,,,""" "",cat",,,
"3D Construction Kit",,012cb094c4ad4c22aa7f7d10d49364417cc339a1,,,,,,"Disk 1 of 2",1991,Domark,gb,!,d1,,,,,,,,""" "",cat",,,
@,,01419a8d7e18ad0ef8b823448e5d987df396b1e2,,,8bitwars,,,@,2021/10/26,21bloques,@,@,@,@,@,@,@,@,@,@,@,,,
"Rick Dangerous",,01434845ac9948bed942c45ace470b5c000d8246,,,,,,,1990,"Micro Style",gb,?,,,+3,,,,,,"rick,""run\""""""",,,
"3D Construction Kit",,014a2127ed903c1fb9ad55ea83d48dd136f75fc6,,,,,,"Disk 2 of 2",1988,,gb,,,,,,,,,,""" "",cat",,,
"Audio Compilation Disks",,01579ad6edfddb5033c0d8c2bbcb97f439170af1,,,"Audio Compilation Disk R",,,,19xx,,gb,?,,,,,,,,,""" "",cat",,,
"Super Monaco GP",,015df45fcf64cdda062086c528b1c7d54ba66901,,,,,,,1991,,gb,?,,,1,,,,,,""" "",cat",,,
Compil',,015fa97d88d01acb7a8c5e2bc451a3b7c37f0322,,,,,,"Disk 2 of 2",1989,,gb,!,,,,,,,,,""" "",cat",,,
"Steel Eagle",,016037e324ca87d6e799909f54fb471ed9230678,,,,,,,1990,"Tom & Jerry",gb,?,,1,*,,,"Tom & Jerry",,,""" "",cat",,,
"Thomas the Tank Engine",,0161c0ac306ac057e16e5b8d999f8b3f84e3be1f,,,,,,,1990,,gb,,,,,,,,,,""" "",cat",,,
