"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Kingdom Hearts 2",,208FE692,,,,,,,,,es,,,,,,,,,,,,,
"Final Fantasy X-2",,78903327,,,,,,,,,es,,,,,,,,,,,,,
"Capcom vs SNK 2",,79595100,,,,,,,,,us,,,,,,,,,,,,,
"The King of Fighters XI",,92CC0AFA,,,,,,,,,es,,,,,,,,,,,,,
"Kingdom Hearts",,E9E4EFBC,,,,,,,,,es,,,,,,,,,,,,,
"Final Fantasy X",,ED311878,,,,,,,,,es,,,,,,,,,,,,,
"Final Fantasy XII",,F0F7AD62,,,,,,,,,es,,,,,,,,,,,,,
