"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
100000Pyramid,,53b44dbabc9881b8eaa7bb722d17f31901a3dd71,,,,,,,,,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 015",,b3b7f5dc17b8443158f9a94ab94a95b3843dab65,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 016",,4ccf1e600092dd5a4735ca074f50fffaafb4d354,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 017",,c6025d4269934f855ad2fbfcc7ba12be4c2d1a74,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 028",,1c608ae7ba536c56b5309e12a5b43d0bbf6177a1,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 029",,9b73d164ecf44d4ead59e619b2bc95809f17784a,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 034",,e802e42b4c05ea3813d279315ad34e0392d6eaba,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 036",,b8670748a554932700b40bdf36b0f2d5df95889d,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 042",,9fcc4f07655e3764d175c52a0a2a37310095e919,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 043",,872dd5db70845b6b61f4065000158ad0d7f62049,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 044",,d45b2b9ddaa8ef0763180f300aeeda458685f101,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 045",,732a4bcac7bf39a1f5c6146a1ee453797b2268f7,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 046",,8f4c38075dd67bbea4a1cd5f0327224452c7c320,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 047",,99d94241356842ebc86d0a853239b41e7e555afc,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 048",,b7959269f5c2b01c9535bdf03d5d128f43dee779,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 060",,18afcc24955039738a61360c91370d7aa1219708,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 066",,440b0c61540cc4d91a6897332c058b896376cc74,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 067",,768fa0bed2a619f93a289966f020010e004b601c,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 068",,b17a71632056334814dbc446b17e336c07993642,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 069",,26eb7ba09c6abdfa09c5d262696f8135b8ac18d2,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 070",,4ae095e89c787a2818540550abec229d3a402249,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 074",,2b057cff7a489d8a3b64a106643cd41ff2a72cd3,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
