"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
@,,01130a234f36903ee42a529d7cddb58cc67ee014,,,"Emulaatori Detektor",,,v0.1,2006/12,TmEE,ee,,,,,,,,,,,,,
@,,0119ba652e36222a5ff45622355c80af8367341e,,,Ranger-X,,,,1993/07,Sega,eu,,,"NTSC GhostlyDark",,,,,,,,,,
"Shinobi 3: Return of the Ninja Master",,011dd3623dc7161fe1a1cec827c64f0e31eb05cc,,,,,,,1993/09,Sega,us,,,,,pt,,,,,,,,
"Jurassic Park",,0123ff36f185b42fcab6770a4cb31f7b4d27cba3,,,,,,,,,us,,,1,,,,,,,,,,
"Super Monaco Grand Prix",,013470dd2a958eb42615cec34051c49198748cee,,,,,,vREV03,,,us,?,,,,,,,,,,,,
@,,01401adc3a369c0e6d42dd5715fdab4129211e10,,,"Streets of Rage 2",,,,1992/12,Sega,us,,,,,,,,,"add Earthworm Jim Metal64",,,,
"Valis: Fantasm Soldier",,01411a51e243e446edc0777713054b927e414b2c,,,,,,,1991/12,Renovation,us,,,,,,,,,2,,,,
"Wonder Boy In Monster World",,0142ac143a679fd27d5836c9ed4646874cfef409,,,"Wonder Boy V: Monster World III",,"Wonder Boy 5 - Monster World 3",,1991/10/25,Sega,jp,b,,,,,,,,,,,,
Wardner,,014d412502d859cb3cf19e8ddf63184cdd3bdb75,,,"Wardner no Mori Special",,,,1991/04/26,Visco,jp,,,,,,,,,1,,,,
@,,01591ae041031a4820caeb0bfcb1772e8b633352,,,Shadowrun,,,proto,1994/01/05,Sega,,,,,,,,,,,,,,
"Toxic Crusaders",,015a952986fc5683c58c024150d3a2afba838963,,,,,,,1992/12,Sega,us,b,,,,,,,,,,,,
"Bible Adventures",,0163b6cd6397ab4c1016f9fcf4f2e6d2bca8454f,,,,,,,1995/06/30,"Wisdom Tree",us,,,,,,1,,,,,,,
@,,01723fd5989d1d3db2e379990882fc406c19f9e5,,,"Kick Off 3: European Challenge",,,,1994/09,"VIC Tokai",eu,,,"NTSC GhostlyDark",,,,,,,,,,
"Alisia Dragoon",,01798623fb1c6b00987a4863372e73253b0e5e84,,,,,,,1992/02,"Game Arts",us,,,,,,,,,3,,,,
"Mortal Kombat II",,017df2039eb605333229675025c439573defd3e8,,,,,,,1994/09/09,Acclaim,,,,,,,,,,6,,,,
Taz-Mania,,01875bb6484d44a844f3d3e1ae141864664b73b8,,,,,,,1992/07,Sega,,,,,,,,,,,,,,
@,,018e28628998d78c3346ed3a3032b0a297ca290a,,,"The Duel: Test Drive II",,"Duel - Test Drive II",,1992/03,MagicGame,"eu,us",,,,,ru,,,,,,,,
"Mr. Nutz",,0196055833c49dae879efa2cb690555ab9c3b3ea,,,,,,,1994/11,Ocean,eu,,,,,,,,,5,,,,
"Pat Riley Basketball",,0197df59951085dc7078c4ec66c75be84566530a,,,"Super Real Basketball",,,,1991/03,Sega,eu,,,,,,,,,,,,,
"Wonder Boy In Monster World",,019f5eeba6a88eee6e343427aa5bcfe067221bfe,,,"Wonder Boy V: Monster World III",,"Wonder Boy 5 - Monster World 3",,1991/10/25,Sega,jp,b,,,,,,,,,,,,
@,,01a445cf8ed57db1be4bd2aef1107d9e2fbcdb77,,,"Lethal Enforcers",,,beta,1993/08/13,Konami,,,,,,,,,,,,,,
"Dragon: Bruce Lee Story",,01b45b9865282124253264c5f2e3d3338858ff92,,,,,,,1995/06,"Acclaim Entertainment",us,,,,,,,,,,,,,
Ghostbusters,,01b5e15b943c3c72cf7db7358a82eec23b5107f0,,,,,,vRev00,,,xw,!,,,,,1,,,,,,,
Sub-Terrania,,01bed699ec3da916fbad703ec1dcfc4d0ec46fcb,,,,,,"Beta 1",,,,b,,,,,,,,,,,,
"Brutal: Paws of Fury",,01c05456217017034279fb3525fc1418e3788841,,,,,,,,,us,b,,,,,,,,,,,,
@,,01c670e0e36b9d29e67d3ae8bb735ef6f1c9fb61,,,"Shining Force 2 War of the Gods",,,,2019/09/06,"Dark Claw",,,,,,,,,,"Shining Force II",,,,
"Heavy Nova",,01d06602ab401f695648f3e842fc552fe6444ec0,,,,,,,,,us,,,,,,,,,h1C,,,,
@,,01e5bf3b6e3f208b0d8330fb94d36377fd51072d,,,Striker,,,,1995/06,Sega,eu,,,"NTSC GhostlyDark",,,,,,,,,,
@,,01ed2026a930383d926d71192b2a8f9417dfb245,,,"College Football's National Championship",,,proto,1994/05/17,Sega,us,,,,,,,,,,,,,
"Mega Bomberman",,01f76e2f719bdae5f21ff0e5a1ac1262c2def279,,,,,,,1994/11,Sega,eu,,,,,,,,,,,,,
"Fire Shark",,020169eb2a4b3ad63fa2cbaa1927ab7c33b6add4,,,,,,,,,us,!,,,,,,,,,,,,
@,,0206a1f62fb21da9cb5f081d4bff0873a40e7c66,,,"Jurassic Park",,,,1993/06,Sega,eu,,,"NTSC GhostlyDark",,,,,,,,,,
@,,021b3a96f7b7103678e3efcd173464c11bb2a2a4,,,"Teenage Mutant Hero Turtles: The Hyperstone Heist",,"Teenage Mutant Hero Turtles - Hyperstone Heist",,1993/04,NewGame,eu,,,,,ru,,,,,,,,
@,,0225c451017e5e12b4ddac26d9a8b397b10146ee,,,"Devil Crash MD",,,,1991/10/10,Technosoft,jp,,,,,,,,,"enhanced colors Pyron",,,,
@,,0232a702454c2512890f5cf07e3b9eb22c92bf99,,,Battlecity-md,,,"v1.02 / beta",2009/07/22,KRIKzz,,,,,,,,,,,,,,
"Rolo to the Rescue",,023c1eddb68d0082522b15296a8fa548ca92dc32,,,,,,,1993/03,"Electronic Arts","eu,us",,,,,,,,,1,,,,
"Dashin' Desperadoes",,023d8a37902b22694abbed6e7eca764a9dae9908,,,,,,Beta,,,,,,1,,,,,,,,,,
@,,0246abca763bec8f7158767a73f26eaff3158357,,,"Splatterhouse 2",,,,1992/07,Namco,us,,,,,,,,,"color changes, classic Rick fusaru",,,,
"Command & Conquer",,024811c47af1ead3f5ab39962875c153cf3955b5,,,,,,Beta,,,,b,,,,,,,,,,,,
"Bible Adventures",,024ebaa6faba4a19f5d15f78d20dcf0f3e3f1dbb,,,,,,,,,,,,,,,Unlicensed,,,h1C,,,,
"Sonic The Hedgehog 2",,025c4d4d10682420c88f5b97db4de8ed2d980542,,,,,,vRev1,1992/11/21,Sega,,,,,,,,,,51,,,,
"Fatal Rewind",,02634d919ec7d08f3c6833f229b5127dd52c9e8a,,,,,,,1991/08,"Electronic Arts","eu,us",,,,,,,,,,,,,
"Greatest Heavyweights of the Ring",,0264f36da10d94f65224609f4bc3d69217936530,,,,,,,,,us,,,1,,,,,,,,,,
"Dr. Robotnik's Mean Bean Machine",,02656b5707cf9452d4cf48378ffd3a95dc84e9c5,,,"Puyo Puyo",,,,1992/12/18,Sega,jp,,,,,,,,,,,,,
"Cannon Fodder",,026a701eba3ad9af2382de09d14fea1731876993,,,,,,,,,eu,b,,,,,,,,,,,,
"Target Earth",,026d78be4549e3cfac64c08ebd2e43f634f5aa49,,,"Assault Suits Leynos",,,,1990/03/16,Masaya,jp,,,,,,,,,1,,,,
"Public Domain",,026e80863fad9f96f87e0d7fb8165c72c6073690,,,Galaxian,,,v2,,DevSter,,,,,,,,,,,,,,
"Romance of the Three Kingdoms III: Dragon of Destiny",,02711a037ffec02f8e2962b8c311e8e992d36e70,,,"Sangokushi III",,"Sangokushi 3",,1992/11/08,Koei,jp,b,,,,,,,,,,,,
"Dynamite Headdy",,02727a217e654f3cdf5a3fcd33b2f38d404a467d,,,,,,,1994/08/05,Sega,jp,,,,,,,,,,,,,
@,,027fb3bd1a225c93871dfe21b0928192470079b5,,,"X-Men 2: Clone Wars",,,"v19941206 / beta",1994/12/06,Sega,"eu,us",,,,,,,,,,,,,
"Sonic & Knuckles",,02818aa7b38dab5aaf3e83aab4ad8f5d253faed2,,,"Sonic & Knuckles with Sonic the Hedgehog 3",,,,,,xw,,,1,,,,,,,,,,
"College Slam",,02a4474d0c41bc6cca54741574a68c82c1b5396b,,,,,,,,,us,b,,,,,,,,,,,,
"College Football USA 97: Road to New Orleans",,02ab011007497997dffc55f659a70e11e69b3727,,,,,,,,,us,,,,,,,,,h1C,,,,
"Decap Attack",,02b24fd7045deb9eceda5a44e3a9b19fc5d665c1,,,,,,,,,ue,!,,,,,1,,,,,,,
"Atomic Robo-Kid",,02c13537d222b20ed868287b8e964d3d4413846a,,,,,,,1990/10,Treco,us,,,,,,,,,2,,,,
"Todd's Adventures in Slime World",,02cf05687a7f3f8177b2aff0a0cfbd5c490e557d,,,"Slime World",,,,1992/04/30,"Micro World",jp,,,,,,,,,,,,,
"We're Back!: A Dinosaur's Tale",,02d4349948f3fb211b388f308b72bc54c2f15a4d,,,,,,,1993/09,"Hi-Tech Expressions",us,,,,,,,,,4,,,,
"Rocket Knight Adventures",,02ddd1cae42ffc422f5c65a59aaba17aace133ab,,,,,,,1993/08/06,Konami,jp,,,,,,,,,2,,,,
"Mega SWIV",,02f2616459b6cccbf57c6496d515cd8bb10d2c90,,,,,,,,,eu,b,,,,,,,,,,,,
"V.R Fighter vs Taken2",,02f32c58c4b86db8a50264a8179c563705674829,,,,,,,199x,,tw,,,,,,1,,,1,,,,
@,,02f788cb6d9ba81fa96d84642fb57ee52f8a1551,,,"Contra: The Hard Corps",,"Contra - Hard Corps",,1994,Konami,us,,,,,,,,,"MODE switches fire type DUSTINODELLOFFICIAL",,,,
@,,02fe11728a138d9312ea7463ee2d558690e82ac8,,,"Classic Collection",,,,1996/08,Sega,eu,,,"NTSC GhostlyDark",,,,,,,,,,
@,,031e5ea1004e88f100c57933a77b74b411648a86,,,"Bubsy in Claws Encounters of the Furred Kind",,,,1993/07,MagicGame,"eu,us",,,,,ru,,,,,,,,
