"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Twilight Zone 7-0",,160f022ebfc849e7d33f90ffb3a3e6dcfa9f553e,,,,,,,,,,?,,,,,,,,,,,,
"Mata Hari 1.0",,16631372a7f84ad26bdd82c0d2de7bd152f65b36,,,,,,,,,,?,,,,,,,,,,,,
bazooka1_1,,16b58cbe4e1693f7db996a824f444dd51c209f4b,,,,,,,,,,?,,,,,,,,,,,,
"Stellar Wars",,16b78eb4b4204dfbfbe0710c59eea1c890c5c1ff,,,,,,(Williams),,,,?,,,,,,,,,,,,
"Live Power",,16e6fed5a929e441ad71e30039729fa6ed709269,,,,,,"(Exhibit Supply 1942)",,,,?,,,,,,,,,,,,
PlanetBallVP6L,,17202e2b0925283b2fc0b5efbcbdf6643aa57e9e,,,,,,,,,,?,,,,,,,,,,,,
"Jungle Lord 0.90",,17c4a96a80b56452cb1f7ff4950991f85b440706,,,,,,,,,,?,,,,,,,,,,,,
"Millionaire 0.5",,182c9701d5c44f3cbbefcdf90627a01ad445780f,,,,,,,,,,?,,,,,,,,,,,,
"Alien Poker",,1840ee03c661a12db92eb816daf0f0c0b289e8b7,,,,,,"(Williams) (1980) (tom scutt) (beta 2a)",,,,?,,,,,,,,,,,,
AlienPoker2a,,1840ee03c661a12db92eb816daf0f0c0b289e8b7,,,,,,,,,,?,,,,,,,,,,,,
PsychoWest,,18c61d39ace48265c054dedd2aba8a291b8c0c94,,,,,,,,,,?,,,,,,,,,,,,
"Chicken Shift",,194746c10d16ea5321ee378bf84be1f53f02f47f,,,,,,"(1984) (Bally) (Anon 2002-06-13)",,,,?,,,,,,,,,,,,
"Cavaleiro Negro",,197777cced55273eb4d05f86be1aa2c728647f2b,,,,,,,,,,?,,,,,,,,,,,,
"Star Race 1.1",,199d510a31be84c3644784a3c472693b9c4c5060,,,,,,,,,,?,,,,,,,,,,,,
"Medieval Madness RC3",,1b4c46a4e670528d28b304b96adb420e23b6c44e,,,,,,,,,,?,,,,,,,,,,,,
"Who Dunnit 2.3",,1bbf1edf8c1aacd48669f162fdf29f2d5d217db1,,,,,,,,,,?,,,,,,,,,,,,
"PM Alien Star",,1cf07de2c8c97408d708f2a2bd25dcd727723374,,,,,,,,,,?,,,,,,,,,,,,
"Playboy 2.0 ocx",,1d5746578e394458b56abce3d43e51fdf8995a39,,,,,,,,,,?,,,,,,,,,,,,
Stallturn,,1d72609cf0c3b78955db5470e8c9aa2c39cb5644,,,,,,,,,,?,,,,,,,,,,,,
LogCabinVP62L,,1d7d33a86064bb711733b563972c1a18e28f413c,,,,,,,,,,?,,,,,,,,,,,,
shaqattaqV6.0,,1d863db7ae712ec8bc0ae49bfdac4b1ad4cc0046,,,,,,,,,,?,,,,,,,,,,,,
"Excalibur 4.1",,1d8ff8f120dc1cf04c10441d1216a2ce5165d4b5,,,,,,,,,,?,,,,,,,,,,,,
"Bally Reserve 10",,1e653d0209669be8dc679f77fdfb080d95e3ad2c,,,,,,,,,,?,,,,,,,,,,,,
"PM Middle Earth",,1e8dd82540e5d45cc473590ed5ad90716936d3a0,,,,,,,,,,?,,,,,,,,,,,,
