"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
@,,274c4bb37aa33335d2d69c95801bac831c27c3c1,,,GoSub,,,"v20091009 / / beta",2009,"Read, Chris",,,,,,,,,,,@,,,
@,,293dc4116f9e1848184c31d21b5b00aa98b7fefb,,,GoSub,,,"v20090411-1 / / beta",2009,"Read, Chris",,,,,,,,,,,@,,,
@,,295dbe1a9fc4e29bc3de6c870574a898c14fa8c9,,,"Water Ripple Demo",,,,2009,"Bieler, Amos",,,,,,,,,,,@,,,
"Virtual Pong",,2ad3981192e79412f962dc76139f0b2071ac49bf,,,,,,,1999,"Covarrubias, Alberto",,,,,,,,,,,@,,,
@,,2d839aa2943d171a9217ab0ad65a8a598854dd7a,,,"GoSub 3D",,,"v20100922 / / beta",2010,"Read, Chris",,,,,,,,,,,@,,,
@,,2f63b4b3e7d7cf7be9be1ef67c9ff1ac479c2b21,,,"Panic Bomber",,,,1995,Hudson,us,,,,,,,,,2,@,,,
@,,30e6446975d4472cb021c6c25c0beaef0fbb9d6b,,,GoSub,,,"v20090423 / / beta",2009,"Read, Chris",,,,,,,,,,,@,,,
@,,322dc4c2df74bf19d8a30d43c489401be5e76ca5,,,"Hyper Fighting",,,"Demo playable",2013/08/25,"Mr. Anonymous",,,,,,,,,,,@,,,
@,,328ea332004d6150b4ac8d9bdc4f0e16534907f9,,,"Soviet Union 2010",,,,2010,"Horvat, Matej",,,,,,,,,,,@,,,
@,,3315b3e0fd1ff5ad71a6f8db6201c415765718bf,,,"Retro Gathering Masken",,,,2009,"Radke, Christian",,,,,,,,,,,@,,,
@,,3392f7fd8d932292e6ddc87b31fc8e4d4bdaeb63,,,"Capitan Sevilla II",,,"Demo 1 /",2010,"Garcera, Ruben / RunnerPack / Skiles, Collin",,,,,,,,,,,@,,,
@,,33cd9d3b8705f0f9f88d3a2aeea9bbfb884ef453,,,GoSub,,,"v20091018 / / beta",2009,"Read, Chris",,,,,,,,,,,@,,,
@,,37e06e53ce2810e870835c48decdd6c72079bfda,,,"Innsmouth no Yakata",,,,1995,I'Max,jp,,,,,,,,,,@,,,
@,,381ddd501d8fdcbbc5e4ccaf980e1207be0e797f,,,GameHero,,,,2012,thunderstruck,,,,,,,1,,,,@,,,
@,,38dc25e852079ed39c8a952959d83295a334241b,,,GoSub,,,"v20090417 / / beta",2009,"Read, Chris",,,,,,,,,,,@,,,
"Vertical Force",,38f9008f60b09deef1151d46b905b090a0338200,,,,,,,1995,Hudson,us,!,,,,,,,,,@,,,
@,,3c55fc50972fd39105da3fd2bf2df033a5b7c1c3,,,"Soviet Union 2011",,,"v1.0 /",2011,"Horvat, Matej",,,,,,,,,,,@,,,
@,,3cea1d358b1dba49b2f7d569dd25419d45b22d3a,,,"Affine Mode Demo 2",,,"v0.9 /",2005,"Tucker, David",,,,,,,,,,,@,,,
@,,3ee9b7de524fdfeaba0c03823181d5850736b0d0,,,GoSub,,,"v20090414-3 / / beta",2009,"Read, Chris",,,,,,,,,,,@,,,
@,,3eea4746cc48dd3842841920f6c7a5e9c1657fa7,,,"VB Screen Test",,,,200x,"Tucker, David",,,,,,,,,,,@,,,
@,,3f08cae2b6f9e386529949ff954220860db1af64,,,"Space Squash",,,,1995,"Coconuts Japan Entertainment",jp,,,,,,,,,,@,,,
@,,404f8184a3b8f8cab2750881594641b9cffc375a,,,"Jack Bros.",,,,1995,Atlus,us,b,,,,,,,,,@,,,
@,,42b9557226a726b98c4841ba56c5a9bce5464174,,,Teleroboxer,,,,1995,Nintendo,"jp,us",,,,,de,,,,,@,,,
@,,4326e27aa8ba3c9644324936fa0ab353ce6b1bff,,,"Super Mario",,,v20080922,2008,Jorgeche,,,,,,,1,,,,@,,,
@,,43fa6a2c1caf17c3ad0141f8b2c3e6250068695b,,,"Tron VB",,,,2003,"Daderko, Pat",,,,,,,,,,,@,,,
@,,443bebee620ae5551057f622818e240db9252502,,,GoSub,,,"v20090827 / / beta",2009,"Read, Chris",,,,,,,,,,,@,,,
@,,46b65dde65c135901619b6a10f6ffa8e49e66e46,,,Simon!,,,,2003,"Daderko, Pat",,,,,,,,,,,@,,,
@,,489af4c59ed889b191aab80ba170ac0b0cc300c7,,,GoSub,,,"v20090427 / / beta",2009,"Read, Chris",,,,,,,,,,,@,,,
"Red Alarm",,494fa60cb8997880b4e8cd3270b21d6c2768a48a,,,,,,,1995,"T&E Soft",us,!,,,,,,,,,@,,,
@,,4ce4f1dace358f251025d3027aa50752f64fd73f,,,GoSub,,,"v20090725 / / beta",2009,"Read, Chris",,,,,,,,,,,@,,,
@,,4dca36c71a91cc2e8313dccfefa1721d6e0a0ee5,,,"Water Ripple Demo",,,,2009,"Bieler, Amos",,,,,,,,,,,@,,,
@,,4ee91bbec3e56d89c24727e73f17e9cc731d69d0,,,"BitString Demo",,,,2004,"Bergman, Dan",,,,,,,,,,,@,,,
@,,511eab876ae0150be210cff47ad8333c1708c6ff,,,"Glow Demo",,,"v1.0 /",2002,"Radke, Christian",,,,,,,,,,,@,,,
"Mario's Tennis",,5162f7fa9e3eae4338c53ccba641ba080c768754,,,,,,,1995,Nintendo,"jp,us",,,,,,,,,,@,,,
"3D Tetris",,5177015a91442e56bd76af39447bca365e06c272,,,"3-D Tetris",,,,1996,"Nintendo / T&E Soft",us,!,,,,,,,,,@,,,
@,,524e49d8f91dc37b26c261ed7b949f2ad294d9b1,,,GoSub,,,"v20090727 / / beta",2009,"Read, Chris",,,,,,,,,,,@,,,
@,,534c5db7e3fe8d99f70d4746be3648ed8e496553,,,GoSub,,,"v20090418 / / beta",2009,"Read, Chris",,,,,,,,,,,@,,,
@,,5406becad07b28824a795b1e9b1b8e7352650d9a,,,GoSub,,,"v20090411-3 / / beta",2009,"Read, Chris",,,,,,,,,,,@,,,
@,,54e6d1d3400e0fd850366fb56a9d065ba9d810e5,,,"Snowball Wars",,,"v20070809 /",2007,Jorgeche,,,,,,,,,,,@,,,
Croach,,562c1cbc38ea7709552470b9ea3897c714ba8ab5,,,,,,,1999,"Covarrubias, Alberto",,,,,,,,,,,@,,,
@,,567b8b9e9527e205fcedb59e917c82a773d5282a,,,"BLOX 2",,,"Demo 1 /",2008,"Radke, Christian",,,,,,,,,,,@,,,
@,,578355de83822ce67522033dd7545631124a71ab,,,"Hyper Fighting",,,,2015,"Mr. Anonymous",,,,,,,,,,,@,,,
@,,583b409b7215159219d08e789db46140062095f2,,,"Virtual Fishing",,,,1995,Pack-In-Video,jp,,,,,,,,,,@,,,
@,,58429aefe1343de166884d977bed9406f6da0097,,,"Mario Clash",,,,1995,Nintendo,"jp,us",,,,,,,,,1,@,,,
@,,5ac6b2a9b923dd0051debb07285d2347e77c2309,,,"Mario Clash",,,,1995,Nintendo,"jp,us",,,,1,,,,,,@,,,
@,,5b212286dd6352331434854a7203a6d0c0b9961b,,,"Mario Clash",,,,1995,Nintendo,"jp,us",,,,,,,,,2,@,,,
@,,5ddec9e1f92d99194e2c64ce42d8d624bbfdf52e,,,"Polygon Engine Demo",,,,2008,DogP,,,,,,,,,,,@,,,
Golf,,5ee29050aedc1dd91f5c166ce2078987101fee97,,,"T&E Virtual Golf",,,,1995,"T&E Soft",jp,b,,,,,,,,,@,,,
@,,5f2fa60d35327bf07847f00617181af2645c3b2b,,,"Snowball Wars",,,"v20070726 /",2007,Jorgeche,,,,,,,,,,,@,,,
@,,5f666e7a1e961dcfc99e9ba58aa37feeeb2b723b,,,"VeeBee Cursor Demo",,,,2002,"Williamson, David",,,,,,,,,,,@,,,
@,,60addbde9c8211c341c7a93a4afabae338c247a1,,,"Framebuffer Drawing Demo",,,,2003,"Daderko, Pat",,,,,,,,,,,@,,,
@,,61de40292eb549fe13e98fc5a8ea7a032a87634b,,,GoSub,,,"v20091028 / / beta",2009,"Read, Chris",,,,,,,,,,,@,,,
@,,626663d38507d2fd0f006696f3100f4bdd7dfded,,,GoSub,,,"v20091023 / / beta",2009,"Read, Chris",,,,,,,,,,,@,,,
@,,62ab0a1f40ed961549b42d1454173125251f3b75,,,GoSub,,,"v20090420 / / beta",2009,"Read, Chris",,,,,,,,,,,@,,,
@,,63ba1b22de462857d062181089fc8504679b3946,,,"GoSub 3D",,,"v20100923 / / beta",2010,"Read, Chris",,,,,,,,,,,@,,,
"Reality Boy",,640ce3b7926778a99fb373a55dac15a2418c3ea2,,,,,,"Demo 2",2000,"Tucker, David",,,,,,,,,,,@,,,
@,,660f3a0ebe0766158cff0ece06655f1b3a548a70,,,GoSub,,,"v20090411-2 / / beta",2009,"Read, Chris",,,,,,,,,,,@,,,
@,,66c0db76ed1a77d8abee4dcd94c958b62b3dc38f,,,"This Demo Owes ALOT to RunnerPack HelloWorld SpriteExam 3",,,,20xx,@,,,,,,,,,,,@,,,
@,,6761f2a5a9f8c80bfef25e83d3878e0e9fc28d2b,,,"Glow Demo",,,"v1.1 /",2002,"Radke, Christian",,,,,,,,,,,@,,,
@,,6837d633d9f988a5030209127468a45a834efa09,,,"VbJAEngine Demo 1",,,,2006,Jorgeche,,,,,,,,,,,@,,,
"Virtual League Baseball",,6bc2818fb6504aab20333c507c793a90c0732c4b,,,,,,,1995,Kemco,us,,,,,,,,,,@,,,
@,,6be18b85d45cdfced96de9c17545fe24355009d4,,,"Yeti3D Demo",,,"v20100113 /",2010,"Bergman, Dan",,,,,,,,,,,@,,,
@,,6df09c11cd1f9c19139e177bcf66078c2554194a,,,GoSub,,,"v20090412-1 / / beta",2009,"Read, Chris",,,,,,,,,,,@,,,
"Jack Bros.",,6f0bc4b57a63921ff8e88dba9ea66d57b0333187,,,,,,,1995,Atlus,us,b,,,,,,,,,@,,,
@,,70556b171647c77d4366bbc98da848dbea4537d7,,,GoSub,,,"v20091005 / / beta",2009,"Read, Chris",,,,,,,,,,,@,,,
@,,705f45fd596d56cb74f2672a72df86d71fc2faa0,,,"Panic Bomber",,,,1995,Hudson,us,,,,,,,,,1,@,,,
@,,71df97a4dfb282bfeb6e29fa5b9c70c7f604e06d,,,"Tic Tac Toe",,,,2003,"Daderko, Pat",,,,,,,,,,,@,,,
@,,73474d43c6b5ff7cc2d6b838d21c44fc1b10b66b,,,"Super Mario",,,v20080913-2,2008,Jorgeche,,,,,,,1,,,,@,,,
