"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Storm over the Desert",,61d893a9960ddf6077f225f2363f17ed6160da61,,,,,,,,,,?,,,,,,,,,,,,
Vocaluxe,,6386ec36d66fc88b6d0c719ccc7ed19a8976eae0,,,gst-inspect-1.0,,,,,,,,,,,,,,,,,,,
Streemerz,,6ad101ce88e91d819a45653514e2ca624b2a9d1d,,,,,,,,,,?,,,,,,,,,,,,
Vocaluxe,,6cd5c1483f1f7796e5126d7def2aee7e927265b0,,,gio-querymodules,,,,,,,,,,,,,,,,,,,
Jigsaw,,6d5af38a51de64fd6208b550617cc39b297217ec,,,,,,,,,,?,,,,,,,,,,,,
"Cirno and Letty's Xmas",,73b3749c5452d501eb3ab7bc4c033ecb1e660011,,,xmas05,,,,,,,?,,,,,,,,,,,,
"7 Servant's Blade v1_15",,7842606c1722ae5c430bc9e0f31b33f43e717489,,,"7 Servant's Blade: Uninstall",,,v1.15,,,,?,,,,,,,,,,,,
Vocaluxe,,7a0ed6b79f02cc190f820086da96aa3997b0b4d7,,,gst-validate-transcoding-1.0,,,,,,,,,,,,,,,,,,,
"Meong v0.4",,7c525a16122b254a867c8fc51b729b5ff0869726,,,"Meong 0.4",,,,,,,?,,,,,,,,,,,,
Vocaluxe,,807974aef3ccb0018c9c478f018827c54cfe5e69,,,VocaluxeServerConfig,,,,,,,,,,,,,,,,,,,
Vocaluxe,,818391af49fe884f74874683d76a2fb8c5ac359c,,,gdbus,,,,,,,,,,,,,,,,,,,
"Yetisports 1: Pingu-Thru",,81bc3ef3dd01b48ec1f51807bdd4054a2b16cf50,,,yetisports1,,,,,,,?,,,,,,,,,,,,
"Actua Soccer 3",,838e97e08463ba9253d46df587879c830edf5326,,,SOCCER3D,,,,,,,?,,,,,,,,,,,,
MUGEN,,84072b761e846e47a3941567ee4c7f58e74f28d3,,,SFF2PNG,,,0.2,2010/07/12,Elecbyte,xw,,,,,,,,,,,,,
"Alltynex Second v1_02a",,88f4961dfee2eaf86ea31f78b2686d45adecbd31,,,"Alltynex Second",,,v1.02a,,,,?,,,,,,,,,,,,
"Robbie Robot",,8ba0a01e6ee22b8e12db5c7ac7120036923da234,,,testlevel,,,,,,,?,,,,,,,,,,,,
"Actua Soccer 3",,8e987b49ff2ccdc79479cde924d6dc201ccbd640,,,Soccer3,,,,,,,?,,,,,,,,,,,,
Vocaluxe,,8ee8ab0750aecf14c188baf06b4f646b3f9e9727,,,gst-plugin-scanner,,,,,,,,,,,,,,,,,,,
Vocaluxe,,916061e493a14c4aa4e6c08d4b050856aad243f0,,,gdk-pixbuf-query-loaders,,,,,,,,,,,,,,,,,,,
"The Underside",,92188118a5cdd2fa0320280f0e96f70d1cda61a7,,,"Mod Loader",,,,,,,?,,,,,,,,,,,,
"3D Spherical Mahjongg v3",,94b318912d3d233f6613a1a82d858f4565811433,,,SJONGG95,,,,,,,?,,,,,,,,,,,,
"DrunkTankies Battle in the Eastern",,9567c8fd825c17fec4db99813b37ea16891f21d1,,,ths_config,,,,,,,?,,,,,,,,,,,,
"Kiwami Shooting",,98c584d4f558a6323b5a6e139bc6c0ad4811cf09,,,Engine,,,,,,,?,,,,,,,,,,,,
Hambo,,9c97762ef029bf592c2d4bc0bbcd533fd2f3d772,,,TestLevelAkito,,,,,,,?,,,,,,,,,,,,
"The Underside",,a3a16f5c681e66d6c5b85393f3fff711ba5d2edc,,,,,,,,,,?,,,,,,,,,,,,
"Star Evil",,a59f678a52cf7fd42f921679b296e8cc821d5d7a,,,,,,,,,,?,,,,,,,,,,,,
