"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"Lucky Luke: Wanted!",,14326f299ccb0a7aeef64fe68a0e6fe28cfa14cb,,,,,,"(E) (M6)",,,,,,,,,,,,,,,
@,,14870fc25affa81144e033b2a78ae0dbb1fdb49a,,,"Legend of Zelda, The: Fushigi no Boushi",@,,,2004,Nintendo,jp,a,"a 3",,,zh,,,,,,,
@,,14a5e70e05bca849695190833d1b107799ceb58d,,,"Yu-Gi-Oh!: The Sacred Cards + Yu-Gi-Oh!: Reshef of Destruction",@,,,2006,Konami,eu,,,,,,,,,,,,
"Rocket Power: Dream Scheme",,1552dd95a0352a45353292a1a4ae711857fb7510,,,,,,"(U) [!]",,,,,,,,,,,,,,,
@,,1561c4e1f4ab945299f2dfb5bb7df532ec4d4067,,,Zapper,@,,,2002,Infogrames,us,,,,,,,,,,,,
"Denki Blocks!",,1693d4ba8f13ed92d18b3decc98f4a08e6a3b25a,,,,,,"(E) (M5) [b1][o1]",,,,,,,,,,,,,,,
"Adventures of Jimmy Neutron Boy Genius, The: Attack of the Twonkies",,16ba112f07d02484febd554f902bb18776144186,,,,,,(U),,,,,,,,,,,,,,,
@,,16f67cfd72702c617f940a58a26f75b5cb775858,,,Zapper,@,,,2002,Infogrames,us,,,,,,,,,2,,,
@,,17083c89f9dd84089f2a4cd8953a4e542d691e81,,,"Zoku Bokura no Taiyou: Taiyou Shounen Django",@,,"v rev1; Language en,ja",2004,Konami,jp,,,,,,,,,5,,,
"Code Breaker",,1751d631c9955184a2cb55514e94d276c951231b,,,,,,(U),,,,,,,,,,,,,,,
"Final Fight One",,17918e125bcafd44fcf3b21813575c2ccb19bd45,,,,,,(U),,,,,,,,,,,,,,,
@,,179523e4c6da0dc050626ac69862f2a6e880f70d,,,"Bubble Bobble: Old & New",@,,,2002,Empire,eu,!,,,,,,,,,,,
@,,1839f900e5f2c8a52a4ce160a8c35a572c2d388f,,,"Zone of the Enders: The Fist of Mars",@,,,2002,Konami,us,,,,,,,,,,,,
"Midway's Greatest Arcade Hits",,194913c9d5a74b9af5f90b539828f6fa77c016ed,,,,,,"(U) [!]",,,,,,,,,,,,,,,
"Super Mario Advance 2: Super Mario World",,199a5a01bd3f56fba9a701062edbcf57e1528a0c,,,,,,"(E) [!]",,,,,,,,,,,,,,,
"Around the World in 80 Days",,19c3964fc87f104e12da591bd91bb182c1092a76,,,,,,"(E) (M6)",,,,,,,,,,,,,,,
@,,1a81843c3070decea4cbca20c4563541400b2437,,,"Zoku Bokura no Taiyou: Taiyou Shounen Django",@,,"v rev1; Language en,ja",2004,Konami,jp,,,,,,,,,,,,
"Ms. Pac-Man: Maze Madness",,1c28602604e760fffc09cb84db6377a9b148d103,,,,,,(U),,,,,,,,,,,,,,,
@,,1d33877dcc5ec94cc0d68460163208c7ebfb6ad3,,,"Yu-Gi-Oh!: Reshef of Destruction",@,,,2004,Konami,eu,,,,,,,,,,,,
"ESPN X-Games Skateboarding",,1d3abc8bed9118b1fc2c53e6c3aa7a10ece8852d,,,,,,(U),,,,,,,,,,,,,,,
@,,1f1636f66fb7c11d66566caf5f633f65b47cd274,,,"Yu Yu Hakusho: Spirit Detective",@,,,2003,Atari,us,,,,,vi,,,,,,,
"Mat Hoffman's Pro BMX",,1f5a9e9e164f9b97f55084342f331097ce623be7,,,,,,"(E) (M2)",,,,,,,,,,,,,,,
"American Bass Challenge",,1fc03cca393ddbc633d309aae95b42c89e4d0e96,,,,,,"(U) [!]",,,,,,,,,,,,,,,
"Final Fantasy I & II: Dawn of Souls",,200c4aaae84720f56c8140f7e8d0086292121c4b,,,"Final Fantasy I & II: Dawn of Souls",,,,2004,"Nintendo - Square Enix",eu,!,,,,,,,,,,,
@,,208e6ebcb567ee88404a6f052d3c351ffc06cc10,,,"Zatch Bell! Electric Arena",@,,,2005,"Bandai - Banpresto",us,,,,1,,,,,,,,
@,,21da535ccfe96fc735592dc25ee4ce0446ffd67a,,,"Zoku Bokura no Taiyou: Taiyou Shounen Django",@,,"v rev1; Language en,ja",2004,Konami,jp,,,,,,,,,1,,,
"Scorpion King, The: Sword of Osiris",,2224c8080f48073e568d1b75eec32e18bc1f5a09,,,,,,"(U) [!]",,,,,,,,,,,,,,,
"Donkey Kong Country 2",,2243e9b8c299744e351bdd9e28bc2212f0840782,,,,,,"(E) (M5)",,,,,,,,,,,,,,,
"Super Mario Advance 3: Yoshi's Island",,2267584625cc0b823e60c3c58e4ec1106ea71893,,,,,,"(U) [hI][f1]",,,,,,,,,,,,,,,
"Harry Potter and The Order of The Phoenix",,229b01a9412e9d04efea02e392718fe617d5a173,,,,,,"(UE) (M7)",,,,,,,,,,,,,,,
@,,231a8c59d10ed12c9ea7a4124942ad3c50f495d7,,,"Earthworm Jim 2",@,,,2002,"Majesco - Vivendi",eu,!,,,,,,,,,,,
"No Rules Get Phat",,243de65968d62a71245b6bf89a25b7b90d878795,,,,,,"(U) (M6) [hI]",,,,,,,,,,,,,,,
