"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Batter Up",,10124c1ca517fa933ca0488f288d205b0cc80d9c,,,"Gear Stadium",,,,1991,Namco,jp,?,,,,,,,,,,,,
"Batter Up",,107496f1afff8bcebcd507226e953871fc4d80e4,,,,,,,1991,Namco,eu-us,!,,,,,,,,,,,,
"Sonic Blast",,11241be4082f6f9d057488ae75ccdd482f623f8c,,,,,,,1996,Sega,us,?,,,,,,,,,,,,
"Zan Gear",,115074a58606720755364eaf0a4bc60aabf18f94,,,,,,,1990,"Wolf Team",jp,?,,,,,,,,,,,,
"SD Gundam: Winner's History",,121bb17a137d68d8f74c4d34a5b8ecb1892c2256,,,,,,,1995,Bandai,jp,?,,,,en,,,,,,,,
"!Public Domain",,124f79e6a4e6a2aa701c700faa8fa6b1f5c91d08,,,"Charles Doty's Text Demo",,,,199x,"Doty, Charles",,?,,,,,,,,,,,,
"T2: Arcade Game",,12b6f5542b6cebfe872096eab2a885d297eefa2f,,,,,,,1993,"Acclaim | Arena Entertainment | Midway | Probe",xw,?,,,,,,,,,,,,
"Robocop versus The Terminator",,13286df11fc66a8974a73a82e8478fa382fa2b43,,,"RoboCop Versus The Terminator",,,,1993,Virgin,eu-us,!,,,,,,,,,,,,
"Yuu Yuu Hakusho II: Gekitou! Nanakyou no Tatakai",,140efe67e886f52aeda2089a73599f7680c89f24,,,,,,,1994,Sega,jp,?,,,,,,,,,,,,
"Poker Face Paul's Solitaire",,141b53c7f85b50626c6619094f4f8f7bec3676d2,,,,,,,1994,"Adrenaline | Sega | Spidersoft",eu-us,!,,,,,,,,,,,,
"Jungle Book",,14a5d4ea99ee91aec948d62cab56fc1c05cc7c45,,,,,,,1993,"Eurocom | Virgin",eu-us,!,,,,,,,,,,,,
"Vampire: Master of Darkness",,14e6b1e886355d902b34acdf503eced8df88afe4,,,,,,,1993,Sega,us,!,,,,,,,,,,,,
"Super Monaco GP",,1568f2360902f0fd7ba395e762b3d14335e8918e,,,,,,,1990,Sega,jp,b,,,,,,,,,,,,
Battleship,,16a2a584b6a28d12349621ccce9f444ebed4bb55,,,,,,,1992,Mindscape,eu-us,b,,,,,,,,,,,,
Slider,,17794ed08c1df2ebc992c5686dc1072a75731e4d,,,Skweek,,,,1991,"JVC | Infogrames | Loriciel",jp,b,,,,,,,,,,,,
"Aerial Assault",,184520adfc9ae2bee0828d22e920c2628a2a1a78,,,,,,v0,1992,Sega,eu-us,b,,,,,,,,,,,,
Terminator,,1889d019bd9f5919517805a2e02a9691de5ef634,,,,,,,1992,Virgin,eu-us,!,,,,,,,,,,,,
"GG Shinobi",,198c8970006b58cc595d17482be34a52a8049267,,,"The GG Shinobi",,"GG Shinobi",,1991,Sega,eu-us,b,,,,,,,,,,,,
"!Public Domain",,19d767aa3a538219ea733c1140d51a1547683e55,,,"The Secret of Monkey Island Audio Demo",,"Secret of Monkey Island Audio Demo",v1.0,2001,"Konrad, Martin",,?,,,,,,,,,,,,
"Phantasy Star Adventure",,19ebb8f631fd3a2ec024832796fc6a715628abc5,,,,,,,1992,Sega,jp,b,,,,,,,,,,,,
"Ninja Gaiden",,1a5c44e76a0e913d76f590affae3b2e24fbd0f59,,,,,,,1991,"Sega | Tecmo",eu-us,!,,,,,,,,,,,,
"Lunar: Sanposuru Gakuen",,1b0cc847d31956d843cadab7d86a2f434220301e,,,,,,,1995,"Game Arts",jp,?,,,,,,,,,,,,
"R.B.I. Baseball '94",,1b7aac38bf973c71adef23da5cd8f2321bbb7ea5,,,,,,,1994,"Atari | Tengen",us,b,,,,,,,,,,,,
"!Public Domain",,1b7b9bb96f96836b3dfaf3a301fdfca29add2118,,,"The Secret of Monkey Island Audio Demo",,"Secret of Monkey Island Audio Demo",v1.7,2001,"Konrad, Martin",,?,,,,,,,,,,,,
"Psychic World",,1c0074c811ed4eb369be31c1bc7d851e40ae8797,,,,,,,1991,Sega,jp,,,,,,,,,,,,,
"Halley Wars",,1c9932f592bb12e61acf597985e0bd5041e45da5,,,,,,,1991,Taito,jp,?,,,,,,,,,,,,
"Taz in Escape from Mars",,1d19306b7dbcb37fd1ab62021b5054efd2d04889,,,,,,,1994,Sega,eu-us,?,,,,,,,,,,,,
"Berlin no Kabe",,1d58d3d8b957d33bab8b50ae60dc0c31eafc08af,,,,,,,1991,Kaneko,jp,?,,,,,,,,,,,,
"!Public Domain",,1eb67ff1aedc0360319ec75067fa9090db428bab,,,"Windows for GG",,,v4.0,1999,"Kemp, Victor",,?,,,,,,,,,,,,
"Marble Madness",,1eca0de37797695f38b92e95699d00e9d8623594,,,,,,,1992,"Atari | Tengen",xw,b,,,,,,,,,,,,
"Wagyan Land",,1f5e511f6230797ef163b587f1988f097e795a61,,,Wakiyarando,,,,1991,Namco,jp,,,,,,,,,,,,,
Battleship,,202025e3128643c164318f12b582fd5230306f44,,,,,,,1992,Mindscape,eu-us,b,,,,,,,,,,,,
"Ecco the Dolphin",,206ff012048a290888d5745293086a0b365300dd,,,,,,,1994,Sega,eu-us,b,,,,,,,,,,,,
Aladdin,,20ba7f5e5c801fbe48a537d2551a3d4525eb63e7,,,,,,,1994,Sega,eu-us,!,,,,,,,,,,,,
"Batter Up",,210fef406c4fe8e0ed995f92ea7597e8f1b7f91c,,,"Gear Stadium Heiseiban",,,,1995,Namco,jp,!,,,,,,,,,,,,
X-Men,,215e5f761475ca17a091371e39f636718f213403,,,,,,,1993,Sega,eu-us,?,,,,,,,,,,,,
"Kenyuu Densetsu Yaiba",,21b08c5c4b086e169d5f780cafc22c041e19807b,,,,,,,1994,Sega,jp,?,,,,,,,,,,,,
"R.B.I. Baseball '94",,21e3800ecfb6c8210cfc1213a6cbf0bb63519633,,,,,,,1994,"Atari | Tengen",us,!,,,,,,,,,,,,
"Shining Force Gaiden: Final Conflict",,21eea91caac2e39824cab7626a260262c39b1b19,,,,,,,1995/06/30,Sega,jp,b,,,,,,,,,,,,
"Sylvan Tale",,22a516bf4dc27c0c9c94ac950c5eb5f45d809077,,,,,,v1.01,1995,Sega,jp,?,,,,en,,,,2,,,,
"Wizard Pinball",,22c4165f41066d9a525543d716162bd70a39e9fb,,,,,,,1992,Domark,eu-us,!,,,,,,,,,,,,
"World Class Leader Board",,23b28cf137adc947ffd1af649cf3c8d64e6fadc1,,,,,,,1991,"U.S. Gold",us,!,,,,,,,,,,,,
"Surf Ninjas",,23e493f7c19ffb17e67392289c5a72dc9d0d6d9e,,,,,,,1993,Sega,eu-us,b,,,,,,,,,,,,
"!Public Domain",,248a2beaafc2539cbf31d74695d8c67259125da7,,,"GG Nibbles",,,v3.0,2000,"Konrad, Martin",,?,,,,,,,,,,,,
"SD Gundam: Winner's History",,24e217098845ab5a0eb29e9dc6af2e86be1b0a84,,,,,,,1995,Bandai,jp,?,,,,,,,,,,,,
"Joe Montana Football",,253196b98d83b910c289b0211b6de025c66c916c,,,,,,v1,1991,Sega,jp,?,,,,,,,,,,,,
"Simpsons: Bart vs. The World",,256672261c9a2d35e10eb06e990e8ebc46fb35c1,,,,,,,1993,"Acclaim | Flying Edge",xw,!,,,,,,,,,,,,
OutRun,,25d999bb8edfb59075d774050c68d5c9f286793d,,,"Out Run",,,,1991,Sega,jp,b,,,,,,,,,,,,
"Lunar: Sanposuru Gakuen",,27a41dbaa73f51906024e37430b7527eaf5e3a25,,,,,,,1995,"Game Arts",jp,b,,,,en,,,,,,,,
"Streets of Rage II",,2804b355347bda6e2903078ba30ed6b3a289ebba,,,,,,,1993,Sega,xw,?,,,,,,,,,,,,
OutRun,,284a68102eb71958a3553626ea3dd56485453300,,,"Out Run",,,,1991,Sega,jp,?,,,,,,,,,,,,
"Revenge of Drancon",,286f673b11739d624899479216e30b58efd049be,,,,,,v1,1991,Sega,us,!,,,,,,,,,,,,
Jeopardy!,,28ef5cc2689a1f3bc3bd1b24c3e4132a423fc274,,,,,,,1993,GameTek,eu-us,!,,,,,,,,,,,,
"Magic Knight Rayearth 2: Making of Magic Knight",,29615d86057f3323ecda75d47102e77d364f6499,,,"Mahou Kishi Rayearth 2: Making of Magic Knight",,,,1995,Sega,jp,!,,,,,,,,,,,,
"Poker Face Paul's Poker",,2a391fe76d54687c8b2191e3aa302c274d08b058,,,,,,,1993,"Adrenaline | Spidersoft",eu-us,b,,,,,,,,,,,,
"Super Monaco GP",,2a61491785ad56f5bdc504c994f36ee8ea9dcf68,,,,,,,1990,Sega,jp,?,,,,,,,,,,,,
"Samurai Shodown",,2aaf7b6f9d37275995d4a62bb8a465333d8b0bf4,,,"Samurai Spirits",,,,1994,"SNK | Takara",jp,?,,,,,,,,,,,,
"Chuck Rock",,2b08a3231c0504d86caca74c8508d85c8ef6a86a,,,,,,,1992,"Core Design | Virgin",xw,!,,,,,,,,,,,,
Tesserae,,2b2652c7e03218b212e4d6a6246bd70e925e7ee1,,,,,,v1,1993,"Eurocom | GameTek | Inline Design",eu-us,!,,,,,,,,,,,,
"Mortal Kombat",,2ba44febd3ce7d3ced17750b2d7fa1c98dce0f85,,,,,,v2.6,1993,"Acclaim | Arena Entertainment | Midway | Probe",xw,b,,,,,,,,,,,,
"Zool: Ninja of the Nth Dimension",,2c799ee084b858cb71cfaa7a3f6d3a4f364b6c43,,,,,,,1993,"Gremlin | Infocom",jp,?,,,,,,,,,,,,
"Olympic Gold: Barcelona '92",,2c9d1a408b6768d0a6a41e84678f94bac17d5008,,,"Olympic Gold",,,,1992,"U.S. Gold",jp-us,b,,,,,,,,,,,,
"Road Rash",,2cf136b5feb786770322e1a03e7e3577a1a9eec0,,,,,,,1993,"Electronic Arts | Probe | U.S. Gold",us,?,,,,,,,,,,,,
"Daffy Duck in Hollywood",,2d058f3885bee45b04b74cbe16f3974d4eb2bfcf,,,,,,,1994,"Probe | Sega",eu,!,,,,,,,,,,,,
"Itchy & Scratchy Game",,2d0c2be09b977cc68a7e8f0fc415d8783ad7f8ae,,,,,,,1994,Acclaim,xw,!,,,,,,,,,,,,
