"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
@,,0054f64052ad0d37063fe1668a84c88e36167475,,,"Stax Compact Disk 112",@,,,1995/09/14,Stax,@,,,,,,,,,,,,
@,,00557505b3e7fb9015ac6a57b1d9a0799cc273b9,,,"Barbarian II",@,,"(Disk 2 of 2)",1988,Palace,@,a,"a 2",,,,,Replicants,,,,,
@,,005b641a045038b7617e3fc7cda7c8dab5dc1bfc,,,"Final Assault",@,,,1988,Epyx,@,,,,,,,,,,,,
@,,00624cfba4ed33ca8f3ff058455efc170f053f2f,,,"XEST 161",@,,,19xx,XEST,@,,,,,,,,,,,,
@,,00629e971a5d93a9c6dc53eb806feee19c24d768,,,"Gobliiins II",@,,"v 1.02; (Disk 2 of 3)",1992,"Coktel Vision",@,,,,,,,ICS,,,,,
@,,0064009fdcf188052692febcc135d2ef7c34d227,,,"Vectronix Compilation 260",@,,,19xx,Vectronix,@,,,,,,,,,,,,
@,,0065fd8b17ca4d5b82ee300e23201d98194ff321,,,"ST Format Magazine Issue 67",@,,,1995/02,"Future Publishing",@,,,,,,,,,,,,
@,,00673b3ad7b0b587f768b4eb9c57cef66ec664cc,,,"The Koala CD No.1",@,"Koala CD No.1, The",,1993,"Amnesic Cactus",@,,,,,,,,,,,,
@,,0067b86a4b1fac0e0b22e2c34109cdda8889a449,,,"Floppyshop Demos 0881",@,,,19xx,Floppyshop,@,,,,,,,,,,,,
@,,00693cee82f87dd9e48ca56ef7a42132380ed565,,,"Persistance of Vision 130",@,,"v 2.0",1993,POV,@,,,,,,,,,,,,
@,,006b62643e47cfb0c82e0ed7a03ba2ce2851d107,,,"Automation Menu Disk 049",@,,,1989,"LSD - Was -Not Was-",@,,,,,,,,,,,,
@,,006b7005b8855cd268d86e7ea1c60c313d44ac42,,,"Automation Menu Disk 333",@,,,19xx,Automation,@,,,,,,,,,,,,
@,,006b8f42981efdbafc1dc2dfdf30ebb5767fdefa,,,"Music for the Masses 1",@,,"Language en",1991/05/25,"New Power Generation",fr,,,,,,,,"Sagrotan antivirus",,,,
@,,006d25e6a677ae35238c715b1da9d78b67b76064,,,"Le Joli Petit Matin",@,"Joli Petit Matin, Le","Language en",1991/03/20,"The Conceptors",fr,a,"a 1",,,,,,,,,,
@,,00709e0a8612ed62be56f0b3077bb82713be6f83,,,"Legend of Faerghail",@,,"(Disk 1 of 4)",1990,"ReLINE Software",@,,,,,,,Replicants,Atariforce,,,,
@,,0072414b9cce1b15f9e0d2974ef34325ee1adde6,,,"Floppyshop Font 3187",@,,,19xx,Floppyshop,@,,,,,,,,,,,,
@,,007b5d08c6aea2944550a947979816033e083e3c,,,"Son Shu Shi",@,,"Language en,fr; (Disk 1 of 2); (Disk A)",1991,Expose,@,a,"a 3",,,,,"Terminator Kid",,,,,
@,,007d9c3555a9f938cce825b264c3a4a191adc48b,,,"Flame of Finland Menu 37",@,,,1990,FOF,@,,,,,,,,,,,,
@,,007e85233839f68bf61b04fe1910e7586b939c2f,,,"Ripped-Off 031",@,,,1990/03/17,Ripped-Off,@,,,,,,,,Megatari,,,,
@,,007f50f6044f673eb349f710308f2b062b56c536,,,"Floppyshop Product Demo 0501",@,,,19xx,Floppyshop,@,,,,,,,,,,,,
@,,0081ccb798cd4c6d364708c053d75f8c4426a655,,,"Blues Boys Mod Disk 26",@,,,19xx,"Blues Boys",@,,,,,,,,,,,,
@,,008544f709ecd377a50bfdfb6f4cc002f7bf00ea,,,"SuperGAU Compilation 946",@,,,19xx,SuperGAU,@,,,,,,,,,,,,
